DanTh 1:1
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GP---- ὁ
φορθομμιν N---GP---- φορθομμιν

DanTh 1:4
νεανίσκους N2--APM--- νεανίσκος
οἷς RR--DPM--- ὅς
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
μῶμος N2--NSM--- μῶμος
καὶ C--------- καί
καλοὺς A1--APM--- καλός
τῇ RA--DSF--- ὁ
ὄψει N3I-DSF--- ὄψις
καὶ C--------- καί
συνιέντας V7--PAPAPM ἵημι συν
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
σοφίᾳ N1A-DSF--- σοφία
καὶ C--------- καί
γιγνώσκοντας V1--PAPAPM γιγνώσκω
γνῶσιν N3I-ASF--- γνῶσις
καὶ C--------- καί
διανοουμένους V2--PMPAPM νοέομαι δια
φρόνησιν N3I-ASF--- φρόνησις
καὶ C--------- καί
οἷς RR--DPM--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἰσχὺς N3--NSF--- ἰσχύς
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ἑστάναι VXI-XAN--- ἵστημι
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
διδάξαι VA--AAN--- διδάσκω
αὐτοὺς RD--APM--- αὐτός
γράμματα N3M-APN--- γράμμα
καὶ C--------- καί
γλῶσσαν N1S-ASF--- γλῶσσα
Χαλδαίων N2--GPM--- Χαλδαῖος

DanTh 1:5
καὶ C--------- καί
διέταξεν VAI-AAI3S- τάσσω δια
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τὸ RA--ASN--- ὁ
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
καθ' P--------- κατά
ἡμέραν N1A-ASF--- ἡμέρα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
τραπέζης N1S-GSF--- τράπεζα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
τοῦ RA--GSM--- ὁ
πότου N2--GSM--- πότος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
θρέψαι VA--AAN--- τρέφω
αὐτοὺς RD--APM--- αὐτός
ἔτη N3E-APN--- ἔτος
τρία A3--APN--- τρεῖς
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
στῆναι VH--AAN--- ἵστημι
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

DanTh 1:6
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
αὐτοῖς RD--DPM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ιουδα N---GSM--- Ιουδα
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
Ανανιας N---NSM--- Ανανιας
καὶ C--------- καί
Μισαηλ N---NSM--- Μισαηλ
καὶ C--------- καί
Αζαριας N---NSM--- Αζαριας

DanTh 1:7
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
ἀρχιευνοῦχος N2--NSM--- ἀρχιευνοῦχος
ὀνόματα N3M-APN--- ὄνομα
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
Βαλτασαρ N---ASM--- Βαλτασαρ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ανανια N---DSM--- Ανανιας
Σεδραχ N---ASM--- Σεδραχ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Μισαηλ N---DSM--- Μισαηλ
Μισαχ N---ASM--- Μισαχ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Αζαρια N---DSM--- Αζαριας
Αβδεναγω N---ASM--- Αβδεναγω

DanTh 1:8
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
Δανιηλ N---NSM--- Δανιηλ
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
οὐ D--------- οὐ
μὴ D--------- μή
ἀλισγηθῇ VC--APS3S- ἀλισγέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
τραπέζῃ N1S-DSF--- τράπεζα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴνῳ N2--DSM--- οἶνος
τοῦ RA--GSM--- ὁ
πότου N2--GSM--- πότος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἠξίωσε VAI-AAI3S- ἀξιόω
τὸν RA--ASM--- ὁ
ἀρχιευνοῦχον N2--ASM--- ἀρχιευνοῦχος
ὡς C--------- ὡς
οὐ D--------- οὐ
μὴ D--------- μή
ἀλισγηθῇ VC--APS3S- ἀλισγέω

DanTh 1:9
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
εἰς P--------- εἰς
ἔλεον N2--ASM--- ἔλεος
καὶ C--------- καί
εἰς P--------- εἰς
οἰκτιρμὸν N2--ASM--- οἰκτιρμός
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
ἀρχιευνούχου N2--GSM--- ἀρχιευνοῦχος

DanTh 1:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἀρχιευνοῦχος N2--NSM--- ἀρχιευνοῦχος
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
φοβοῦμαι V2--PMI1S- φοβέω
ἐγὼ RP--NS---- ἐγώ
τὸν RA--ASM--- ὁ
κύριόν N2--ASM--- κύριος
μου RP--GS---- ἐγώ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τὸν RA--ASM--- ὁ
ἐκτάξαντα VA--AAPASM τάσσω ἐκ
τὴν RA--ASF--- ὁ
βρῶσιν N3I-ASF--- βρῶσις
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πόσιν N3I-ASF--- πόσις
ὑμῶν RP--GP---- σύ
μήποτε D--------- μήποτε
ἴδῃ VB--AAS3S- ὁράω
τὰ RA--APN--- ὁ
πρόσωπα N2N-APN--- πρόσωπον
ὑμῶν RP--GP---- σύ
σκυθρωπὰ A1B-APN--- σκυθρωπός
παρὰ P--------- παρά
τὰ RA--APN--- ὁ
παιδάρια N2N-APN--- παιδάριον
τὰ RA--APN--- ὁ
συνήλικα A1--APN--- συνήλικος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
καταδικάσητε VA--AAS2P- δικάζω κατα
τὴν RA--ASF--- ὁ
κεφαλήν N1--ASF--- κεφαλή
μου RP--GS---- ἐγώ
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

DanTh 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
πρὸς P--------- πρός
Αμελσαδ N---ASM--- Αμελσαδ
ὃν RR--ASM--- ὅς
κατέστησεν VAI-AAI3S- ἵστημι κατα
ὁ RA--NSM--- ὁ
ἀρχιευνοῦχος N2--NSM--- ἀρχιευνοῦχος
ἐπὶ P--------- ἐπί
Δανιηλ N---ASM--- Δανιηλ
Ανανιαν N---ASM--- Ανανιας
Μισαηλ N---ASM--- Μισαηλ
Αζαριαν N---ASM--- Αζαριας

DanTh 1:12
πείρασον VA--AAD2S- πειράζω
δὴ X--------- δή
τοὺς RA--APM--- ὁ
παῖδάς N3D-APM--- παῖς
σου RP--GS---- σύ
ἡμέρας N1A-APF--- ἡμέρα
δέκα M--------- δέκα
καὶ C--------- καί
δότωσαν VO--AAD3P- δίδωμι
ἡμῖν RP--DP---- ἐγώ
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
σπερμάτων N3M-GPN--- σπέρμα
καὶ C--------- καί
φαγόμεθα VF--FMI1P- ἐσθίω
καὶ C--------- καί
ὕδωρ N3--ASN--- ὕδωρ
πιόμεθα VF--FMI1P- πίνω

DanTh 1:13
καὶ C--------- καί
ὀφθήτωσαν VV--APD3P- ὁράω
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
αἱ RA--NPF--- ὁ
ἰδέαι N1A-NPF--- ἰδέα
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἰδέαι N1A-NPF--- ἰδέα
τῶν RA--GPN--- ὁ
παιδαρίων N2N-GPN--- παιδάριον
τῶν RA--GPN--- ὁ
ἐσθιόντων V1--PAPGPN ἐσθίω
τὴν RA--ASF--- ὁ
τράπεζαν N1S-ASF--- τράπεζα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
καθὼς D--------- καθώς
ἂν X--------- ἄν
ἴδῃς VB--AAS2S- ὁράω
ποίησον VA--AAD2S- ποιέω
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ

DanTh 1:14
καὶ C--------- καί
εἰσήκουσεν VAI-AAI3S- ἀκούω εἰς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐπείρασεν VAI-AAI3S- πειράζω
αὐτοὺς RD--APM--- αὐτός
ἡμέρας N1A-APF--- ἡμέρα
δέκα M--------- δέκα

DanTh 1:15
καὶ C--------- καί
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
τέλος N3E-ASN--- τέλος
τῶν RA--GPF--- ὁ
δέκα M--------- δέκα
ἡμερῶν N1A-GPF--- ἡμέρα
ὡράθησαν VCI-API3P- ὁράω
αἱ RA--NPF--- ὁ
ἰδέαι N1A-NPF--- ἰδέα
αὐτῶν RD--GPM--- αὐτός
ἀγαθαὶ A1--NPF--- ἀγαθός
καὶ C--------- καί
ἰσχυραὶ A1A-NPF--- ἰσχυρός
ταῖς RA--DPF--- ὁ
σαρξὶν N3K-DPF--- σάρξ
ὑπὲρ P--------- ὑπέρ
τὰ RA--APN--- ὁ
παιδάρια N2N-APN--- παιδάριον
τὰ RA--APN--- ὁ
ἐσθίοντα V1--PAPASN ἐσθίω
τὴν RA--ASF--- ὁ
τράπεζαν N1S-ASF--- τράπεζα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

DanTh 1:16
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
Αμελσαδ N---NSM--- Αμελσαδ
ἀναιρούμενος V2--PMPNSM αἱρέω ἀνα
τὸ RA--ASN--- ὁ
δεῖπνον N2N-ASN--- δεῖπνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
τοῦ RA--GSN--- ὁ
πόματος N3M-GSN--- πόμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐδίδου V8I-IMI3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
σπέρματα N3M-APN--- σπέρμα

DanTh 1:17
καὶ C--------- καί
τὰ RA--NPN--- ὁ
παιδάρια N2N-NPN--- παιδάριον
ταῦτα RD--NPN--- οὗτος
οἱ RA--NPM--- ὁ
τέσσαρες A3--NPM--- τέσσαρες
αὐτοί RD--NPM--- αὐτός
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
σύνεσιν N3I-ASF--- σύνεσις
καὶ C--------- καί
φρόνησιν N3I-ASF--- φρόνησις
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
γραμματικῇ A1--DSF--- γραμματικός
καὶ C--------- καί
σοφίᾳ N1A-DSF--- σοφία
καὶ C--------- καί
Δανιηλ N---NSM--- Δανιηλ
συνῆκεν VAI-AAI3S- ἵημι συν
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
ὁράσει N3I-DSF--- ὅρασις
καὶ C--------- καί
ἐνυπνίοις N2N-DPN--- ἐνύπνιον

DanTh 1:18
καὶ C--------- καί
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
τέλος N3E-ASN--- τέλος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
ὧν RR--GPF--- ὅς
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἰσαγαγεῖν VB--AAN--- ἄγω εἰς
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
εἰσήγαγεν VBI-AAI3S- ἄγω εἰς
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
ἀρχιευνοῦχος N2--NSM--- ἀρχιευνοῦχος
ἐναντίον P--------- ἐναντίον
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ

DanTh 1:19
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρέθησαν VC--API3P- εὑρίσκω
ἐκ P--------- ἐκ
πάντων A3--GPM--- πᾶς
αὐτῶν RD--GPM--- αὐτός
ὅμοιοι A1A-NPM--- ὅμοιος
Δανιηλ N---DSM--- Δανιηλ
καὶ C--------- καί
Ανανια N---DSM--- Ανανιας
καὶ C--------- καί
Μισαηλ N---DSM--- Μισαηλ
καὶ C--------- καί
Αζαρια N---DSM--- Αζαριας
καὶ C--------- καί
ἔστησαν VAI-AAI3P- ἵστημι
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

DanTh 1:20
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSN--- πᾶς
ῥήματι N3M-DSN--- ῥῆμα
σοφίας N1A-GSF--- σοφία
καὶ C--------- καί
ἐπιστήμης N1--GSF--- ἐπιστήμη
ὧν RR--GPN--- ὅς
ἐζήτησεν VAI-AAI3S- ζητέω
παρ' P--------- παρά
αὐτῶν RD--GPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
εὗρεν VB--AAI3S- εὑρίσκω
αὐτοὺς RD--APM--- αὐτός
δεκαπλασίονας A3N-APM--- δεκαπλασίων
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἐπαοιδοὺς N2--APM--- ἐπαοιδός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
μάγους N2--APM--- μάγος
τοὺς RA--APM--- ὁ
ὄντας V9--PAPAPM εἰμί
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

DanTh 1:21
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
Δανιηλ N---NSM--- Δανιηλ
ἕως P--------- ἕως
ἔτους N3E-GSN--- ἔτος
ἑνὸς A3--GSN--- εἷς
Κύρου N---GSM--- Κῦρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

DanTh 2:1
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
δευτέρῳ A1A-DSN--- δεύτερος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
ἠνυπνιάσθη VCI-API3S- ἐνυπνιάζομαι
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ὕπνος N2--NSM--- ὕπνος
αὐτοῦ RD--GSM--- αὐτός
ἐγένετο VBI-AMI3S- γίγνομαι
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

DanTh 2:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καλέσαι VA--AAN--- καλέω
τοὺς RA--APM--- ὁ
ἐπαοιδοὺς N2--APM--- ἐπαοιδός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
μάγους N2--APM--- μάγος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
φαρμακοὺς N2--APM--- φαρμακός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
Χαλδαίους N2--APM--- Χαλδαῖος
τοῦ RA--GSN--- ὁ
ἀναγγεῖλαι VA--AAN--- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τὰ RA--APN--- ὁ
ἐνύπνια N2N-APN--- ἐνύπνιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἦλθαν VBI-AAI3P- ἔρχομαι
καὶ C--------- καί
ἔστησαν VAI-AAI3P- ἵστημι
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

DanTh 2:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ἠνυπνιάσθην VCI-API1S- ἐνυπνιάζομαι
καὶ C--------- καί
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
τὸ RA--NSN--- ὁ
πνεῦμά N3M-NSN--- πνεῦμα
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
γνῶναι VZ--AAN--- γιγνώσκω
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον

DanTh 2:4
καὶ C--------- καί
ἐλάλησαν VAI-AAI3P- λαλέω
οἱ RA--NPM--- ὁ
Χαλδαῖοι N2--NPM--- Χαλδαῖος
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
Συριστί D--------- Συριστί
βασιλεῦ N3V-VSM--- βασιλεύς
εἰς P--------- εἰς
τοὺς RA--APM--- ὁ
αἰῶνας N3W-APM--- αἰών
ζῆθι V3--PAD2S- ζάω
σὺ RP--NS---- σύ
εἰπὸν VB--AAD2S- εἶπον
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
τοῖς RA--DPM--- ὁ
παισίν N3D-DPM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
ἀναγγελοῦμεν VF2-FAI1P- ἀγγέλλω ἀνα

DanTh 2:5
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
Χαλδαίοις N2--DPM--- Χαλδαῖος
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἐὰν C--------- ἐάν
μὴ D--------- μή
γνωρίσητέ VA--AAS2P- γνωρίζω
μοι RP--DS---- ἐγώ
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
εἰς P--------- εἰς
ἀπώλειαν N1A-ASF--- ἀπώλεια
ἔσεσθε VF--FMI2P- εἰμί
καὶ C--------- καί
οἱ RA--NPM--- ὁ
οἶκοι N2--NPM--- οἶκος
ὑμῶν RP--GP---- σύ
διαρπαγήσονται VF2-FMI3P- ἁρπάζω δια

DanTh 2:6
ἐὰν C--------- ἐάν
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
γνωρίσητέ VA--AAS2P- γνωρίζω
μοι RP--DS---- ἐγώ
δόματα N3M-APN--- δόμα
καὶ C--------- καί
δωρεὰς N1A-APF--- δωρεά
καὶ C--------- καί
τιμὴν N1--ASF--- τιμή
πολλὴν A1--ASF--- πολύς
λήμψεσθε VF--FMI2P- λαμβάνω
παρ' P--------- παρά
ἐμοῦ RP--GS---- ἐγώ
πλὴν D--------- πλήν
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
ἀπαγγείλατέ VA--AAD2P- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ

DanTh 2:7
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
δεύτερον A1A-ASM--- δεύτερος
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ὁ RA--VSM--- ὁ
βασιλεὺς N3V-VSM--- βασιλεύς
εἰπάτω VB--AAD3S- εἶπον
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
τοῖς RA--DPM--- ὁ
παισὶν N3D-DPM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός
ἀναγγελοῦμεν VF2-FAI1P- ἀγγέλλω ἀνα

DanTh 2:8
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
οἶδα VX--XAI1S- οἶδα
ἐγὼ RP--NS---- ἐγώ
ὅτι C--------- ὅτι
καιρὸν N2--ASM--- καιρός
ὑμεῖς RP--NP---- σύ
ἐξαγοράζετε V1--PAI2P- ἀγοράζω ἐκ
καθότι D--------- καθότι
εἴδετε VBI-AAI2P- ὁράω
ὅτι C--------- ὅτι
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
τὸ RA--NSN--- ὁ
ῥῆμα N3M-NSN--- ῥῆμα

DanTh 2:9
ἐὰν C--------- ἐάν
οὖν X--------- οὖν
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
μὴ D--------- μή
ἀναγγείλητέ VA--AAS2P- ἀγγέλλω ἀνα
μοι RP--DS---- ἐγώ
οἶδα VX--XAI1S- οἶδα
ὅτι C--------- ὅτι
ῥῆμα N3M-ASN--- ῥῆμα
ψευδὲς A3H-ASN--- ψευδής
καὶ C--------- καί
διεφθαρμένον VM--XMPASM φθείρω δια
συνέθεσθε VEI-AMI2P- τίθημι συν
εἰπεῖν VB--AAN--- εἶπον
ἐνώπιόν P--------- ἐνώπιον
μου RP--GS---- ἐγώ
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ὁ RA--NSM--- ὁ
καιρὸς N2--NSM--- καιρός
παρέλθῃ VB--AAS3S- ἔρχομαι παρα
τὸ RA--ASN--- ὁ
