Jos 1:1
ἀφ' P--------- ἀπό
ἡλίου N2--GSM--- ἥλιος
δυσμῶν N1--GPF--- δυσμή
ἔσται VF--FMI3S- εἰμί
τὰ RA--NPN--- ὁ
ὅρια N2N-NPN--- ὅριον
ὑμῶν RP--GP---- σύ

Jos 1:5
οὐκ D--------- οὐ
ἀντιστήσεται VF--FMI3S- ἵστημι ἀντι
ἄνθρωπος N2--NSM--- ἄνθρωπος
κατενώπιον P--------- κατενώπιον
ὑμῶν RP--GP---- σύ
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
σου RP--GS---- σύ
καὶ C--------- καί
ὥσπερ D--------- ὥσπερ
ἤμην V1I-IMI1S- εἰμί
μετὰ P--------- μετά
Μωυσῆ N1M-GSM--- Μωυσῆς
οὕτως D--------- οὕτως
ἔσομαι VF--FMI1S- εἰμί
καὶ D--------- καί
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγκαταλείψω VF--FAI1S- λείπω ἐν κατα
σε RP--AS---- σύ
οὐδὲ C--------- οὐδέ
ὑπερόψομαί VF--FMI1S- ὁράω ὑπερ
σε RP--AS---- σύ

Jos 1:6
ἴσχυε V1--PAD2S- ἰσχύω
καὶ C--------- καί
ἀνδρίζου V1--PMD2S- ἀνδρίζομαι
σὺ RP--NS---- σύ
γὰρ X--------- γάρ
ἀποδιαστελεῖς VF2-FAI2S- στέλλω ἀπο δια
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τούτῳ RD--DSM--- οὗτος
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
ὤμοσα VAI-AAI1S- ὄμνυμι
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ὑμῶν RP--GP---- σύ
δοῦναι VO--AAN--- δίδωμι
αὐτοῖς RD--DPM--- αὐτός

Jos 1:7
ἴσχυε V1--PAD2S- ἰσχύω
οὖν X--------- οὖν
καὶ C--------- καί
ἀνδρίζου V1--PMD2S- ἀνδρίζομαι
φυλάσσεσθαι V1--PMN--- φυλάσσω
καὶ C--------- καί
ποιεῖν V2--PAN--- ποιέω
καθότι D--------- καθότι
ἐνετείλατό VAI-AMI3S- τέλλομαι ἐν
σοι RP--DS---- σύ
Μωυσῆς N1M-NSM--- Μωυσῆς
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐκκλινεῖς VF2-FAI2S- κλίνω ἐκ
ἀπ' P--------- ἀπό
αὐτῶν RD--GPN--- αὐτός
εἰς P--------- εἰς
δεξιὰ A1A-APN--- δεξιός
οὐδὲ C--------- οὐδέ
εἰς P--------- εἰς
ἀριστερά A1A-APN--- ἀριστερός
ἵνα C--------- ἵνα
συνῇς V9--PAS2S- εἰμί συν
ἐν P--------- ἐν
πᾶσιν A3--DPN--- πᾶς
οἷς RR--DPN--- ὅς
ἐὰν C--------- ἐάν
πράσσῃς V1--PAS2S- πράσσω

Jos 1:8
καὶ C--------- καί
οὐκ D--------- οὐ
ἀποστήσεται VF--FMI3S- ἵστημι ἀπο
ἡ RA--NSF--- ὁ
βίβλος N2--NSF--- βίβλος
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος
τούτου RD--GSM--- οὗτος
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
στόματός N3M-GSN--- στόμα
σου RP--GS---- σύ
καὶ C--------- καί
μελετήσεις VF--FAI2S- μελετάω
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
ἡμέρας N1A-GSF--- ἡμέρα
καὶ C--------- καί
νυκτός N3--GSF--- νύξ
ἵνα C--------- ἵνα
συνῇς V9--PAS2S- εἰμί συν
ποιεῖν V2--PAN--- ποιέω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
γεγραμμένα VP--XMPAPN γράφω
τότε D--------- τότε
εὐοδωθήσῃ VC--FPI2S- εὐοδόω
καὶ C--------- καί
εὐοδώσεις VF--FAI2S- εὐοδόω
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
σου RP--GS---- σύ
καὶ C--------- καί
τότε D--------- τότε
συνήσεις VF--FAI2S- ἵημι συν

Jos 1:9
ἰδοὺ I--------- ἰδού
ἐντέταλμαί VM--XMI1S- τέλλομαι ἐν
σοι RP--DS---- σύ
ἴσχυε V1--PAD2S- ἰσχύω
καὶ C--------- καί
ἀνδρίζου V1--PMD2S- ἀνδρίζομαι
μὴ D--------- μή
δειλιάσῃς VA--AAS2S- δειλιάω
μηδὲ C--------- μηδέ
φοβηθῇς VC--APS2S- φοβέω
ὅτι C--------- ὅτι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GS---- σύ
εἰς P--------- εἰς
πάντα A3--ASM--- πᾶς
οὗ D--------- οὗ
ἐὰν C--------- ἐάν
πορεύῃ V1--PMS2S- πορεύομαι

Jos 1:10
καὶ C--------- καί
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
Ἰησοῦς N---NSM--- Ἰησοῦς
τοῖς RA--DPM--- ὁ
γραμματεῦσιν N3V-DPM--- γραμματεύς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
λέγων V1--PAPNSM λέγω

Jos 1:11
εἰσέλθατε VB--AAD2P- ἔρχομαι εἰς
κατὰ P--------- κατά
μέσον A1--ASN--- μέσος
τῆς RA--GSF--- ὁ
παρεμβολῆς N1--GSF--- παρεμβολή
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
καὶ C--------- καί
ἐντείλασθε VA--AMD2P- τέλλομαι ἐν
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
λέγοντες V1--PAPNPM λέγω
ἑτοιμάζεσθε V1--PMD2P- ἑτοιμάζω
ἐπισιτισμόν N2--ASM--- ἐπισιτισμός
ὅτι C--------- ὅτι
ἔτι D--------- ἔτι
τρεῖς A3--NPF--- τρεῖς
ἡμέραι N1A-NPF--- ἡμέρα
καὶ C--------- καί
ὑμεῖς RP--NP---- σύ
διαβαίνετε V1--PAI2P- βαίνω δια
τὸν RA--ASM--- ὁ
Ιορδάνην N1M-ASM--- Ἰορδάνης
τοῦτον RD--ASM--- οὗτος
εἰσελθόντες VB--AAPNPM ἔρχομαι εἰς
κατασχεῖν VB--AAN--- ἔχω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ὑμῶν RP--GP---- σύ
δίδωσιν V8--PAI3S- δίδωμι
ὑμῖν RP--DP---- σύ

Jos 1:12
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Ρουβην N---DS---- Ρουβην
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Γαδ N---DS---- Γαδ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
ἡμίσει A3U-DSM--- ἥμισυς
φυλῆς N1--GSF--- φυλή
Μανασση N---GS---- Μανασσή
εἶπεν VBI-AAI3S- εἶπον
Ἰησοῦς N---NSM--- Ἰησοῦς

Jos 1:13
μνήσθητε VS--APD2P- μιμνήσκω
τὸ RA--ASN--- ὁ
ῥῆμα N3M-ASN--- ῥῆμα
κυρίου N2--GSM--- κύριος
ὃ RR--ASN--- ὅς
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
ὑμῖν RP--DP---- σύ
Μωυσῆς N1M-NSM--- Μωυσῆς
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
κυρίου N2--GSM--- κύριος
λέγων V1--PAPNSM λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
κατέπαυσεν VAI-AAI3S- παύω κατα
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
ὑμῖν RP--DP---- σύ
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ταύτην RD--ASF--- οὗτος

Jos 1:14
αἱ RA--NPF--- ὁ
γυναῖκες N3K-NPF--- γυνή
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
παιδία N2N-NPN--- παιδίον
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὰ RA--NPN--- ὁ
κτήνη N3E-NPN--- κτῆνος
ὑμῶν RP--GP---- σύ
κατοικείτωσαν V2--PAD3P- οἰκέω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ᾗ RR--DSF--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
ὑμῖν RP--DP---- σύ
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
διαβήσεσθε VF--FMI2P- βαίνω δια
εὔζωνοι A1B-NPM--- εὔζωνος
πρότεροι A1A-NPMC-- πρότερος
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ὑμῶν RP--GP---- σύ
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
ἰσχύων V1--PAPNSM ἰσχύω
καὶ C--------- καί
συμμαχήσετε VF--FAI2P- μαχέω συν
αὐτοῖς RD--DPM--- αὐτός

Jos 1:15
ἕως C--------- ἕως
ἂν X--------- ἄν
καταπαύσῃ VA--AAS3S- παύω κατα
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
τοὺς RA--APM--- ὁ
ἀδελφοὺς N2--APM--- ἀδελφός
ὑμῶν RP--GP---- σύ
ὥσπερ D--------- ὥσπερ
καὶ D--------- καί
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
κληρονομήσωσιν VA--AAS3P- κληρονομέω
καὶ D--------- καί
οὗτοι RD--NPM--- οὗτος
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἣν RR--ASF--- ὅς
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
δίδωσιν V8--PAI3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἀπελεύσεσθε VF--FMI2P- ἔρχομαι ἀπο
ἕκαστος A1--NSM--- ἕκαστος
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
κληρονομίαν N1A-ASF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός
ἣν RR--ASF--- ὅς
δέδωκεν VX--XAI3S- δίδωμι
ὑμῖν RP--DP---- σύ
Μωυσῆς N1M-NSM--- Μωυσῆς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πέραν D--------- πέραν
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἀπ' P--------- ἀπό
ἀνατολῶν N1--GPF--- ἀνατολή
ἡλίου N2--GSM--- ἥλιος

Jos 1:16
καὶ C--------- καί
ἀποκριθέντες VC--APPNPM κρίνω ἀπο
τῷ RA--DSM--- ὁ
Ἰησοῖ N---DSM--- Ἰησοῦς
εἶπαν VAI-AAI3P- εἶπον
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἂν X--------- ἄν
ἐντείλῃ VA--AMS2S- τέλλομαι ἐν
ἡμῖν RP--DP---- ἐγώ
ποιήσομεν VF--FAI1P- ποιέω
καὶ C--------- καί
εἰς P--------- εἰς
πάντα A3--ASM--- πᾶς
τόπον N2--ASM--- τόπος
οὗ D--------- οὗ
ἐὰν C--------- ἐάν
ἀποστείλῃς VA--AAS2S- στέλλω ἀπο
ἡμᾶς RP--AP---- ἐγώ
πορευσόμεθα VF--FMI1P- πορεύομαι

Jos 1:17
κατὰ P--------- κατά
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἠκούσαμεν VAI-AAI1P- ἀκούω
Μωυσῆ N1M-GSM--- Μωυσῆς
ἀκουσόμεθα VF--FMI1P- ἀκούω
σοῦ RP--GS---- σύ
πλὴν D--------- πλήν
ἔστω V9--PAD3S- εἰμί
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
ἦν V9--IAI3S- εἰμί
μετὰ P--------- μετά
Μωυσῆ N1M-GSM--- Μωυσῆς

Jos 1:18
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ὃς RR--NSM--- ὅς
ἐὰν C--------- ἐάν
ἀπειθήσῃ VA--AAS3S- ἀπειθέω
σοι RP--DS---- σύ
καὶ C--------- καί
ὅστις RX--NSM--- ὅστις
μὴ D--------- μή
ἀκούσῃ VA--AAS3S- ἀκούω
τῶν RA--GPN--- ὁ
ῥημάτων N3M-GPN--- ῥῆμα
σου RP--GS---- σύ
καθότι D--------- καθότι
ἂν X--------- ἄν
αὐτῷ RD--DSM--- αὐτός
ἐντείλῃ VA--AMS2S- τέλλομαι ἐν
ἀποθανέτω VB--AAD3S- θνήσκω ἀπο
ἀλλὰ C--------- ἀλλά
ἴσχυε V1--PAD2S- ἰσχύω
καὶ C--------- καί
ἀνδρίζου V1--PMD2S- ἀνδρίζομαι

Jos 2:1
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Ἰησοῦς N---NSM--- Ἰησοῦς
υἱὸς N2--NSM--- υἱός
Ναυη N---GSM--- Ναυη
ἐκ P--------- ἐκ
Σαττιν N---G----- Σαττιν
δύο M--------- δύο
νεανίσκους N2--APM--- νεανίσκος
κατασκοπεῦσαι VA--AAN--- σκοπεύω κατα
λέγων V1--PAPNSM λέγω
ἀνάβητε VZ--AAD2P- βαίνω ἀνα
καὶ C--------- καί
ἴδετε VB--AAD2P- ὁράω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
Ιεριχω N---ASF--- Ιεριχω
καὶ C--------- καί
πορευθέντες VC--APPNPM πορεύομαι
εἰσήλθοσαν VBI-AAI3P- ἔρχομαι εἰς
οἱ RA--NPM--- ὁ
δύο M--------- δύο
νεανίσκοι N2--NPM--- νεανίσκος
εἰς P--------- εἰς
Ιεριχω N---ASF--- Ιεριχω
καὶ C--------- καί
εἰσήλθοσαν VBI-AAI3P- ἔρχομαι εἰς
εἰς P--------- εἰς
οἰκίαν N1A-ASF--- οἰκία
γυναικὸς N3K-GSF--- γυνή
πόρνης N1--GSF--- πόρνη
ᾗ RR--DSF--- ὅς
ὄνομα N3M-NSN--- ὄνομα
Ρααβ N---NS---- Ρααβ
καὶ C--------- καί
κατέλυσαν VAI-AAI3P- λύω κατα
ἐκεῖ D--------- ἐκεῖ

Jos 2:2
καὶ C--------- καί
ἀπηγγέλη VDI-API3S- ἀγγέλλω ἀπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
Ιεριχω N---GSF--- Ιεριχω
λέγοντες V1--PAPNPM λέγω
εἰσπεπόρευνται VM--XMI3P- πορεύομαι εἰς
ὧδε D--------- ὧδε
ἄνδρες N3--NPM--- ἀνήρ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
κατασκοπεῦσαι VA--AAN--- σκοπεύω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Jos 2:3
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ιεριχω N---GSF--- Ιεριχω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
Ρααβ N---AS---- Ρααβ
λέγων V1--PAPNSM λέγω
ἐξάγαγε VB--AAD2S- ἄγω ἐκ
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
τοὺς RA--APM--- ὁ
εἰσπεπορευμένους VM--XMPAPM πορεύομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
οἰκίαν N1A-ASF--- οἰκία
σου RP--GS---- σύ
τὴν RA--ASF--- ὁ
νύκτα N3--ASF--- νύξ
κατασκοπεῦσαι VA--AAN--- σκοπεύω κατα
γὰρ X--------- γάρ
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἥκασιν V1--PAI3P- ἥκω

Jos 2:4
καὶ C--------- καί
λαβοῦσα VB--AAPNSF λαμβάνω
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
τοὺς RA--APM--- ὁ
ἄνδρας N3--APM--- ἀνήρ
ἔκρυψεν VAI-AAI3S- κρύπτω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
λέγουσα V1--PAPNSF λέγω
εἰσεληλύθασιν VX--XAI3P- ἔρχομαι εἰς
πρός P--------- πρός
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ

Jos 2:5
ὡς C--------- ὡς
δὲ X--------- δέ
ἡ RA--NSF--- ὁ
πύλη N1--NSF--- πύλη
ἐκλείετο V1I-IMI3S- κλείω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
σκότει N3E-DSN--- σκότος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
οὐκ D--------- οὐ
ἐπίσταμαι V6--PMI1S- ἐπίσταμαι
ποῦ D--------- ποῦ
πεπόρευνται VM--XMI3P- πορεύομαι
καταδιώξατε VA--AAD2P- διώκω κατα
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός
εἰ C--------- εἰ
καταλήμψεσθε VF--FMI2P- λαμβάνω κατα
αὐτούς RD--APM--- αὐτός

Jos 2:6
αὐτὴ RD--NSF--- αὐτός
δὲ X--------- δέ
ἀνεβίβασεν VAI-AAI3S- βιβάζω ἀνα
αὐτοὺς RD--APM--- αὐτός
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
δῶμα N3M-ASN--- δῶμα
καὶ C--------- καί
ἔκρυψεν VAI-AAI3S- κρύπτω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
λινοκαλάμῃ N1--DSF--- λινοκαλάμη
τῇ RA--DSF--- ὁ
ἐστοιβασμένῃ VT--XPPDSF στοιβάζω
αὐτῇ RD--DSF--- αὐτός
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
δώματος N3M-GSN--- δῶμα

Jos 2:7
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
κατεδίωξαν VAI-AAI3P- διώκω κατα
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός
ὁδὸν N2--ASF--- ὁδός
τὴν RA--ASF--- ὁ
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
διαβάσεις N3I-APF--- διάβασις
καὶ C--------- καί
ἡ RA--NSF--- ὁ
πύλη N1--NSF--- πύλη
ἐκλείσθη VSI-API3S- κλείω
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἐξήλθοσαν VBI-AAI3P- ἔρχομαι ἐκ
οἱ RA--NPM--- ὁ
διώκοντες V1--PAPNPM διώκω
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός

Jos 2:8
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
δὲ X--------- δέ
πρὶν D--------- πρίν
ἢ C--------- ἤ
κοιμηθῆναι VC--APN--- κοιμάω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
δῶμα N3M-ASN--- δῶμα
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός

Jos 2:9
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἐπίσταμαι V6--PMI1S- ἐπίσταμαι
ὅτι C--------- ὅτι
δέδωκεν VX--XAI3S- δίδωμι
ὑμῖν RP--DP---- σύ
κύριος N2--NSM--- κύριος
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐπιπέπτωκεν VX--XAI3S- πίπτω ἐπι
γὰρ X--------- γάρ
ὁ RA--NSM--- ὁ
φόβος N2--NSM--- φόβος
ὑμῶν RP--GP---- σύ
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ

Jos 2:10
ἀκηκόαμεν VX--XAI1P- ἀκούω
γὰρ X--------- γάρ
ὅτι C--------- ὅτι
κατεξήρανεν VAI-AAI3S- ξηραίνω κατα
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὴν RA--ASF--- ὁ
ἐρυθρὰν A1A-ASF--- ἐρυθρός
θάλασσαν N1S-ASF--- θάλασσα
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ὅτε D--------- ὅτε
ἐξεπορεύεσθε V1I-IMI2P- πορεύομαι ἐκ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐποίησεν VAI-AAI3S- ποιέω
τοῖς RA--DPM--- ὁ
δυσὶ M---DPM--- δύο
βασιλεῦσιν N3V-DPM--- βασιλεύς
τῶν RA--GPM--- ὁ
Αμορραίων N2--GPM--- Ἀμορραῖος
οἳ RR--NPM--- ὅς
ἦσαν V9--IAI3P- εἰμί
πέραν P--------- πέραν
τοῦ RA--GSM--- ὁ
Ιορδάνου N1M-GSM--- Ἰορδάνης
τῷ RA--DSM--- ὁ
Σηων N---DS---- Σηων
καὶ C--------- καί
Ωγ N---DS---- Ωγ
οὓς RR--APM--- ὅς
ἐξωλεθρεύσατε VAI-AAI2P- ὀλεθρεύω ἐκ
αὐτούς RD--APM--- αὐτός

Jos 2:11
καὶ C--------- καί
ἀκούσαντες VA--AAPNPM ἀκούω
ἡμεῖς RP--NP---- ἐγώ
ἐξέστημεν VHI-AAI1P- ἵστημι ἐκ
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστη VHI-AAI3S- ἵστημι
ἔτι D--------- ἔτι
πνεῦμα N3M-NSN--- πνεῦμα
ἐν P--------- ἐν
οὐδενὶ A3--DSM--- οὐδείς
ἡμῶν RP--GP---- ἐγώ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
ὑμῶν RP--GP---- σύ
ὅτι C--------- ὅτι
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὑμῶν RP--GP---- σύ
θεὸς N2--NSM--- θεός
ἐν P--------- ἐν
οὐρανῷ N2--DSM--- οὐρανός
ἄνω D--------- ἄνω
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
κάτω D--------- κάτω

Jos 2:12
καὶ C--------- καί
νῦν D--------- νῦν
ὀμόσατέ VA--AAD2P- ὄμνυμι
μοι RP--DS---- ἐγώ
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
ὅτι C--------- ὅτι
ποιῶ V2--PAI1S- ποιέω
ὑμῖν RP--DP---- σύ
ἔλεος N3E-ASN--- ἔλεος
