Est 1:1a
ἥλιος N2--NSM--- ἥλιος
ἀνέτειλεν VAI-AAI3S- τέλλω ἀνα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ταπεινοὶ A1--NPM--- ταπεινός
ὑψώθησαν VCI-API3P- ὑψόω
καὶ C--------- καί
κατέφαγον VBI-AAI3P- ἐσθίω κατα
τοὺς RA--APM--- ὁ
ἐνδόξους A1B-APM--- ἔνδοξος

Est 1:1l
καὶ C--------- καί
διεγερθεὶς VC--APPNSM ἐγείρω δια
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ὁ RA--NSM--- ὁ
ἑωρακὼς VX--XAPNSM ὁράω
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
τοῦτο RD--ASN--- οὗτος
καὶ C--------- καί
τί RI--ASN--- τίς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
βεβούλευται VM--XMI3S- βουλεύω
ποιῆσαι VA--AAN--- ποιέω
εἶχεν V1I-IAI3S- ἔχω
αὐτὸ RD--ASN--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
λόγῳ N2--DSM--- λόγος
ἤθελεν V1I-IAI3S- θέλω
ἐπιγνῶναι VZ--AAN--- γιγνώσκω ἐπι
αὐτὸ RD--ASN--- αὐτός
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
νυκτός N3--GSF--- νύξ

Est 1:1m
καὶ C--------- καί
ἡσύχασεν VA--AAI3S- ἡσυχάζω
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
μετὰ P--------- μετά
Γαβαθα N---GSM--- Γαβαθα
καὶ C--------- καί
Θαρρα N---GSM--- Θαρρα
τῶν RA--GPM--- ὁ
δύο M--------- δύο
εὐνούχων N2--GPM--- εὐνοῦχος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τῶν RA--GPM--- ὁ
φυλασσόντων V1--PAPGPM φυλάσσω
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή

Est 1:1n
ἤκουσέν VAI-AAI3S- ἀκούω
τε X--------- τε
αὐτῶν RD--GPM--- αὐτός
τοὺς RA--APM--- ὁ
λογισμοὺς N2--APM--- λογισμός
καὶ C--------- καί
τὰς RA--APF--- ὁ
μερίμνας N1A-APF--- μέριμνα
αὐτῶν RD--GPM--- αὐτός
ἐξηρεύνησεν VAI-AAI3S- ἐρευνάω ἐκ
καὶ C--------- καί
ἔμαθεν VBI-AAI3S- μανθάνω
ὅτι C--------- ὅτι
ἑτοιμάζουσιν V1--PAI3P- ἑτοιμάζω
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
ἐπιβαλεῖν VB--AAN--- βάλλω ἐπι
Ἀρταξέρξῃ N1M-DSM--- Ἀρταξέρξης
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
περὶ P--------- περί
αὐτῶν RD--GPM--- αὐτός

Est 1:1o
καὶ C--------- καί
ἐξήτασεν VAI-AAI3S- ἐτάζω ἐκ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τοὺς RA--APM--- ὁ
δύο M--------- δύο
εὐνούχους N2--APM--- εὐνοῦχος
καὶ C--------- καί
ὁμολογήσαντες VA--AAPNPM ὁμολογέω
ἀπήχθησαν VQI-API3P- ἄγω ἀπο

Est 1:1p
καὶ C--------- καί
ἔγραψεν VAI-AAI3S- γράφω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
εἰς P--------- εἰς
μνημόσυνον N2N-ASN--- μνημόσυνον
καὶ C--------- καί
Μαρδοχαῖος N2--NSM--- Μαρδοχαῖος
ἔγραψεν VAI-AAI3S- γράφω
περὶ P--------- περί
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
τούτων RD--GPM--- οὗτος

Est 1:1q
καὶ C--------- καί
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Μαρδοχαίῳ N2--DSM--- Μαρδοχαῖος
θεραπεύειν V1--PAN--- θεραπεύω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
δόματα N3M-APN--- δόμα
περὶ P--------- περί
τούτων RD--GPN--- οὗτος

Est 1:1r
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Αμαν N---NSM--- Αμαν
Αμαδαθου N2--GSM--- Αμαδαθος
Βουγαῖος N2--NSM--- Βουγαῖος
ἔνδοξος A1B-NSM--- ἔνδοξος
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἐζήτησεν VAI-AAI3S- ζητέω
κακοποιῆσαι VA--AAN--- κακοποιέω
τὸν RA--ASM--- ὁ
Μαρδοχαῖον N2--ASM--- Μαρδοχαῖος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
ὑπὲρ P--------- ὑπέρ
τῶν RA--GPM--- ὁ
δύο M--------- δύο
εὐνούχων N2--GPM--- εὐνοῦχος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 1:1s
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
μετὰ P--------- μετά
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης
οὗτος RD--NSM--- οὗτος
ὁ RA--NSM--- ὁ
Ἀρταξέρξης N1M-NSM--- Ἀρταξέρξης
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
Ἰνδικῆς N1--GSF--- Ἰνδική
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
ἑπτὰ M--------- ἑπτά
χωρῶν N1A-GPF--- χώρα
ἐκράτησεν VAI-AAI3S- κρατέω

Est 1:2
ἐν P--------- ἐν
αὐταῖς RD--DPF--- αὐτός
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ὅτε D--------- ὅτε
ἐθρονίσθη VCI-API3S- θρονίζω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀρταξέρξης N1M-NSM--- Ἀρταξέρξης
ἐν P--------- ἐν
Σούσοις N---DPN--- Σουσά
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις

Est 1:3
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τρίτῳ A1--DSN--- τρίτος
ἔτει N3E-DSN--- ἔτος
βασιλεύοντος V1--PAPGSM βασιλεύω
αὐτοῦ RD--GSM--- αὐτός
δοχὴν N1--ASF--- δοχή
ἐποίησεν VAI-AAI3S- ποιέω
τοῖς RA--DPM--- ὁ
φίλοις A1--DPM--- φίλος
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
λοιποῖς A1--DPN--- λοιπός
ἔθνεσιν N3E-DPN--- ἔθνος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
Περσῶν N1S-GPM--- Πέρσης
καὶ C--------- καί
Μήδων N2--GPM--- Μῆδοι
ἐνδόξοις A1B-DPM--- ἔνδοξος
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἄρχουσιν N3--DPM--- ἄρχων
τῶν RA--GPM--- ὁ
σατραπῶν N1M-GPM--- σατράπης

Est 1:4
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
δεῖξαι VA--AAN--- δεικνύω
αὐτοῖς RD--DPM--- αὐτός
τὸν RA--ASM--- ὁ
πλοῦτον N2--ASM--- πλοῦτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
τῆς RA--GSF--- ὁ
εὐφροσύνης N1--GSF--- εὐφροσύνη
τοῦ RA--GSM--- ὁ
πλούτου N2--GSM--- πλοῦτος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
ἡμέρας N1A-APF--- ἡμέρα
ἑκατὸν M--------- ἑκατόν
ὀγδοήκοντα M--------- ὀγδοήκοντα

Est 1:5
ὅτε D--------- ὅτε
δὲ X--------- δέ
ἀνεπληρώθησαν VCI-API3P- πληρόω ἀνα
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τοῦ RA--GSM--- ὁ
γάμου N2--GSM--- γάμος
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
πότον N2--ASM--- πότος
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
τοῖς RA--DPN--- ὁ
εὑρεθεῖσιν VC--APPDPN εὑρίσκω
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἐπὶ P--------- ἐπί
ἡμέρας N1A-APF--- ἡμέρα
ἓξ M--------- ἕξ
ἐν P--------- ἐν
αὐλῇ N1--DSF--- αὐλή
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 1:6
κεκοσμημένῃ VM--XMPDSF κοσμέω
βυσσίνοις A1--DPM--- βύσσινος
καὶ C--------- καί
καρπασίνοις N2--DPM--- καρπάσινος
τεταμένοις VM--XMPDPM τείνω
ἐπὶ P--------- ἐπί
σχοινίοις N2--DPN--- σχοινίον
βυσσίνοις A1--DPN--- βύσσινος
καὶ C--------- καί
πορφυροῖς A1C-DPN--- πορφύρεος
ἐπὶ P--------- ἐπί
κύβοις N2--DPM--- κύβος
χρυσοῖς A1C-DPM--- χρυσοῦς
καὶ C--------- καί
ἀργυροῖς A1C-DPM--- ἀργυροῦς
ἐπὶ P--------- ἐπί
στύλοις N2--DPM--- στῦλος
παρίνοις A1--DPM--- πάρινος
καὶ C--------- καί
λιθίνοις A1--DPM--- λίθινος
κλῖναι N1--NPF--- κλίνη
χρυσαῖ A1C-NPF--- χρυσοῦς
καὶ C--------- καί
ἀργυραῖ A1C-NPF--- ἀργυροῦς
ἐπὶ P--------- ἐπί
λιθοστρώτου A1B-GSM--- λιθόστρωτος
σμαραγδίτου N1M-GSM--- σμαραγδίτης
λίθου N2--GSM--- λίθος
καὶ C--------- καί
πιννίνου N2--GSM--- πίννινος
καὶ C--------- καί
παρίνου N2N-GSN--- πάρινος
λίθου N2--GSM--- λίθος
καὶ C--------- καί
στρωμναὶ N1--NPF--- στρωμνή
διαφανεῖς A3H-NPF--- διαφανής
ποικίλως D--------- ποικίλως
διηνθισμέναι VA--AMPNPF ἀνθίζω δια
κύκλῳ N2--DSM--- κύκλος
ῥόδα N2N-APN--- ῥόδον
πεπασμένα VM--XMPAPN πάσσω

Est 1:7
ποτήρια N2N-NPN--- ποτήριον
χρυσᾶ A1C-NPN--- χρυσοῦς
καὶ C--------- καί
ἀργυρᾶ A1C-NPN--- ἀργυροῦς
καὶ C--------- καί
ἀνθράκινον A1A-NSN--- ἀνθράκινος
κυλίκιον N2N-NSN--- κυλίκιον
προκείμενον V5--PMPNSN κεῖμαι προ
ἀπὸ P--------- ἀπό
ταλάντων N2--GPN--- τάλαντον
τρισμυρίων A1--GPN--- τρισμύριοι
οἶνος N2--NSM--- οἶνος
πολὺς A1P-NSM--- πολύς
καὶ C--------- καί
ἡδύς A3U-NSM--- ἡδύς
ὃν RR--ASM--- ὅς
αὐτὸς RD--NSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἔπινεν V1I-IAI3S- πίνω

Est 1:8
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
πότος N2--NSM--- πότος
οὗτος RD--NSM--- οὗτος
οὐ D--------- οὐ
κατὰ P--------- κατά
προκείμενον V5--PMPASM κεῖμαι προ
νόμον N2--ASM--- νόμος
ἐγένετο VBI-AMI3S- γίγνομαι
οὕτως D--------- οὕτως
δὲ X--------- δέ
ἠθέλησεν VAI-AAI3S- θέλω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
τοῖς RA--DPM--- ὁ
οἰκονόμοις N2--DPM--- οἰκονόμος
ποιῆσαι VA--AAN--- ποιέω
τὸ RA--ASN--- ὁ
θέλημα N3M-ASN--- θέλημα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος

Est 1:9
καὶ C--------- καί
Αστιν N---NSF--- Αστιν
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
ἐποίησε VAI-AAI3S- ποιέω
πότον N2--ASM--- πότος
ταῖς RA--DPF--- ὁ
γυναιξὶν N3K-DPF--- γυνή
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
βασιλείοις N2N-DPN--- βασίλειον
ὅπου X--------- ὅπου
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀρταξέρξης N1M-NSM--- Ἀρταξέρξης

Est 1:10
ἐν P--------- ἐν
δὲ X--------- δέ
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
τῇ RA--DSF--- ὁ
ἑβδόμῃ A1--DSF--- ἕβδομος
ἡδέως D--------- ἡδέως
γενόμενος VB--AMPNSM γίγνομαι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Αμαν N---DSM--- Αμαν
καὶ C--------- καί
Βαζαν N---DSM--- Βαζαν
καὶ C--------- καί
Θαρρα N---DSM--- Θαρρα
καὶ C--------- καί
Βωραζη N---DSM--- Βωραζη
καὶ C--------- καί
Ζαθολθα N---DSM--- Ζαθολθα
καὶ C--------- καί
Αβαταζα N---DSM--- Αβαταζα
καὶ C--------- καί
Θαραβα N---DSM--- Θαραβα
τοῖς RA--DPM--- ὁ
ἑπτὰ M--------- ἑπτά
εὐνούχοις N2--DPM--- εὐνοῦχος
τοῖς RA--DPM--- ὁ
διακόνοις N2--DPM--- διάκονος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Ἀρταξέρξου N1M-GSM--- Ἀρταξέρξης

Est 1:11
εἰσαγαγεῖν VB--AAN--- ἄγω εἰς
τὴν RA--ASF--- ὁ
βασίλισσαν N1A-ASF--- βασίλισσα
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
βασιλεύειν V1--PAN--- βασιλεύω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
περιθεῖναι VE--AAN--- τίθημι περι
αὐτῇ RD--DSF--- αὐτός
τὸ RA--ASN--- ὁ
διάδημα N3M-ASN--- διάδημα
καὶ C--------- καί
δεῖξαι VA--AAN--- δεικνύω
αὐτὴν RD--ASF--- αὐτός
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
ἄρχουσιν N3--DPM--- ἄρχων
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
τὸ RA--ASN--- ὁ
κάλλος N3E-ASN--- κάλλος
αὐτῆς RD--GSF--- αὐτός
ὅτι C--------- ὅτι
καλὴ A1--NSF--- καλός
ἦν V9--IAI3S- εἰμί

Est 1:12
καὶ C--------- καί
οὐκ D--------- οὐ
εἰσήκουσεν VAI-AAI3S- ἀκούω εἰς
αὐτοῦ RD--GSM--- αὐτός
Αστιν N---NSF--- Αστιν
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
ἐλθεῖν VB--AAN--- ἔρχομαι
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
εὐνούχων N2--GPM--- εὐνοῦχος
καὶ C--------- καί
ἐλυπήθη VCI-API3S- λυπέω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ὠργίσθη VSI-API3S- ὀργίζω

Est 1:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
φίλοις A1--DPM--- φίλος
αὐτοῦ RD--GSM--- αὐτός
κατὰ P--------- κατά
ταῦτα RD--APN--- οὗτος
ἐλάλησεν VAI-AAI3S- λαλέω
Αστιν N---NSF--- Αστιν
ποιήσατε VA--AAD2P- ποιέω
οὖν X--------- οὖν
περὶ P--------- περί
τούτου RD--GSN--- οὗτος
νόμον N2--ASM--- νόμος
καὶ C--------- καί
κρίσιν N3I-ASF--- κρίσις

Est 1:14
καὶ C--------- καί
προσῆλθεν VBI-AAI3S- ἔρχομαι προς
αὐτῷ RD--DSM--- αὐτός
Αρκεσαιος N---NSM--- Αρκεσαιος
καὶ C--------- καί
Σαρσαθαιος N---NSM--- Σαρσαθαιος
καὶ C--------- καί
Μαλησεαρ N---NSM--- Μαλησεαρ
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
Περσῶν N1M-GPM--- Πέρσης
καὶ C--------- καί
Μήδων N2--GPM--- Μῆδοι
οἱ RA--NPM--- ὁ
ἐγγὺς D--------- ἐγγύς
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
οἱ RA--NPM--- ὁ
πρῶτοι A1--NPMS-- πρῶτος
παρακαθήμενοι V5--PMPNPM ἧμαι παρα κατα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

Est 1:15
καὶ C--------- καί
ἀπήγγειλαν VAI-AAI3P- ἀγγέλλω ἀπο
αὐτῷ RD--DSM--- αὐτός
κατὰ P--------- κατά
τοὺς RA--APM--- ὁ
νόμους N2--APM--- νόμος
ὡς C--------- ὡς
δεῖ V2--PAI3S- δέω
ποιῆσαι VA--AAN--- ποιέω
Αστιν N---DSF--- Αστιν
τῇ RA--DSF--- ὁ
βασιλίσσῃ N1A-DSF--- βασίλισσα
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἐποίησεν VAI-AAI3S- ποιέω
τὰ RA--APN--- ὁ
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
προσταχθέντα VQ--APPAPN τάσσω προς
διὰ P--------- διά
τῶν RA--GPM--- ὁ
εὐνούχων N2--GPM--- εὐνοῦχος

Est 1:16
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
Μουχαιος N2--NSM--- Μουχαιος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
οὐ D--------- οὐ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
μόνον D--------- μόνον
ἠδίκησεν VAI-AAI3S- ἀδικέω
Αστιν N---NSF--- Αστιν
ἡ RA--NSF--- ὁ
βασίλισσα N1A-NSF--- βασίλισσα
ἀλλὰ C--------- ἀλλά
καὶ D--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἡγουμένους V2--PMPAPM ἡγέομαι
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς

Est 1:17
καὶ C--------- καί
γὰρ X--------- γάρ
διηγήσατο VAI-AMI3S- ἡγέομαι δια
αὐτοῖς RD--DPM--- αὐτός
τὰ RA--APN--- ὁ
ῥήματα N3M-APN--- ῥῆμα
τῆς RA--GSF--- ὁ
βασιλίσσης N1S-GSF--- βασίλισσα
καὶ C--------- καί
ὡς C--------- ὡς
ἀντεῖπεν VBI-AAI3S- εἶπον ἀντι
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ὡς C--------- ὡς
οὖν X--------- οὖν
ἀντεῖπεν VBI-AAI3S- εἶπον ἀντι
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
Ἀρταξέρξῃ N1M-DSM--- Ἀρταξέρξης

Est 1:18
οὕτως D--------- οὕτως
σήμερον D--------- σήμερον
αἱ RA--NPF--- ὁ
τυραννίδες N3D-NPF--- τυραννίς
αἱ RA--NPF--- ὁ
λοιπαὶ A1--NPF--- λοιπός
τῶν RA--GPM--- ὁ
ἀρχόντων N3--GPM--- ἄρχων
