Eze 1:1
βορρᾶ N1T-GSM--- βορέας
καὶ C--------- καί
νεφέλη N1--NSF--- νεφέλη
μεγάλη A1--NSF--- μέγας
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
φέγγος N3E-NSN--- φέγγος
κύκλῳ N2--DSM--- κύκλος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πῦρ N3--NSN--- πῦρ
ἐξαστράπτον V1--PAPNSN ἀστράπτω ἐκ
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
μέσῳ A1--DSN--- μέσος
αὐτοῦ RD--GSM--- αὐτός
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
ἠλέκτρου N2N-GSN--- ἠλέκτρον
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
καὶ C--------- καί
φέγγος N3E-ASN--- φέγγος
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός

Eze 1:5
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
μέσῳ A1--DSN--- μέσος
ὡς C--------- ὡς
ὁμοίωμα N3M-NSN--- ὁμοίωμα
τεσσάρων A3--GPN--- τέσσαρες
ζῴων N2N-GPN--- ζῷον
καὶ C--------- καί
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
αὐτῶν RD--GPN--- αὐτός
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἐπ' P--------- ἐπί
αὐτοῖς RD--DPN--- αὐτός

Eze 1:6
καὶ C--------- καί
τέσσαρα A3--NPN--- τέσσαρες
πρόσωπα N2N-NPN--- πρόσωπον
τῷ RA--DSN--- ὁ
ἑνί A3--DSN--- εἷς
καὶ C--------- καί
τέσσαρες A3--NPF--- τέσσαρες
πτέρυγες N3G-NPF--- πτέρυξ
τῷ RA--DSN--- ὁ
ἑνί A3--DSN--- εἷς

Eze 1:7
καὶ C--------- καί
τὰ RA--NPN--- ὁ
σκέλη N3E-NPN--- σκέλος
αὐτῶν RD--GPN--- αὐτός
ὀρθά A1--NPN--- ὀρθός
καὶ C--------- καί
πτερωτοὶ A1--NPM--- πτερωτός
οἱ RA--NPM--- ὁ
πόδες N3D-NPM--- πούς
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
σπινθῆρες N3--NPM--- σπινθήρ
ὡς C--------- ὡς
ἐξαστράπτων V1--PAPNSM ἀστράπτω ἐκ
χαλκός N2--NSM--- χαλκός
καὶ C--------- καί
ἐλαφραὶ A1A-NPF--- ἐλαφρός
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός

Eze 1:8
καὶ C--------- καί
χεὶρ N3--NSF--- χείρ
ἀνθρώπου N2--GSM--- ἄνθρωπος
ὑποκάτωθεν D--------- ὑποκάτωθεν
τῶν RA--GPF--- ὁ
πτερύγων N3G-GPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέσσαρα A3--APN--- τέσσαρες
μέρη N3E-APN--- μέρος
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πρόσωπα N2N-NPN--- πρόσωπον
αὐτῶν RD--GPN--- αὐτός
τῶν RA--GPN--- ὁ
τεσσάρων A3--GPN--- τέσσαρες

Eze 1:9
οὐκ D--------- οὐ
ἐπεστρέφοντο V1I-IMI3P- στρέφω ἐπι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
βαδίζειν V1--PAN--- βαδίζω
αὐτά RD--APN--- αὐτός
ἕκαστον A1--NSN--- ἕκαστος
κατέναντι D--------- κατέναντι
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPN--- αὐτός
ἐπορεύοντο V1I-IMI3P- πορεύομαι

Eze 1:10
καὶ C--------- καί
ὁμοίωσις N3I-NSF--- ὁμοίωσις
τῶν RA--GPN--- ὁ
προσώπων N2N-GPN--- πρόσωπον
αὐτῶν RD--GPN--- αὐτός
πρόσωπον N2N-NSN--- πρόσωπον
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
πρόσωπον N2N-NSN--- πρόσωπον
λέοντος N3--GSM--- λέων
ἐκ P--------- ἐκ
δεξιῶν A1A-GPN--- δεξιός
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
καὶ C--------- καί
πρόσωπον N2N-NSN--- πρόσωπον
μόσχου N2--GSM--- μόσχος
ἐξ P--------- ἐκ
ἀριστερῶν A1A-GPN--- ἀριστερός
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
καὶ C--------- καί
πρόσωπον N2N-NSN--- πρόσωπον
ἀετοῦ N2--GSM--- ἀετός
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες

Eze 1:11
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐκτεταμέναι VM--XMPNPF τείνω ἐκ
ἄνωθεν D--------- ἄνωθεν
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
ἑκατέρῳ A1A-DSN--- ἑκάτερος
δύο M--------- δύο
συνεζευγμέναι VM--XPPNPF ζεύγνυμι συν
πρὸς P--------- πρός
ἀλλήλας RD--APF--- ἀλλήλω
καὶ C--------- καί
δύο M--------- δύο
ἐπεκάλυπτον V1I-IAI3P- καλύπτω ἐπι
ἐπάνω D--------- ἐπάνω
τοῦ RA--GSN--- ὁ
σώματος N3M-GSN--- σῶμα
αὐτῶν RD--GPN--- αὐτός

Eze 1:12
καὶ C--------- καί
ἑκάτερον A1A-NSN--- ἑκάτερος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSN--- αὐτός
ἐπορεύετο V1I-IMI3S- πορεύομαι
οὗ RR--GSN--- ὅς
ἂν X--------- ἄν
ἦν V9--IAI3S- εἰμί
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
πορευόμενον V1--PMPNSN πορεύομαι
ἐπορεύοντο V1I-IMI3P- πορεύομαι
καὶ C--------- καί
οὐκ D--------- οὐ
ἐπέστρεφον V1I-IAI3P- στρέφω ἐπι

Eze 1:13
καὶ C--------- καί
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
ὅρασις N3I-NSF--- ὅρασις
ὡς C--------- ὡς
ἀνθράκων N3K-GPM--- ἄνθραξ
πυρὸς N3--GSN--- πῦρ
καιομένων V1--PMPGPM καίω
ὡς C--------- ὡς
ὄψις N3I-NSF--- ὄψις
λαμπάδων N3D-GPF--- λαμπάς
συστρεφομένων V1--PPPGPF στρέφω συν
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
καὶ C--------- καί
φέγγος N3E-ASN--- φέγγος
τοῦ RA--GSN--- ὁ
πυρός N3--GSN--- πῦρ
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
πυρὸς N3--GSN--- πῦρ
ἐξεπορεύετο V1I-IMI3S- πορεύομαι ἐκ
ἀστραπή N1--NSF--- ἀστραπή

Eze 1:15
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τροχὸς N2--NSM--- τροχός
εἷς A3--NSM--- εἷς
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐχόμενος V1--PMPNSM ἔχω
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες

Eze 1:16
καὶ C--------- καί
τὸ RA--NSN--- ὁ
εἶδος N3E-NSN--- εἶδος
τῶν RA--GPM--- ὁ
τροχῶν N2--GPM--- τροχός
ὡς C--------- ὡς
εἶδος N3E-NSN--- εἶδος
θαρσις N---GS---- θαρσις
καὶ C--------- καί
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ἓν A3--NSN--- εἷς
τοῖς RA--DPN--- ὁ
τέσσαρσιν A3--DPN--- τέσσαρες
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ἔργον N2N-NSN--- ἔργον
αὐτῶν RD--GPM--- αὐτός
ἦν V9--IAI3S- εἰμί
καθὼς D--------- καθώς
ἂν X--------- ἄν
εἴη V9--PAO3S- εἰμί
τροχὸς N2--NSM--- τροχός
ἐν P--------- ἐν
τροχῷ N2--DSM--- τροχός

Eze 1:17
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέσσαρα A3--APN--- τέσσαρες
μέρη N3E-APN--- μέρος
αὐτῶν RD--GPM--- αὐτός
ἐπορεύοντο V1I-IMI3P- πορεύομαι
οὐκ D--------- οὐ
ἐπέστρεφον V1I-IAI3P- στρέφω ἐπι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
αὐτὰ RD--APN--- αὐτός

Eze 1:18
οὐδ' C--------- οὐδέ
οἱ RA--NPM--- ὁ
νῶτοι N2--NPM--- νῶτος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ὕψος N3E-NSN--- ὕψος
ἦν V9--IAI3S- εἰμί
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
αὐτά RD--APN--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
νῶτοι N2--NPM--- νῶτος
αὐτῶν RD--GPM--- αὐτός
πλήρεις A3H-NPM--- πλήρης
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
κυκλόθεν D--------- κυκλόθεν
τοῖς RA--DPM--- ὁ
τέσσαρσιν A3--DPM--- τέσσαρες

Eze 1:19
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
τὰ RA--APN--- ὁ
ζῷα N2N-APN--- ζῷον
ἐπορεύοντο V1I-IMI3P- πορεύομαι
οἱ RA--NPM--- ὁ
τροχοὶ N2--NPM--- τροχός
ἐχόμενοι V1--PMPNPM ἔχω
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξαίρειν V1--PAN--- αἴρω ἐκ
τὰ RA--APN--- ὁ
ζῷα N2N-APN--- ζῷον
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐξῄροντο V1I-IMI3P- αἴρω ἐκ
οἱ RA--NPM--- ὁ
τροχοί N2--NPM--- τροχός

Eze 1:20
οὗ RR--GSM--- ὅς
ἂν X--------- ἄν
ἦν V9--IAI3S- εἰμί
ἡ RA--NSF--- ὁ
νεφέλη N1--NSF--- νεφέλη
ἐκεῖ D--------- ἐκεῖ
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
τοῦ RA--GSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
ἐπορεύοντο V1I-IMI3P- πορεύομαι
τὰ RA--NPN--- ὁ
ζῷα N2N-NPN--- ζῷον
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τροχοὶ N2--NPM--- τροχός
καὶ C--------- καί
ἐξῄροντο V1I-IMI3P- αἴρω ἐκ
σὺν P--------- σύν
αὐτοῖς RD--DPM--- αὐτός
διότι C--------- διότι
πνεῦμα N3M-NSN--- πνεῦμα
ζωῆς N1--GSF--- ζωή
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
τροχοῖς N2--DPM--- τροχός

Eze 1:21
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
αὐτὰ RD--APN--- αὐτός
ἐπορεύοντο V1I-IMI3P- πορεύομαι
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἑστάναι VXI-XAN--- ἵστημι
αὐτὰ RD--APN--- αὐτός
εἱστήκεισαν VXI-YAI3P- ἵστημι
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐξαίρειν V1--PAN--- αἴρω ἐκ
αὐτὰ RD--APN--- αὐτός
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐξῄροντο V1I-IMI3P- αἴρω ἐκ
σὺν P--------- σύν
αὐτοῖς RD--DPN--- αὐτός
ὅτι C--------- ὅτι
πνεῦμα N3M-NSN--- πνεῦμα
ζωῆς N1--GSF--- ζωή
ἦν V9--IAI3S- εἰμί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
τροχοῖς N2--DPM--- τροχός

Eze 1:22
καὶ C--------- καί
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ὑπὲρ P--------- ὑπέρ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῖς RD--DPM--- αὐτός
τῶν RA--GPN--- ὁ
ζῴων N2N-GPN--- ζῷον
ὡσεὶ C--------- ὡσεί
στερέωμα N3M-NSN--- στερέωμα
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
κρυστάλλου N2--GSM--- κρυστάλλος
ἐκτεταμένον VM--XPPNSN τείνω ἐκ
ἐπὶ P--------- ἐπί
τῶν RA--GPF--- ὁ
πτερύγων N3G-GPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐπάνωθεν D--------- ἐπάνωθεν

Eze 1:23
καὶ C--------- καί
ὑποκάτω P--------- ὑποκάτω
τοῦ RA--GSN--- ὁ
στερεώματος N3M-GSN--- στερέωμα
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐκτεταμέναι VM--XMPNPF τείνω ἐκ
πτερυσσόμεναι V1--PMPNPF πτερύσσομαι
ἑτέρα A1A-NSF--- ἕτερος
τῇ RA--DSF--- ὁ
ἑτέρᾳ A1A-DSF--- ἕτερος
ἑκάστῳ A1--DSM--- ἕκαστος
δύο M--------- δύο
συνεζευγμέναι VM--XPPNPF ζεύγνυμι συν
ἐπικαλύπτουσαι V1--PAPNPF καλύπτω ἐπι
τὰ RA--APN--- ὁ
σώματα N3M-APN--- σῶμα
αὐτῶν RD--GPN--- αὐτός

Eze 1:24
καὶ C--------- καί
ἤκουον V1I-IAI1S- ἀκούω
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
τῶν RA--GPF--- ὁ
πτερύγων N3G-GPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
αὐτὰ RD--APN--- αὐτός
ὡς C--------- ὡς
φωνὴν N1--ASF--- φωνή
ὕδατος N3T-GSN--- ὕδωρ
πολλοῦ A1--GSN--- πολύς
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἑστάναι VXI-XAN--- ἵστημι
αὐτὰ RD--APN--- αὐτός
κατέπαυον V1I-IAI3P- παύω κατα
αἱ RA--NPF--- ὁ
πτέρυγες N3G-NPF--- πτέρυξ
αὐτῶν RD--GPN--- αὐτός

Eze 1:25
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
φωνὴ N1--NSF--- φωνή
ὑπεράνωθεν D--------- ὑπεράνωθεν
τοῦ RA--GSN--- ὁ
στερεώματος N3M-GSN--- στερέωμα
τοῦ RA--GSM--- ὁ
ὄντος V9--PAPGSM εἰμί
ὑπὲρ P--------- ὑπέρ
κεφαλῆς N1--GSF--- κεφαλή
αὐτῶν RD--GPN--- αὐτός

Eze 1:26
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
λίθου N2--GSM--- λίθος
σαπφείρου N2--GSF--- σάπφειρος
ὁμοίωμα N3M-NSN--- ὁμοίωμα
θρόνου N2--GSM--- θρόνος
ἐπ' P--------- ἐπί
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῦ RA--GSN--- ὁ
ὁμοιώματος N3M-GSN--- ὁμοίωμα
τοῦ RA--GSM--- ὁ
θρόνου N2--GSM--- θρόνος
ὁμοίωμα N3M-NSN--- ὁμοίωμα
ὡς C--------- ὡς
εἶδος N3E-NSN--- εἶδος
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἄνωθεν D--------- ἄνωθεν

Eze 1:27
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
ὡς C--------- ὡς
ὄψιν N3I-ASF--- ὄψις
ἠλέκτρου N2N-GSN--- ἠλέκτρον
ἀπὸ P--------- ἀπό
ὁράσεως N3I-GSF--- ὅρασις
ὀσφύος N3U-GSF--- ὀσφύς
καὶ C--------- καί
ἐπάνω D--------- ἐπάνω
καὶ C--------- καί
ἀπὸ P--------- ἀπό
ὁράσεως N3I-GSF--- ὅρασις
ὀσφύος N3U-GSF--- ὀσφύς
καὶ C--------- καί
ἕως D--------- ἕως
κάτω D--------- κάτω
εἶδον VBI-AAI1S- ὁράω
ὡς C--------- ὡς
ὅρασιν N3I-ASF--- ὅρασις
πυρὸς N3--GSN--- πῦρ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
φέγγος N3E-ASN--- φέγγος
αὐτοῦ RD--GSM--- αὐτός
κύκλῳ N2--DSM--- κύκλος

Eze 1:28
ὡς C--------- ὡς
ὅρασις N3I-NSF--- ὅρασις
τόξου N2N-GSN--- τόξον
ὅταν D--------- ὅταν
ᾖ V9--PAS3S- εἰμί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
νεφέλῃ N1--DSF--- νεφέλη
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ὑετοῦ N2--GSM--- ὑετός
οὕτως D--------- οὕτως
ἡ RA--NSF--- ὁ
στάσις N3I-NSF--- στάσις
τοῦ RA--GSN--- ὁ
φέγγους N3E-GSN--- φέγγος
κυκλόθεν D--------- κυκλόθεν
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
ὅρασις N3I-NSF--- ὅρασις
ὁμοιώματος N3M-GSN--- ὁμοίωμα
δόξης N1S-GSF--- δόξα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἶδον VBI-AAI1S- ὁράω
καὶ C--------- καί
πίπτω V1--PAI1S- πίπτω
ἐπὶ P--------- ἐπί
πρόσωπόν N2N-ASN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤκουσα VAI-AAI1S- ἀκούω
φωνὴν N1--ASF--- φωνή
λαλοῦντος V2--PAPGSM λαλέω

Eze 2:1
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
στῆθι VH--AAD2S- ἵστημι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
σου RP--GS---- σύ
καὶ C--------- καί
λαλήσω VF--FAI1S- λαλέω
πρὸς P--------- πρός
σέ RP--AS---- σύ

Eze 2:2
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
πνεῦμα N3M-NSN--- πνεῦμα
καὶ C--------- καί
ἀνέλαβέν VBI-AAI3S- λαμβάνω ἀνα
με RP--AS---- ἐγώ
καὶ C--------- καί
ἐξῆρέν VAI-AAI3S- αἴρω ἐκ
με RP--AS---- ἐγώ
καὶ C--------- καί
ἔστησέν VAI-AAI3S- ἵστημι
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
πόδας N3D-APM--- πούς
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἤκουον V1I-IAI1S- ἀκούω
αὐτοῦ RD--GSM--- αὐτός
λαλοῦντος V2--PAPGSM λαλέω
πρός P--------- πρός
με RP--AS---- ἐγώ

Eze 2:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
ἐξαποστέλλω V1--PAI1S- στέλλω ἐκ ἀπο
ἐγώ RP--NS---- ἐγώ
σε RP--AS---- σύ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
τοὺς RA--APM--- ὁ
παραπικραίνοντάς V1--PAPAPM πικραίνω παρα
με RP--AS---- ἐγώ
οἵτινες RX--NPM--- ὅστις
παρεπίκρανάν VAI-AAI3P- πικραίνω παρα
με RP--AS---- ἐγώ
αὐτοὶ RD--NPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρας N1A-GSF--- ἡμέρα

Eze 2:4
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Eze 2:5
ἐὰν C--------- ἐάν
ἄρα X--------- ἄρα
ἀκούσωσιν VA--AAS3P- ἀκούω
ἢ C--------- ἤ
πτοηθῶσιν VC--APS3P- πτοέω
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί
καὶ C--------- καί
γνώσονται VF--FMI3P- γιγνώσκω
ὅτι C--------- ὅτι
προφήτης N1M-NSM--- προφήτης
εἶ V9--PAI2S- εἰμί
σὺ RP--NS---- σύ
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός

Eze 2:6
καὶ C--------- καί
σύ RP--NS---- σύ
υἱὲ N2--VSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
αὐτοὺς RD--APM--- αὐτός
μηδὲ C--------- μηδέ
ἐκστῇς VH--AAS2S- ἵστημι ἐκ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
διότι C--------- διότι
παροιστρήσουσι VF--FAI3P- οἰστράω παρα
καὶ C--------- καί
ἐπισυστήσονται VF--FMI3P- ἵστημι ἐπι συν
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
σκορπίων N2--GPM--- σκορπίος
σὺ RP--NS---- σύ
κατοικεῖς V2--PAI2S- οἰκέω κατα
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
αὐτῶν RD--GPM--- αὐτός
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
καὶ C--------- καί
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
μὴ D--------- μή
ἐκστῇς VH--AAS2S- ἵστημι ἐκ
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
ἐστίν V9--PAI3S- εἰμί

Eze 2:7
καὶ C--------- καί
λαλήσεις VF--FAI2S- λαλέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
ἐὰν C--------- ἐάν
ἄρα X--------- ἄρα
ἀκούσωσιν VA--AAS3P- ἀκούω
ἢ C--------- ἤ
πτοηθῶσιν VC--APS3P- πτοέω
διότι C--------- διότι
οἶκος N2--NSM--- οἶκος
παραπικραίνων V1--PAPNSM πικραίνω παρα
