2Ch 1:1
Δαυιδ N---ASM--- Δαυίδ
πατέρα N3--ASM--- πατήρ
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
σὺ RP--NS---- σύ
ἐβασίλευσάς VAI-AAI2S- βασιλεύω
με RP--AS---- ἐγώ
ἐπὶ P--------- ἐπί
λαὸν N2--ASM--- λαός
πολὺν A1P-ASM--- πολύς
ὡς X--------- ὡς
ὁ RA--NSM--- ὁ
χοῦς N3--NSM--- χοῦς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

2Ch 1:10
νῦν D--------- νῦν
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
σύνεσιν N3I-ASF--- σύνεσις
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἐξελεύσομαι VF--FMI1S- ἔρχομαι ἐκ
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τούτου RD--GSM--- οὗτος
καὶ C--------- καί
εἰσελεύσομαι VF--FMI1S- ἔρχομαι εἰς
ὅτι C--------- ὅτι
τίς RI--NSM--- τίς
κρινεῖ VF2-FAI3S- κρίνω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GS---- σύ
τὸν RA--ASM--- ὁ
μέγαν A1P-ASM--- μέγας
τοῦτον RD--ASM--- οὗτος

2Ch 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
πρὸς P--------- πρός
Σαλωμων N---ASM--- Σαλωμών
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἐγένετο VBI-AMI3S- γίγνομαι
τοῦτο RD--ASN--- οὗτος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
σου RP--GS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ᾐτήσω VAI-AMI2S- αἰτέω
πλοῦτον N2--ASM--- πλοῦτος
χρημάτων N3M-GPN--- χρῆμα
οὐδὲ C--------- οὐδέ
δόξαν N1S-ASF--- δόξα
οὐδὲ C--------- οὐδέ
τὴν RA--ASF--- ὁ
ψυχὴν N1--ASF--- ψυχή
τῶν RA--GPF--- ὁ
ὑπεναντίων A1A-GPF--- ὑπεναντίος
καὶ C--------- καί
ἡμέρας N1A-APF--- ἡμέρα
πολλὰς A1--APF--- πολύς
οὐκ D--------- οὐ
ᾐτήσω VAI-AMI2S- αἰτέω
καὶ C--------- καί
ᾔτησας VAI-AAI2S- αἰτέω
σεαυτῷ RD--DSM--- σεαυτοῦ
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
σύνεσιν N3I-ASF--- σύνεσις
ὅπως C--------- ὅπως
κρίνῃς VA--AAS2S- κρίνω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἐφ' P--------- ἐπί
ὃν RR--ASM--- ὅς
ἐβασίλευσά VAI-AAI1S- βασιλεύω
σε RP--AS---- σύ
ἐπ' P--------- ἐπί
αὐτόν RD--ASM--- αὐτός

2Ch 1:12
τὴν RA--ASF--- ὁ
σοφίαν N1A-ASF--- σοφία
καὶ C--------- καί
τὴν RA--ASF--- ὁ
σύνεσιν N3I-ASF--- σύνεσις
δίδωμί V8--PAI1S- δίδωμι
σοι RP--DS---- σύ
καὶ C--------- καί
πλοῦτον N2--ASM--- πλοῦτος
καὶ C--------- καί
χρήματα N3M-APN--- χρῆμα
καὶ C--------- καί
δόξαν N1S-ASF--- δόξα
δώσω VF--FAI1S- δίδωμι
σοι RP--DS---- σύ
ὡς X--------- ὡς
οὐκ D--------- οὐ
ἐγενήθη VCI-API3S- γίγνομαι
ὅμοιός A1A-NSM--- ὅμοιος
σοι RP--DS---- σύ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
βασιλεῦσι N3V-DPM--- βασιλεύς
τοῖς RA--DPM--- ὁ
ἔμπροσθέ P--------- ἔμπροσθεν
σου RP--GS---- σύ
καὶ C--------- καί
μετὰ P--------- μετά
σὲ RP--AS---- σύ
οὐκ D--------- οὐ
ἔσται VF--FMI3S- εἰμί
οὕτως D--------- οὕτως

2Ch 1:13
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
Σαλωμων N---NSM--- Σαλωμών
ἐκ P--------- ἐκ
βαμα N---GSF--- βαμα
τῆς RA--GSF--- ὁ
ἐν P--------- ἐν
Γαβαων N---DS---- Γαβαων
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
σκηνῆς N1--GSF--- σκηνή
μαρτυρίου N2N-GSN--- μαρτύριον
καὶ C--------- καί
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
ἐπὶ P--------- ἐπί
Ισραηλ N---GSM--- Ἰσραήλ

2Ch 1:14
καὶ C--------- καί
συνήγαγεν VBI-AAI3S- ἄγω συν
Σαλωμων N---NSM--- Σαλωμών
ἅρματα N3M-APN--- ἅρμα
καὶ C--------- καί
ἱππεῖς N3V-APM--- ἱππεύς
καὶ C--------- καί
ἐγένοντο VBI-AMI3P- γίγνομαι
αὐτῷ RD--DSM--- αὐτός
χίλια A1A-NPN--- χίλιοι
καὶ C--------- καί
τετρακόσια A1A-NPN--- τετρακόσιοι
ἅρματα N3M-NPN--- ἅρμα
καὶ C--------- καί
δώδεκα M--------- δώδεκα
χιλιάδες N3D-NPF--- χιλίας
ἱππέων N3V-GPM--- ἱππεύς
καὶ C--------- καί
κατέλιπεν VBI-AAI3S- λείπω κατα
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
πόλεσιν N3I-DPF--- πόλις
τῶν RA--GPN--- ὁ
ἁρμάτων N3M-GPN--- ἅρμα
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

2Ch 1:15
καὶ C--------- καί
ἔθηκεν VAI-AAI3S- τίθημι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τὸ RA--ASN--- ὁ
χρυσίον N2N-ASN--- χρυσίον
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἀργύριον N2N-ASN--- ἀργύριον
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ὡς X--------- ὡς
λίθους N2--APM--- λίθος
καὶ C--------- καί
τὰς RA--APF--- ὁ
κέδρους N2--APF--- κέδρος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία
ὡς X--------- ὡς
συκαμίνους N2--APF--- συκάμινος
τὰς RA--APF--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πεδινῇ A1--DSF--- πεδεινός
εἰς P--------- εἰς
πλῆθος N3E-ASN--- πλῆθος

2Ch 1:16
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἔξοδος N2--NSF--- ἔξοδος
τῶν RA--GPM--- ὁ
ἵππων N2--GPM--- ἵππος
τῶν RA--GPM--- ὁ
Σαλωμων N---GSM--- Σαλωμών
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
τιμὴ N1--NSF--- τιμή
τῶν RA--GPM--- ὁ
ἐμπόρων N2--GPM--- ἔμπορος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
ἐμπορεύεσθαι V1--PMN--- πορεύομαι ἐν
ἠγόραζον V1I-IAI3P- ἀγοράζω

2Ch 1:17
καὶ C--------- καί
ἀνέβαινον V1I-IAI3P- βαίνω ἀνα
καὶ C--------- καί
ἐξῆγον V1I-IAI3P- ἄγω ἐκ
ἐξ P--------- ἐκ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ἅρμα N3M-ASN--- ἅρμα
ἓν M---ASN--- εἷς
ἑξακοσίων A1A-GPN--- ἑξακόσιοι
ἀργυρίου N2N-GSN--- ἀργύριον
καὶ C--------- καί
ἵππον N2--ASM--- ἵππος
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
πεντήκοντα M--------- πεντήκοντα
καὶ C--------- καί
οὕτως D--------- οὕτως
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
βασιλεῦσιν N3V-DPM--- βασιλεύς
τῶν RA--GPM--- ὁ
Χετταίων N2--GPM--- Χετταῖος
καὶ C--------- καί
βασιλεῦσιν N3V-DPM--- βασιλεύς
Συρίας N1A-GSF--- Συρία
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
αὐτῶν RD--GPM--- αὐτός
ἔφερον V1I-IAI3P- φέρω

2Ch 1:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Σαλωμων N---NSM--- Σαλωμών
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
οἶκον N2--ASM--- οἶκος
τῷ RA--DSN--- ὁ
ὀνόματι N3M-DSN--- ὄνομα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οἶκον N2--ASM--- οἶκος
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

2Ch 2:1
καὶ C--------- καί
συνήγαγεν VBI-AAI3S- ἄγω συν
Σαλωμων N---NSM--- Σαλωμών
ἑβδομήκοντα M--------- ἑβδομήκοντα
χιλιάδας N3D-APF--- χιλίας
ἀνδρῶν N3--GPM--- ἀνήρ
καὶ C--------- καί
ὀγδοήκοντα M--------- ὀγδοήκοντα
χιλιάδας N3D-APF--- χιλίας
λατόμων N2--GPM--- λατόμος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ὄρει N3E-DSN--- ὄρος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐπιστάται N1--NPM--- ἐπιστάτης
ἐπ' P--------- ἐπί
αὐτῶν RD--GPM--- αὐτός
τρισχίλιοι A1A-NPM--- τρισχίλιοι
ἑξακόσιοι A1A-NPM--- ἑξακόσιοι

2Ch 2:2
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
Σαλωμων N---NSM--- Σαλωμών
πρὸς P--------- πρός
Χιραμ N---ASM--- Χιραμ
βασιλέα N3V-ASM--- βασιλεύς
Τύρου N2--GSM--- Τύρος
λέγων V1--PAPNSM λέγω
ὡς D--------- ὡς
ἐποίησας VAI-AAI2S- ποιέω
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
Δαυιδ N---GSM--- Δαυίδ
καὶ C--------- καί
ἀπέστειλας VAI-AAI2S- στέλλω ἀπο
αὐτῷ RD--DSM--- αὐτός
κέδρους N2--APF--- κέδρος
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
ἑαυτῷ RD--DSM--- ἑαυτοῦ
οἶκον N2--ASM--- οἶκος
κατοικῆσαι VA--AAN--- οἰκέω κατα
ἐν P--------- ἐν
αὐτῷ RD--DSM--- αὐτός

2Ch 2:3
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
οἰκοδομῶ V2--PAI1S- οἰκοδομέω
οἶκον N2--ASM--- οἶκος
τῷ RA--DSN--- ὁ
ὀνόματι N3M-DSN--- ὄνομα
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ
ἁγιάσαι VA--AAN--- ἁγιάζω
αὐτὸν RD--ASM--- αὐτός
αὐτῷ RD--DSM--- αὐτός
τοῦ RA--GSN--- ὁ
θυμιᾶν V3--PAN--- θυμιάω
ἀπέναντι D--------- ἀπέναντι
αὐτοῦ RD--GSM--- αὐτός
θυμίαμα N3M-ASN--- θυμίαμα
καὶ C--------- καί
πρόθεσιν N3I-ASF--- πρόθεσις
διὰ P--------- διά
παντὸς A3--GSM--- πᾶς
καὶ C--------- καί
τοῦ RA--GSN--- ὁ
ἀναφέρειν V1--PAN--- φέρω ἀνα
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
διὰ P--------- διά
παντὸς A3--GSM--- πᾶς
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωί
καὶ C--------- καί
τὸ RA--ASN--- ὁ
δείλης N1--GSF--- δείλη
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
σαββάτοις N2N-DPN--- σάββατον
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
νουμηνίαις N1A-DPF--- νουμηνία
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
τοῦτο RD--NSN--- οὗτος
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Ισραηλ N---ASM--- Ἰσραήλ

2Ch 2:4
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
ὃν RR--ASM--- ὅς
ἐγὼ RP--NS---- ἐγώ
οἰκοδομῶ V2--PAI1S- οἰκοδομέω
μέγας A1P-NSM--- μέγας
ὅτι C--------- ὅτι
μέγας A1P-NSM--- μέγας
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
θεούς N2--APM--- θεός

2Ch 2:5
καὶ C--------- καί
τίς RI--NSM--- τίς
ἰσχύσει VF--FAI3S- ἰσχύω
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
αὐτῷ RD--DSM--- αὐτός
οἶκον N2--ASM--- οἶκος
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
οὐ D--------- οὐ
φέρουσιν V1--PAI3P- φέρω
αὐτοῦ RD--GSM--- αὐτός
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
καὶ C--------- καί
τίς RI--NSM--- τίς
ἐγὼ RP--NS---- ἐγώ
οἰκοδομῶν V2--PAPNSM οἰκοδομέω
αὐτῷ RD--DSM--- αὐτός
οἶκον N2--ASM--- οἶκος
ὅτι C--------- ὅτι
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
τοῦ RA--GSN--- ὁ
θυμιᾶν V3--PAN--- θυμιάω
κατέναντι D--------- κατέναντι
αὐτοῦ RD--GSM--- αὐτός

2Ch 2:6
καὶ C--------- καί
νῦν D--------- νῦν
ἀπόστειλόν VA--AAD2S- στέλλω ἀπο
μοι RP--DS---- ἐγώ
ἄνδρα N3--ASM--- ἀνήρ
σοφὸν A1--ASM--- σοφός
καὶ C--------- καί
εἰδότα VX--XAPASM εἶδον
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
χρυσίῳ N2N-DSN--- χρυσίον
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀργυρίῳ N2N-DSN--- ἀργύριον
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
χαλκῷ A1C-DSM--- χαλκοῦς
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
σιδήρῳ N2--DSM--- σίδηρος
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πορφύρᾳ N1A-DSF--- πορφύρα
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
κοκκίνῳ A1--DSM--- κόκκινος
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑακίνθῳ N2--DSF--- ὑάκινθος
καὶ C--------- καί
ἐπιστάμενον V6--PMPASM ἐπίσταμαι
γλύψαι VA--AAN--- γλύφω
γλυφὴν N1--ASF--- γλυφή
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
σοφῶν A1--GPM--- σοφός
τῶν RA--GPM--- ὁ
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐν P--------- ἐν
Ιουδα N---DSM--- Ἰουδά
καὶ C--------- καί
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
ὧν RR--GPM--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
Δαυιδ N---NSM--- Δαυίδ
ὁ RA--NSM--- ὁ
πατήρ N3--NSM--- πατήρ
μου RP--GS---- ἐγώ

2Ch 2:7
καὶ C--------- καί
ἀπόστειλόν VA--AAD2S- στέλλω ἀπο
μοι RP--DS---- ἐγώ
ξύλα N2N-APN--- ξύλον
κέδρινα A1--APN--- κέδρινος
καὶ C--------- καί
ἀρκεύθινα A1--APN--- ἀρκεύθινος
καὶ C--------- καί
πεύκινα A1--APN--- πεύκινος
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Λιβάνου N2--GSM--- Λιβάνος
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
οἶδα VX--XAI1S- οἶδα
ὡς X--------- ὡς
οἱ RA--NPM--- ὁ
δοῦλοί N2--NPM--- δοῦλος
σου RP--GS---- σύ
οἴδασιν VX--XAI3P- οἶδα
κόπτειν V1--PAN--- κόπτω
ξύλα N2N-APN--- ξύλον
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Λιβάνου N2--GSM--- Λιβάνος
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
οἱ RA--NPM--- ὁ
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
παίδων N3D-GPM--- παῖς
μου RP--GS---- ἐγώ

2Ch 2:8
πορεύσονται VF--FMI3P- πορεύομαι
ἑτοιμάσαι VA--AAN--- ἑτοιμάζω
μοι RP--DS---- ἐγώ
ξύλα N2N-APN--- ξύλον
εἰς P--------- εἰς
πλῆθος N3E-ASN--- πλῆθος
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
ὃν RR--ASM--- ὅς
ἐγὼ RP--NS---- ἐγώ
οἰκοδομῶ V2--PAI1S- οἰκοδομέω
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
ἔνδοξος A1B-NSM--- ἔνδοξος

2Ch 2:9
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
τοῖς RA--DPM--- ὁ
ἐργαζομένοις V1--PMPDPM ἐργάζομαι
τοῖς RA--DPM--- ὁ
κόπτουσιν V1--PAI3P- κόπτω
ξύλα N2N-APN--- ξύλον
εἰς P--------- εἰς
βρώματα N3M-APN--- βρῶμα
δέδωκα VX--XAI1S- δίδωμι
σῖτον N2--ASM--- σῖτος
εἰς P--------- εἰς
δόματα N3M-APN--- δόμα
τοῖς RA--DPM--- ὁ
παισίν N3D-DPM--- παῖς
σου RP--GS---- σύ
κόρων N2--GPM--- κόρος
εἴκοσι M--------- εἴκοσι
χιλιάδας N3D-APF--- χιλίας
καὶ C--------- καί
κριθῶν N1--GPF--- κριθή
κόρων N2--GPM--- κόρος
εἴκοσι M--------- εἴκοσι
χιλιάδας N3D-APF--- χιλίας
καὶ C--------- καί
οἴνου N2--GSM--- οἶνος
μέτρων N2N-GPN--- μέτρον
εἴκοσι M--------- εἴκοσι
χιλιάδας N3D-APF--- χιλίας
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
μέτρων N2N-GPN--- μέτρον
εἴκοσι M--------- εἴκοσι
χιλιάδας N3D-APF--- χιλίας

2Ch 2:10
