Mic 1:1
πυρὸς N3--GSN--- πῦρ
καὶ C--------- καί
ὡς C--------- ὡς
ὕδωρ N3--NSN--- ὕδωρ
καταφερόμενον V1--PPPNSN φέρω κατα
ἐν P--------- ἐν
καταβάσει N3I-DSF--- κατάβασις

Mic 1:5
διὰ P--------- διά
ἀσέβειαν N1A-ASF--- ἀσέβεια
Ιακωβ N---GSM--- Ἰακώβ
πάντα A3--NPN--- πᾶς
ταῦτα RD--NPN--- οὗτος
καὶ C--------- καί
διὰ P--------- διά
ἁμαρτίαν N1A-ASF--- ἁμαρτία
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
τίς RI--NSF--- τίς
ἡ RA--NSF--- ὁ
ἀσέβεια N1A-NSF--- ἀσέβεια
τοῦ RA--GSM--- ὁ
Ιακωβ N---GSM--- Ἰακώβ
οὐ D--------- οὐ
Σαμάρεια N1A-NSF--- Σαμαρεία
καὶ C--------- καί
τίς RI--NSF--- τίς
ἡ RA--NSF--- ὁ
ἁμαρτία N1A-NSF--- ἁμαρτία
οἴκου N2--GSM--- οἶκος
Ιουδα N---GSM--- Ιουδα
οὐχὶ D--------- οὐ
Ιερουσαλημ N---NSF--- Ἰερουσαλήμ

Mic 1:6
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
Σαμάρειαν N1A-ASF--- Σαμαρεία
εἰς P--------- εἰς
ὀπωροφυλάκιον N2N-ASN--- ὀπωροφυλάκιον
ἀγροῦ N2--GSM--- ἀγρός
καὶ C--------- καί
εἰς P--------- εἰς
φυτείαν N1A-ASF--- φυτεία
ἀμπελῶνος N3W-GSM--- ἀμπελών
καὶ C--------- καί
κατασπάσω VF--FAI1S- σπάω κατα
εἰς P--------- εἰς
χάος N3E-ASN--- χάος
τοὺς RA--APM--- ὁ
λίθους N2--APM--- λίθος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
θεμέλια N2N-APN--- θεμέλιον
αὐτῆς RD--GSF--- αὐτός
ἀποκαλύψω VF--FAI1S- καλύπτω ἀπο

Mic 1:7
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
γλυπτὰ A1--APN--- γλυπτός
αὐτῆς RD--GSF--- αὐτός
κατακόψουσιν VF--FAI3P- κόπτω κατα
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
μισθώματα N3M-APN--- μίσθωμα
αὐτῆς RD--GSF--- αὐτός
ἐμπρήσουσιν VF--FAI3P- πίπρημι ἐν
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ
καὶ C--------- καί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
εἴδωλα N2N-APN--- εἴδωλον
αὐτῆς RD--GSF--- αὐτός
θήσομαι VF--FMI1S- τίθημι
εἰς P--------- εἰς
ἀφανισμόν N2--ASM--- ἀφανισμός
διότι C--------- διότι
ἐκ P--------- ἐκ
μισθωμάτων N3M-GPN--- μίσθωμα
πορνείας N1A-GSF--- πορνεία
συνήγαγεν VBI-AAI3S- ἄγω συν
καὶ C--------- καί
ἐκ P--------- ἐκ
μισθωμάτων N3M-GPN--- μίσθωμα
πορνείας N1A-GSF--- πορνεία
συνέστρεψεν VAI-AAI3S- στρέφω συν

Mic 1:8
ἕνεκεν P--------- ἕνεκεν
τούτου RD--GSM--- οὗτος
κόψεται VF--FMI3S- κόπτω
καὶ C--------- καί
θρηνήσει VF--FMI3S- θρηνέω
πορεύσεται VF--FMI3S- πορεύομαι
ἀνυπόδετος A1B-NSF--- ἀνυπόδετος
καὶ C--------- καί
γυμνή A1--NSF--- γυμνός
ποιήσεται VF--FMI3S- ποιέω
κοπετὸν N2--ASM--- κοπετός
ὡς C--------- ὡς
δρακόντων N3--GPM--- δράκων
καὶ C--------- καί
πένθος N3E-ASN--- πένθος
ὡς C--------- ὡς
θυγατέρων N3--GPF--- θυγάτηρ
σειρήνων N3--GPF--- σειρήν

Mic 1:9
ὅτι C--------- ὅτι
κατεκράτησεν VAI-AAI3S- κρατέω κατα
ἡ RA--NSF--- ὁ
πληγὴ N1--NSF--- πληγή
αὐτῆς RD--GSF--- αὐτός
διότι C--------- διότι
ἦλθεν VBI-AAI3S- ἔρχομαι
ἕως P--------- ἕως
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἥψατο VAI-AMI3S- ἅπτομαι
ἕως P--------- ἕως
πύλης N1--GSF--- πύλη
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
ἕως P--------- ἕως
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Mic 1:10
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Γεθ N---DS---- Γεθ
μὴ D--------- μή
μεγαλύνεσθε V1--PMD2P- μεγαλύνω
οἱ RA--NPM--- ὁ
ἐν P--------- ἐν
Ακιμ N---DS---- Ακιμ
μὴ D--------- μή
ἀνοικοδομεῖτε V2--PAD2P- οἰκοδομέω ἀνα
ἐξ P--------- ἐκ
οἴκου N2--GSM--- οἶκος
κατὰ P--------- κατά
γέλωτα N3T-ASM--- γέλως
γῆν N1--ASF--- γῆ
καταπάσασθε VA--AMD2P- πάσσω κατα
κατὰ P--------- κατά
γέλωτα N3T-ASM--- γέλως
ὑμῶν RP--GP---- σύ

Mic 1:11
κατοικοῦσα V2--PAPNSF οἰκέω κατα
καλῶς D--------- καλῶς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
αὐτῆς RD--GSF--- αὐτός
οὐκ D--------- οὐ
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
κατοικοῦσα V2--PAPNSF οἰκέω κατα
Σεννααν N---AS---- Σεννααν
κόψασθαι VA--AMN--- κόπτω
οἶκον N2--ASM--- οἶκος
ἐχόμενον V1--PMPASM ἔχω
αὐτῆς RD--GSF--- αὐτός
λήμψεται VF--FMI3S- λαμβάνω
ἐξ P--------- ἐκ
ὑμῶν RP--GP---- σύ
πληγὴν N1--ASF--- πληγή
ὀδύνης N1--GSF--- ὀδύνη

Mic 1:12
τίς RI--NSM--- τίς
ἤρξατο VAI-AMI3S- ἄρχω
εἰς P--------- εἰς
ἀγαθὰ A1--APN--- ἀγαθός
κατοικούσῃ V2--PAPDSF οἰκέω κατα
ὀδύνας N1--APF--- ὀδύνη
ὅτι C--------- ὅτι
κατέβη VZI-AAI3S- βαίνω κατα
κακὰ A1--NPN--- κακός
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
ἐπὶ P--------- ἐπί
πύλας N1--APF--- πύλη
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Mic 1:13
ψόφος N2--NSM--- ψόφος
ἁρμάτων N3M-GPN--- ἅρμα
καὶ C--------- καί
ἱππευόντων V1--PAPGPM ἱππεύω
κατοικοῦσα V2--PAPNSF οἰκέω κατα
Λαχις N---AS---- Λαχις
ἀρχηγὸς N2--NSM--- ἀρχηγός
ἁμαρτίας N1A-GSF--- ἁμαρτία
αὐτή RD--NSF--- αὐτός
ἐστιν V9--PAI3S- εἰμί
τῇ RA--DSF--- ὁ
θυγατρὶ N3--DSF--- θυγάτηρ
Σιων N---GS---- Σιων
ὅτι C--------- ὅτι
ἐν P--------- ἐν
σοὶ RP--DS---- σύ
εὑρέθησαν VC--API3P- εὑρίσκω
ἀσέβειαι N1A-NPF--- ἀσέβεια
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Mic 1:14
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
δώσεις VF--FAI2S- δίδωμι
ἐξαποστελλομένους V1--PMPAPM στέλλω ἐκ ἀπο
ἕως P--------- ἕως
κληρονομίας N1A-GSF--- κληρονομία
Γεθ N---GS---- Γεθ
οἴκους N2--APM--- οἶκος
ματαίους A1A-APM--- μάταιος
εἰς P--------- εἰς
κενὰ A1--APN--- κενός
ἐγένετο VBI-AMI3S- γίγνομαι
τοῖς RA--DPM--- ὁ
βασιλεῦσιν N3V-DPM--- βασιλεύς
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ

Mic 1:15
ἕως P--------- ἕως
τοὺς RA--APM--- ὁ
κληρονόμους N2--APM--- κληρονόμος
ἀγάγω VB--AAS1S- ἄγω
σοι RP--DS---- σύ
κατοικοῦσα V2--PAPNSF οἰκέω κατα
Λαχις N---AS---- Λαχις
κληρονομία N1A-NSF--- κληρονομία
ἕως P--------- ἕως
Οδολλαμ N---AS---- Οδολλαμ
ἥξει VF--FAI3S- ἥκω
ἡ RA--NSF--- ὁ
δόξα N1S-NSF--- δόξα
τῆς RA--GSF--- ὁ
θυγατρὸς N3--GSF--- θυγάτηρ
Ισραηλ N---GSM--- Ἰσραήλ

Mic 1:16
ξύρησαι VA--AMD2S- ξυράω
καὶ C--------- καί
κεῖραι VA--AMD2S- κείρω
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
τὰ RA--APN--- ὁ
τρυφερά A1A-APN--- τρυφερός
σου RP--GS---- σύ
ἐμπλάτυνον V1--PAPASN πλατύνω ἐν
τὴν RA--ASF--- ὁ
χηρείαν N1A-ASF--- χηρεία
σου RP--GS---- σύ
ὡς C--------- ὡς
ἀετός N2--NSM--- ἀετός
ὅτι C--------- ὅτι
ᾐχμαλωτεύθησαν VCI-API3P- αἰχμαλωτεύω
ἀπὸ P--------- ἀπό
σοῦ RP--GS---- σύ

Mic 2:1
ἐγένοντο VBI-AMI3P- γίγνομαι
λογιζόμενοι V1--PMPNPM λογίζομαι
κόπους N2--APM--- κόπος
καὶ C--------- καί
ἐργαζόμενοι V1--PMPNPM ἐργάζομαι
κακὰ A1--APN--- κακός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
κοίταις N1--DPF--- κοίτη
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἅμα D--------- ἅμα
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
συνετέλουν V2I-IAI3P- τελέω συν
αὐτά RD--APN--- αὐτός
διότι C--------- διότι
οὐκ D--------- οὐ
ἦραν VAI-AAI3P- αἴρω
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
αὐτῶν RD--GPM--- αὐτός

Mic 2:2
καὶ C--------- καί
ἐπεθύμουν V4I-IAI3P- θυμόω ἐπι
ἀγροὺς N2--APM--- ἀγρός
καὶ C--------- καί
διήρπαζον V1I-IAI3P- ἁρπάζω δια
ὀρφανοὺς A1--APM--- ὀρφανός
καὶ C--------- καί
οἴκους N2--APM--- οἶκος
κατεδυνάστευον V1I-IAI3P- δυναστεύω κατα
καὶ C--------- καί
διήρπαζον V1I-IAI3P- ἁρπάζω δια
ἄνδρα N3--ASM--- ἀνήρ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
ἄνδρα N3--ASM--- ἀνήρ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κληρονομίαν N1A-ASF--- κληρονομία
αὐτοῦ RD--GSM--- αὐτός

Mic 2:3
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
λογίζομαι V1--PMI1S- λογίζομαι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
φυλὴν N1--ASF--- φυλή
ταύτην RD--ASF--- οὗτος
κακά A1--APN--- κακός
ἐξ P--------- ἐκ
ὧν RR--GPM--- ὅς
οὐ D--------- οὐ
μὴ D--------- μή
ἄρητε VA--AAS2P- αἴρω
τοὺς RA--APM--- ὁ
τραχήλους N2--APM--- τράχηλος
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
πορευθῆτε VC--APS2P- πορεύομαι
ὀρθοὶ A1--NPM--- ὀρθός
ἐξαίφνης D--------- ἐξαίφνης
ὅτι C--------- ὅτι
καιρὸς N2--NSM--- καιρός
πονηρός A1A-NSM--- πονηρός
ἐστιν V9--PAI3S- εἰμί

Mic 2:4
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἐκείνῃ RD--DSF--- ἐκεῖνος
λημφθήσεται VV--FPI3S- λαμβάνω
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
παραβολή N1--NSF--- παραβολή
καὶ C--------- καί
θρηνηθήσεται VC--FPI3S- θρηνέω
θρῆνος N2--NSM--- θρῆνος
ἐν P--------- ἐν
μέλει N3E-DSN--- μέλος
λέγων V1--PAPNSM λέγω
ταλαιπωρίᾳ N1A-DSF--- ταλαιπωρία
ἐταλαιπωρήσαμεν VAI-AAI1P- ταλαιπωρέω
μερὶς N3D-NSF--- μερίς
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
κατεμετρήθη VCI-API3S- μετρέω κατα
ἐν P--------- ἐν
σχοινίῳ N2N-DSN--- σχοινίον
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
κωλύσων VF--FAPNSM κωλύω
αὐτὸν RD--ASM--- αὐτός
τοῦ RA--GSN--- ὁ
ἀποστρέψαι VA--AAN--- στρέφω ἀπο
οἱ RA--NPM--- ὁ
ἀγροὶ N2--NPM--- ἀγρός
ἡμῶν RP--GP---- ἐγώ
διεμερίσθησαν VSI-API3P- μερίζω δια

Mic 2:5
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
οὐκ D--------- οὐ
ἔσται V9--FMI3S- εἰμί
σοι RP--DS---- σύ
βάλλων V1--PAPNSM βάλλω
σχοινίον N2N-ASN--- σχοινίον
ἐν P--------- ἐν
κλήρῳ N2--DSM--- κλῆρος
ἐν P--------- ἐν
ἐκκλησίᾳ N1A-DSF--- ἐκκλησία
κυρίου N2--GSM--- κύριος

Mic 2:6
μὴ D--------- μή
κλαίετε V1--PAD2P- κλαίω
δάκρυσιν N3--DPN--- δάκρυ
μηδὲ C--------- μηδέ
δακρυέτωσαν V1--PAD3P- δακρύω
ἐπὶ P--------- ἐπί
τούτοις RD--DPM--- οὗτος
οὐ D--------- οὐ
γὰρ X--------- γάρ
ἀπώσεται VF--FMI3S- ὠθέω ἀπο
ὀνείδη N3E-NPN--- ὄνειδος

Mic 2:7
ὁ RA--NSM--- ὁ
λέγων V1--PAPNSM λέγω
οἶκος N2--NSM--- οἶκος
Ιακωβ N---GSM--- Ἰακώβ
παρώργισεν VAI-AAI3S- ὀργίζω παρα
πνεῦμα N3M-NSN--- πνεῦμα
κυρίου N2--GSM--- κύριος
εἰ C--------- εἰ
ταῦτα RD--NPN--- οὗτος
τὰ RA--NPN--- ὁ
ἐπιτηδεύματα N3M-NPN--- ἐπιτήδευμα
αὐτοῦ RD--GSM--- αὐτός
ἐστιν V9--PAI3S- εἰμί
οὐχ D--------- οὐ
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
εἰσιν V9--PAI3P- εἰμί
καλοὶ A1--NPM--- καλός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ὀρθοὶ A1--NPM--- ὀρθός
πεπόρευνται VM--XMI3P- πορεύομαι

Mic 2:8
καὶ C--------- καί
ἔμπροσθεν D--------- ἔμπροσθεν
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
εἰς P--------- εἰς
ἔχθραν N1A-ASF--- ἔχθρα
ἀντέστη VHI-AAI3S- ἵστημι ἀντι
κατέναντι D--------- κατέναντι
τῆς RA--GSF--- ὁ
εἰρήνης N1--GSF--- εἰρήνη
αὐτοῦ RD--GSM--- αὐτός
τὴν RA--ASF--- ὁ
δορὰν N1A-ASF--- δορά
αὐτοῦ RD--GSM--- αὐτός
ἐξέδειραν VAI-AAI3P- δέρω ἐκ
τοῦ RA--GSN--- ὁ
ἀφελέσθαι VB--AMN--- αἱρέω ἀπο
ἐλπίδα N3D-ASF--- ἐλπίς
συντριμμὸν N2--ASM--- συντριμμός
πολέμου N2--GSM--- πόλεμος

Mic 2:9
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἡγούμενοι V2--PMPNPM ἡγέομαι
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
ἀπορριφήσονται VV--FPI3P- ῥίπτω ἀπο
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
οἰκιῶν N1A-GPF--- οἰκία
τρυφῆς N1--GSF--- τρυφή
αὐτῶν RD--GPM--- αὐτός
διὰ P--------- διά
τὰ RA--APN--- ὁ
πονηρὰ A1A-APN--- πονηρός
ἐπιτηδεύματα N3M-APN--- ἐπιτήδευμα
αὐτῶν RD--GPM--- αὐτός
ἐξώσθησαν VS--API3P- ὠθέω ἐκ
ἐγγίσατε VA--AAD2P- ἐγγίζω
ὄρεσιν N3E-DPN--- ὄρος
αἰωνίοις A1B-DPN--- αἰώνιος

Mic 2:10
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
καὶ C--------- καί
πορεύου V1--PMD2S- πορεύομαι
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
σοι RP--DS---- σύ
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
ἀνάπαυσις N3I-NSF--- ἀνάπαυσις
ἕνεκεν P--------- ἕνεκεν
ἀκαθαρσίας N1A-GSF--- ἀκαθαρσία
διεφθάρητε VDI-API2P- φθείρω δια
φθορᾷ N1A-DSF--- φθορά

Mic 2:11
κατεδιώχθητε VQI-API2P- διώκω κατα
οὐδενὸς A3--GSM--- οὐδείς
διώκοντος V1--PAPGSM διώκω
πνεῦμα N3M-ASN--- πνεῦμα
ἔστησεν VAI-AAI3S- ἵστημι
ψεῦδος N3E-ASN--- ψεῦδος
ἐστάλαξέν VAI-AAI3S- σταλάζω
σοι RP--DS---- σύ
εἰς P--------- εἰς
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
μέθυσμα N3M-ASN--- μέθυσμα
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
σταγόνος N3N-GSF--- σταγών
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τούτου RD--GSM--- οὗτος

Mic 2:12
συναγόμενος V1--PMPNSM ἄγω συν
συναχθήσεται VQ--FPI3S- ἄγω συν
Ιακωβ N---NSM--- Ἰακώβ
σὺν P--------- σύν
πᾶσιν A3--DPM--- πᾶς
ἐκδεχόμενος V1--PMPNSM δέχομαι ἐκ
ἐκδέξομαι VF--FMI1S- δέχομαι ἐκ
τοὺς RA--APM--- ὁ
καταλοίπους A1B-APM--- κατάλοιπος
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αὐτὸ RD--ASN--- αὐτός
θήσομαι VF--FMI1S- τίθημι
τὴν RA--ASF--- ὁ
ἀποστροφὴν N1--ASF--- ἀποστροφή
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
πρόβατα N2N-APN--- πρόβατον
ἐν P--------- ἐν
θλίψει N3I-DSF--- θλῖψις
ὡς C--------- ὡς
ποίμνιον N2N-ASN--- ποίμνιον
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
κοίτης N1--GSF--- κοίτη
αὐτῶν RD--GPM--- αὐτός
ἐξαλοῦνται VF2-FMI3P- ἅλλομαι ἐκ
ἐξ P--------- ἐκ
ἀνθρώπων N2--GPM--- ἄνθρωπος

Mic 2:13
διὰ P--------- διά
τῆς RA--GSF--- ὁ
διακοπῆς N1--GSF--- διακοπή
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
διέκοψαν VAI-AAI3P- κόπτω δια
καὶ C--------- καί
διῆλθον VBI-AAI3P- ἔρχομαι δια
πύλην N1--ASF--- πύλη
καὶ C--------- καί
ἐξῆλθον VBI-AAI3P- ἔρχομαι ἐκ
δι' P--------- διά
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
αὐτῶν RD--GPM--- αὐτός
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
κύριος N2--NSM--- κύριος
ἡγήσεται VF--FMI3S- ἡγέομαι
αὐτῶν RD--GPM--- αὐτός

Mic 3:1
καὶ C--------- καί
ἐρεῖ VF2-FAI3S- εἶπον
ἀκούσατε VA--AAD2P- ἀκούω
δὴ X--------- δή
ταῦτα RD--APN--- οὗτος
αἱ RA--NPF--- ὁ
ἀρχαὶ N1--NPF--- ἀρχή
οἴκου N2--GSM--- οἶκος
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατάλοιποι A1B-NPM--- κατάλοιπος
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ
οὐχ D--------- οὐ
ὑμῖν RP--DP---- σύ
ἐστιν V9--PAI3S- εἰμί
τοῦ RA--GSN--- ὁ
γνῶναι VZ--AAN--- γιγνώσκω
τὸ RA--ASN--- ὁ
κρίμα N3M-ASN--- κρίμα

Mic 3:2
οἱ RA--NPM--- ὁ
μισοῦντες V2--PAPNPM μισέω
τὰ RA--APN--- ὁ
καλὰ A1--APN--- καλός
καὶ C--------- καί
ζητοῦντες V2--PAPNPM ζητέω
τὰ RA--APN--- ὁ
πονηρά A1A-APN--- πονηρός
ἁρπάζοντες V1--PAPNPM ἁρπάζω
τὰ RA--APN--- ὁ
δέρματα N3M-APN--- δέρμα
αὐτῶν RD--GPM--- αὐτός
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
σάρκας N3K-APF--- σάρξ
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ὀστέων N2N-GPN--- ὀστέον
αὐτῶν RD--GPM--- αὐτός

Mic 3:3
ὃν RR--ASM--- ὅς
τρόπον N2--ASM--- τρόπος
κατέφαγον VBI-AAI3P- ἐσθίω κατα
τὰς RA--APF--- ὁ
σάρκας N3K-APF--- σάρξ
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
δέρματα N3M-APN--- δέρμα
αὐτῶν RD--GPM--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ὀστέων N2N-GPN--- ὀστέον
αὐτῶν RD--GPM--- αὐτός
ἐξέδειραν VAI-AAI3P- δέρω ἐκ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀστέα N2N-APN--- ὀστέον
αὐτῶν RD--GPM--- αὐτός
συνέθλασαν VAI-AAI3P- θλάω συν
καὶ C--------- καί
ἐμέλισαν VAI-AAI3P- μελίζω
ὡς C--------- ὡς
σάρκας N3K-APF--- σάρξ
εἰς P--------- εἰς
λέβητα N3T-ASM--- λέβης
καὶ C--------- καί
ὡς C--------- ὡς
κρέα N3--APN--- κρέας
εἰς P--------- εἰς
χύτραν N1A-ASF--- χύτρα

Mic 3:4
οὕτως D--------- οὕτως
κεκράξονται VFX-FMI3P- κράζω
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
εἰσακούσεται VF--FMI3S- ἀκούω εἰς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀποστρέψει VF--FAI3S- στρέφω ἀπο
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἀπ' P--------- ἀπό
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
ἐκείνῳ RD--DSM--- ἐκεῖνος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
