Job 1:1
κατὰ P--------- κατά
τὸν RA--ASM--- ὁ
ἀριθμὸν N2--ASM--- ἀριθμός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
μόσχον N2--ASM--- μόσχος
ἕνα A3--ASM--- εἷς
περὶ P--------- περί
ἁμαρτίας N1A-APF--- ἁμαρτία
περὶ P--------- περί
τῶν RA--GPF--- ὁ
ψυχῶν N1--GPF--- ψυχή
αὐτῶν RD--GPM--- αὐτός
ἔλεγεν V1I-IAI3S- λέγω
γὰρ X--------- γάρ
Ιωβ N---NSM--- Ιωβ
μήποτε D--------- μήποτε
οἱ RA--NPM--- ὁ
υἱοί N2--NPM--- υἱός
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
διανοίᾳ N1A-DSF--- διάνοια
αὐτῶν RD--GPM--- αὐτός
κακὰ A1--APN--- κακός
ἐνενόησαν VAI-AAI3P- νοέω ἐν
πρὸς P--------- πρός
θεόν N2--ASM--- θεός
οὕτως D--------- οὕτως
οὖν X--------- οὖν
ἐποίει V2I-IAI3S- ποιέω
Ιωβ N---NSM--- Ιωβ
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα

Job 1:6
καὶ C--------- καί
ὡς C--------- ὡς
ἐγένετο VBI-AMI3S- γίγνομαι
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἦλθον VBI-AAI3P- ἔρχομαι
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
παραστῆναι VH--AAN--- ἵστημι παρα
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
ἦλθεν VBI-AAI3S- ἔρχομαι
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός

Job 1:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
διαβόλῳ N2--DSM--- διάβολος
πόθεν D--------- πόθεν
παραγέγονας VM--XMI2S- γίγνομαι παρα
καὶ C--------- καί
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
εἶπεν VBI-AAI3S- εἶπον
περιελθὼν VB--AAPNSM ἔρχομαι περι
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἐμπεριπατήσας VA--AAPNSM πατέω ἐν περι
τὴν RA--ASF--- ὁ
ὑπ' P--------- ὑπό
οὐρανὸν N2--ASM--- οὐρανός
πάρειμι V9--PAI1S- εἰμί παρα

Job 1:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
προσέσχες VBI-AAI2S- ἔχω προς
τῇ RA--DSF--- ὁ
διανοίᾳ N1A-DSF--- διάνοια
σου RP--GS---- σύ
κατὰ P--------- κατά
τοῦ RA--GSM--- ὁ
παιδός N3D-GSM--- παῖς
μου RP--GS---- ἐγώ
Ιωβ N---GSM--- Ιωβ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
κατ' P--------- κατά
αὐτὸν RD--ASM--- αὐτός
τῶν RA--GPM--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἄμεμπτος A1B-NSM--- ἄμεμπτος
ἀληθινός A1--NSM--- ἀληθινός
θεοσεβής A3H-NSM--- θεοσεβής
ἀπεχόμενος V1--PMPNSM ἔχω ἀπο
ἀπὸ P--------- ἀπό
παντὸς A3--GSN--- πᾶς
πονηροῦ A1A-GSN--- πονηρός
πράγματος N3M-GSN--- πρᾶγμα

Job 1:9
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μὴ D--------- μή
δωρεὰν N1A-ASF--- δωρεά
σέβεται V1--PMI3S- σέβομαι
Ιωβ N---NSM--- Ιωβ
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός

Job 1:10
οὐ D--------- οὐ
σὺ RP--NS---- σύ
περιέφραξας VAI-AAI2S- φράσσω περι
τὰ RA--APN--- ὁ
ἔξω D--------- ἔξω
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἔσω P--------- ἔσω
τῆς RA--GSF--- ὁ
οἰκίας N1A-GSF--- οἰκία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἔξω P--------- ἔξω
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
ὄντων V9--PAPGPM εἰμί
αὐτῷ RD--DSM--- αὐτός
κύκλῳ N2--DSM--- κύκλος
τὰ RA--APN--- ὁ
ἔργα N2N-APN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
αὐτοῦ RD--GSM--- αὐτός
εὐλόγησας VA--AAI2S- εὐλογέω
καὶ C--------- καί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
αὐτοῦ RD--GSM--- αὐτός
πολλὰ A1--APN--- πολύς
ἐποίησας VAI-AAI2S- ποιέω
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Job 1:11
ἀλλὰ C--------- ἀλλά
ἀπόστειλον VA--AAD2S- στέλλω ἀπο
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
καὶ C--------- καί
ἅψαι VA--AMD2S- ἅπτομαι
πάντων A3--GPN--- πᾶς
ὧν RR--GPN--- ὅς
ἔχει V1--PAI3S- ἔχω
εἰ C--------- εἰ
μὴν X--------- μήν
εἰς P--------- εἰς
πρόσωπόν N2N-ASN--- πρόσωπον
σε RP--AS---- σύ
εὐλογήσει VF--FAI3S- εὐλογέω

Job 1:12
τότε D--------- τότε
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
διαβόλῳ N2--DSM--- διάβολος
ἰδοὺ I--------- ἰδού
πάντα A3--ASN--- πᾶς
ὅσα A1--NPN--- ὅσος
ἔστιν V9--PAI3S- εἰμί
αὐτῷ RD--DSM--- αὐτός
δίδωμι V8--PAI1S- δίδωμι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρί N3--DSF--- χείρ
σου RP--GS---- σύ
ἀλλὰ C--------- ἀλλά
αὐτοῦ RD--GSM--- αὐτός
μὴ D--------- μή
ἅψῃ VF--FMI2S- ἅπτομαι
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

Job 1:13
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ιωβ N---GSM--- Ιωβ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
αὐτοῦ RD--GSM--- αὐτός
ἔπινον V1I-IAI3P- πίνω
οἶνον N2--ASM--- οἶνος
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
οἰκίᾳ N1A-DSF--- οἰκία
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
τοῦ RA--GSM--- ὁ
πρεσβυτέρου A1A-GSM--- πρεσβύτερος

Job 1:14
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
ἄγγελος N2--NSM--- ἄγγελος
ἦλθεν VBI-AAI3S- ἔρχομαι
πρὸς P--------- πρός
Ιωβ N---ASM--- Ιωβ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τὰ RA--NPN--- ὁ
ζεύγη N3E-NPN--- ζεῦγος
τῶν RA--GPF--- ὁ
βοῶν N3--GPF--- βοῦς
ἠροτρία V3I-IAI3S- ἀροτριάω
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θήλειαι A3U-NPF--- θῆλυς
ὄνοι N2--NPF--- ὄνος
ἐβόσκοντο V1I-IMI3P- βόσκω
ἐχόμεναι V1--PMPNPF ἔχω
αὐτῶν RD--GPF--- αὐτός

Job 1:15
καὶ C--------- καί
ἐλθόντες VB--AAPNPM ἔρχομαι
οἱ RA--NPM--- ὁ
αἰχμαλωτεύοντες V1--PAPNPM αἰχμαλωτεύω
ᾐχμαλώτευσαν VAI-AAI3P- αἰχμαλωτεύω
αὐτὰς RD--APF--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
παῖδας N3D-APM--- παῖς
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
ἐν P--------- ἐν
μαχαίραις N1A-DPF--- μάχαιρα
σωθεὶς VC--APPNSM σώζω
δὲ X--------- δέ
ἐγὼ RP--NS---- ἐγώ
μόνος A1--NSM--- μόνος
ἦλθον VBI-AAI1S- ἔρχομαι
τοῦ RA--GSN--- ὁ
ἀπαγγεῖλαί VA--AAN--- ἀγγέλλω ἀπο
σοι RP--DS---- σύ

Job 1:16
ἔτι D--------- ἔτι
τούτου RD--GSM--- οὗτος
λαλοῦντος V2--PAPGSM λαλέω
ἦλθεν VBI-AAI3S- ἔρχομαι
ἕτερος A1A-NSM--- ἕτερος
ἄγγελος N2--NSM--- ἄγγελος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
Ιωβ N---ASM--- Ιωβ
πῦρ N3--NSN--- πῦρ
ἔπεσεν VBI-AAI3S- πίπτω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
κατέκαυσεν VAI-AAI3S- καίω κατα
τὰ RA--APN--- ὁ
πρόβατα N2N-APN--- πρόβατον
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ποιμένας N3--APM--- ποιμήν
κατέφαγεν VBI-AAI3S- ἐσθίω κατα
ὁμοίως D--------- ὁμοίως
καὶ C--------- καί
σωθεὶς VC--APPNSM σώζω
ἐγὼ RP--NS---- ἐγώ
μόνος A1--NSM--- μόνος
ἦλθον VBI-AAI1S- ἔρχομαι
τοῦ RA--GSN--- ὁ
ἀπαγγεῖλαί VA--AAN--- ἀγγέλλω ἀπο
σοι RP--DS---- σύ

Job 1:17
ἔτι D--------- ἔτι
τούτου RD--GSM--- οὗτος
λαλοῦντος V2--PAPGSM λαλέω
ἦλθεν VBI-AAI3S- ἔρχομαι
ἕτερος A1A-NSM--- ἕτερος
ἄγγελος N2--NSM--- ἄγγελος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
Ιωβ N---ASM--- Ιωβ
οἱ RA--NPM--- ὁ
ἱππεῖς N3V-NPM--- ἱππεύς
ἐποίησαν VAI-AAI3P- ποιέω
ἡμῖν RP--DP---- ἐγώ
κεφαλὰς N1--APF--- κεφαλή
τρεῖς A3--APF--- τρεῖς
καὶ C--------- καί
ἐκύκλωσαν VAI-AAI3P- κυκλόω
τὰς RA--APF--- ὁ
καμήλους N2--APF--- κάμηλος
καὶ C--------- καί
ᾐχμαλώτευσαν VAI-AAI3P- αἰχμαλωτεύω
αὐτὰς RD--APF--- αὐτός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
παῖδας N3D-APM--- παῖς
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
ἐν P--------- ἐν
μαχαίραις N1A-DPF--- μάχαιρα
ἐσώθην VSI-API1S- σώζω
δὲ X--------- δέ
ἐγὼ RP--NS---- ἐγώ
μόνος A1--NSM--- μόνος
καὶ C--------- καί
ἦλθον VBI-AAI1S- ἔρχομαι
τοῦ RA--GSN--- ὁ
ἀπαγγεῖλαί VA--AAN--- ἀγγέλλω ἀπο
σοι RP--DS---- σύ

Job 1:18
ἔτι D--------- ἔτι
τούτου RD--GSM--- οὗτος
λαλοῦντος V2--PAPGSM λαλέω
ἄλλος RD--NSM--- ἄλλος
ἄγγελος N2--NSM--- ἄγγελος
ἔρχεται V1--PMI3S- ἔρχομαι
λέγων V1--PAPNSM λέγω
τῷ RA--DSM--- ὁ
Ιωβ N---DSM--- Ιωβ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
σου RP--GS---- σύ
καὶ C--------- καί
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
σου RP--GS---- σύ
ἐσθιόντων V1--PAPGPM ἐσθίω
καὶ C--------- καί
πινόντων V1--PAPGPM πίνω
παρὰ P--------- παρά
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
τῷ RA--DSM--- ὁ
πρεσβυτέρῳ A1A-DSM--- πρεσβύτερος

Job 1:19
ἐξαίφνης D--------- ἐξαίφνης
πνεῦμα N3M-NSN--- πνεῦμα
μέγα A1P-NSN--- μέγας
ἐπῆλθεν VBI-AAI3S- ἔρχομαι ἐπι
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
καὶ C--------- καί
ἥψατο VAI-AMI3S- ἅπτομαι
τῶν RA--GPF--- ὁ
τεσσάρων A3--GPF--- τέσσαρες
γωνιῶν N1A-GPF--- γωνία
τῆς RA--GSF--- ὁ
οἰκίας N1A-GSF--- οἰκία
καὶ C--------- καί
ἔπεσεν VBI-AAI3S- πίπτω
ἡ RA--NSF--- ὁ
οἰκία N1A-NSF--- οἰκία
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
παιδία N2N-APN--- παιδίον
σου RP--GS---- σύ
καὶ C--------- καί
ἐτελεύτησαν VAI-AAI3P- τελευτάω
ἐσώθην VSI-API1S- σώζω
δὲ X--------- δέ
ἐγὼ RP--NS---- ἐγώ
μόνος A1--NSM--- μόνος
καὶ C--------- καί
ἦλθον VBI-AAI1S- ἔρχομαι
τοῦ RA--GSN--- ὁ
ἀπαγγεῖλαί VA--AAN--- ἀγγέλλω ἀπο
σοι RP--DS---- σύ

Job 1:20
οὕτως D--------- οὕτως
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
Ιωβ N---NSM--- Ιωβ
διέρρηξεν VAI-AAI3S- ῥήγνυμι δια
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐκείρατο VAI-AMI3S- κείρω
τὴν RA--ASF--- ὁ
κόμην N1--ASF--- κόμη
τῆς RA--GSF--- ὁ
κεφαλῆς N1--GSF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πεσὼν VB--AAPNSM πίπτω
χαμαὶ D--------- χαμαί
προσεκύνησεν VAI-AAI3S- κυνέω προς
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον

Job 1:21
αὐτὸς RD--NSM--- αὐτός
γυμνὸς A1--NSM--- γυμνός
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
κοιλίας N1A-GSF--- κοιλία
μητρός N3--GSF--- μήτηρ
μου RP--GS---- ἐγώ
γυμνὸς A1--NSM--- γυμνός
καὶ C--------- καί
ἀπελεύσομαι VF--FMI1S- ἔρχομαι ἀπο
ἐκεῖ D--------- ἐκεῖ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἀφείλατο VBI-AMI3S- αἱρέω ἀπο
ὡς C--------- ὡς
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἔδοξεν VAI-AAI3S- δοκέω
οὕτως D--------- οὕτως
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
εἴη V9--PAO3S- εἰμί
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
κυρίου N2--GSM--- κύριος
εὐλογημένον VM--XMPNSN εὐλογέω

Job 1:22
ἐν P--------- ἐν
τούτοις RD--DPN--- οὗτος
πᾶσιν A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
συμβεβηκόσιν VX--XAPDPN βαίνω συν
αὐτῷ RD--DSM--- αὐτός
οὐδὲν A3--ASN--- οὐδείς
ἥμαρτεν VBI-AAI3S- ἁμαρτάνω
Ιωβ N---NSM--- Ιωβ
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
οὐκ D--------- οὐ
ἔδωκεν VAI-AAI3S- δίδωμι
ἀφροσύνην N1--ASF--- ἀφροσύνη
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός

Job 2:1
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
ὡς C--------- ὡς
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος
καὶ C--------- καί
ἦλθον VBI-AAI3P- ἔρχομαι
οἱ RA--NPM--- ὁ
ἄγγελοι N2--NPM--- ἄγγελος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
παραστῆναι VH--AAN--- ἵστημι παρα
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐν P--------- ἐν
μέσῳ A1--DSN--- μέσος
αὐτῶν RD--GPM--- αὐτός
παραστῆναι VH--AAN--- ἵστημι παρα
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

Job 2:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
διαβόλῳ N2--DSM--- διάβολος
πόθεν D--------- πόθεν
σὺ RP--NS---- σύ
ἔρχῃ V1--PMI2S- ἔρχομαι
τότε D--------- τότε
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
διαπορευθεὶς VC--APPNSM πορεύομαι δια
τὴν RA--ASF--- ὁ
ὑπ' P--------- ὑπό
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
ἐμπεριπατήσας VA--AAPNSM πατέω ἐν περι
τὴν RA--ASF--- ὁ
σύμπασαν A1A-ASF--- σύμπας
πάρειμι V9--PAI1S- εἰμί παρα

Job 2:3
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
διάβολον N2--ASM--- διάβολος
προσέσχες VBI-AAI2S- ἔχω προς
οὖν X--------- οὖν
τῷ RA--DSM--- ὁ
θεράποντί N3--DSM--- θεράπων
μου RP--GS---- ἐγώ
Ιωβ N---DSM--- Ιωβ
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
κατ' P--------- κατά
αὐτὸν RD--ASM--- αὐτός
τῶν RA--GPM--- ὁ
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἄκακος A1B-NSM--- ἄκακος
ἀληθινός A1--NSM--- ἀληθινός
ἄμεμπτος A1B-NSM--- ἄμεμπτος
θεοσεβής A3H-NSM--- θεοσεβής
ἀπεχόμενος V1--PMPNSM ἔχω ἀπο
ἀπὸ P--------- ἀπό
παντὸς A3--GSN--- πᾶς
κακοῦ A1--GSN--- κακός
ἔτι D--------- ἔτι
δὲ X--------- δέ
ἔχεται V1--PMI3S- ἔχω
ἀκακίας N1A-GSF--- ἀκακία
σὺ RP--NS---- σύ
δὲ X--------- δέ
εἶπας VAI-AAI2S- εἶπον
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
αὐτοῦ RD--GSM--- αὐτός
διὰ P--------- διά
κενῆς A1--GSF--- κενός
ἀπολέσαι VA--AAN--- ὀλλύω ἀπο

Job 2:4
ὑπολαβὼν VB--AAPNSM λαμβάνω ὑπο
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
διάβολος N2--NSM--- διάβολος
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
δέρμα N3M-NSN--- δέρμα
ὑπὲρ P--------- ὑπέρ
δέρματος N3M-GSN--- δέρμα
ὅσα A1--APN--- ὅσος
ὑπάρχει V1--PAI3S- ἄρχω ὑπο
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ὑπὲρ P--------- ὑπέρ
τῆς RA--GSF--- ὁ
ψυχῆς N1--GSF--- ψυχή
αὐτοῦ RD--GSM--- αὐτός
ἐκτείσει VF--FAI3S- τίνω ἐκ

Job 2:5
οὐ D--------- οὐ
μὴν X--------- μήν
δὲ X--------- δέ
ἀλλὰ C--------- ἀλλά
ἀποστείλας VA--AAPNSM στέλλω ἀπο
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
σου RP--GS---- σύ
ἅψαι VA--AMD2S- ἅπτομαι
τῶν RA--GPN--- ὁ
ὀστῶν N2N-GPN--- ὀστέον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῶν RA--GPF--- ὁ
σαρκῶν N3K-GPF--- σάρξ
αὐτοῦ RD--GSM--- αὐτός
εἰ C--------- εἰ
μὴν X--------- μήν
εἰς P--------- εἰς
πρόσωπόν N2N-ASN--- πρόσωπον
σε RP--AS---- σύ
