Dan 1:1
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
τῶν RA--GPM--- ὁ
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
Δανιηλ N---NSM--- Δανιηλ
Ανανιας N1T-NSM--- Ανανιας
Μισαηλ N---NSM--- Μισαηλ
Αζαριας N1T-NSM--- Αζαριας

Dan 1:7
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
ἀρχιευνοῦχος N2--NSM--- ἀρχιευνοῦχος
ὀνόματα N3M-APN--- ὄνομα
τῷ RA--DSM--- ὁ
μὲν X--------- μέν
Δανιηλ N---DSM--- Δανιηλ
Βαλτασαρ N---ASM--- Βαλτασαρ
τῷ RA--DSM--- ὁ
δὲ X--------- δέ
Ανανια N1T-DSM--- Ανανιας
Σεδραχ N---ASM--- Σεδραχ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Μισαηλ N---DSM--- Μισαηλ
Μισαχ N---ASM--- Μισαχ
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Αζαρια N1T-DSM--- Αζαριας
Αβδεναγω N---ASM--- Αβδεναγω

Dan 1:8
καὶ C--------- καί
ἐνεθυμήθη VCI-API3S- θυμέομαι ἐν
Δανιηλ N---NSM--- Δανιηλ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
ὅπως C--------- ὅπως
μὴ D--------- μή
ἀλισγηθῇ VC--APS3S- ἀλισγέω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
δείπνῳ N2N-DSN--- δεῖπνον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
πίνει V1--PAI3S- πίνω
οἴνῳ N2--DSM--- οἶνος
καὶ C--------- καί
ἠξίωσε VAI-AAI3S- ἀξιόω
τὸν RA--ASM--- ὁ
ἀρχιευνοῦχον N2--ASM--- ἀρχιευνοῦχος
ἵνα C--------- ἵνα
μὴ D--------- μή
συμμολυνθῇ VA--APS3S- μολύνομαι συν

Dan 1:9
καὶ C--------- καί
ἔδωκε VAI-AAI3S- δίδωμι
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
τιμὴν N1--ASF--- τιμή
καὶ C--------- καί
χάριν N3--ASF--- χάρις
ἐναντίον P--------- ἐναντίον
τοῦ RA--GSM--- ὁ
ἀρχιευνούχου N2--GSM--- ἀρχιευνοῦχος

Dan 1:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
ἀρχιευνοῦχος N2--NSM--- ἀρχιευνοῦχος
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ἀγωνιῶ V3--PAI1S- ἀγωνιάω
τὸν RA--ASM--- ὁ
κύριόν N2--ASM--- κύριος
μου RP--GS---- ἐγώ
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τὸν RA--ASM--- ὁ
ἐκτάξαντα VA--AAPASM τάσσω ἐκ
τὴν RA--ASF--- ὁ
βρῶσιν N3I-ASF--- βρῶσις
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πόσιν N3I-ASF--- πόσις
ὑμῶν RP--GP---- σύ
ἵνα C--------- ἵνα
μὴ D--------- μή
ἴδῃ VB--AAS3S- ὁράω
τὰ RA--APN--- ὁ
πρόσωπα N2N-APN--- πρόσωπον
ὑμῶν RP--GP---- σύ
διατετραμμένα VP--XMPAPN τρέπω δια
καὶ C--------- καί
ἀσθενῆ A3H-APN--- ἀσθενής
παρὰ P--------- παρά
τοὺς RA--APM--- ὁ
συντρεφομένους V1--PMPAPM τρέφω συν
ὑμῖν RP--DP---- σύ
νεανίας N1T-APM--- νεανίας
τῶν RA--GPM--- ὁ
ἀλλογενῶν A3H-GPM--- ἀλλογενής
καὶ C--------- καί
κινδυνεύσω VF--FAI1S- κινδυνεύω
τῷ RA--DSM--- ὁ
ἰδίῳ A1A-DSM--- ἴδιος
τραχήλῳ N2--DSM--- τράχηλος

Dan 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
Αβιεσδρι N---DSM--- Αβιεσδρι
τῷ RA--DSM--- ὁ
ἀναδειχθέντι VC--APPDSM δεικνύω ἀνα
ἀρχιευνούχῳ N2--DSM--- ἀρχιευνοῦχος
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
Ανανιαν N1T-ASM--- Ανανιας
Μισαηλ N---ASM--- Μισαηλ
Αζαριαν N1T-ASM--- Αζαριας

Dan 1:12
πείρασον VA--AAD2S- πειράζω
δὴ X--------- δή
τοὺς RA--APM--- ὁ
παῖδάς N3D-APM--- παῖς
σου RP--GS---- σύ
ἐφ' P--------- ἐπί
ἡμέρας N1A-APF--- ἡμέρα
δέκα M--------- δέκα
καὶ C--------- καί
δοθήτω VC--APD3S- δίδωμι
ἡμῖν RP--DP---- ἐγώ
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ὀσπρίων N2N-GPN--- ὄσπριον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ὥστε C--------- ὥστε
κάπτειν V1--PAN--- κάπτω
καὶ C--------- καί
ὑδροποτεῖν V2--PAN--- ὑδροποτέω

Dan 1:13
καὶ C--------- καί
ἐὰν C--------- ἐάν
φανῇ VD--APS3S- φαίνω
ἡ RA--NSF--- ὁ
ὄψις N3I-NSF--- ὄψις
ἡμῶν RP--GP---- ἐγώ
διατετραμμένη VP--XMPNSF τρέπω δια
παρὰ P--------- παρά
τοὺς RA--APM--- ὁ
ἄλλους RD--APM--- ἄλλος
νεανίσκους N2--APM--- νεανίσκος
τοὺς RA--APM--- ὁ
ἐσθίοντας V1--PAPAPM ἐσθίω
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
βασιλικοῦ A1--GSN--- βασιλικός
δείπνου N2N-GSN--- δεῖπνον
καθὼς D--------- καθώς
ἐὰν C--------- ἐάν
θέλῃς V1--PAS2S- θέλω
οὕτω D--------- οὕτως
χρῆσαι VA--AAN--- χράω
τοῖς RA--DPM--- ὁ
παισί N3D-DPM--- παῖς
σου RP--GS---- σύ

Dan 1:14
καὶ C--------- καί
ἐχρήσατο VAI-AMI3S- χράω
αὐτοῖς RD--DPM--- αὐτός
τὸν RA--ASM--- ὁ
τρόπον N2--ASM--- τρόπος
τοῦτον RD--ASM--- οὗτος
καὶ C--------- καί
ἐπείρασεν VAI-AAI3S- πειράζω
αὐτοὺς RD--APM--- αὐτός
ἡμέρας N1A-APF--- ἡμέρα
δέκα M--------- δέκα

Dan 1:15
μετὰ P--------- μετά
δὲ X--------- δέ
τὰς RA--APF--- ὁ
δέκα M--------- δέκα
ἡμέρας N1A-APF--- ἡμέρα
ἐφάνη VDI-API3S- φαίνω
ἡ RA--NSF--- ὁ
ὄψις N3I-NSF--- ὄψις
αὐτῶν RD--GPM--- αὐτός
καλὴ A1--NSF--- καλός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἕξις N3I-NSF--- ἕξις
τοῦ RA--GSN--- ὁ
σώματος N3M-GSN--- σῶμα
κρείσσων A3C-NSF--- κρείσσων
τῶν RA--GPM--- ὁ
ἄλλων RD--GPM--- ἄλλος
νεανίσκων N2--GPM--- νεανίσκος
τῶν RA--GPM--- ὁ
ἐσθιόντων V1--PAPGPM ἐσθίω
τὸ RA--ASN--- ὁ
βασιλικὸν A1--ASN--- βασιλικός
δεῖπνον N2N-ASN--- δεῖπνον

Dan 1:16
καὶ C--------- καί
ἦν V9I-IAI3S- εἰμί
Αβιεσδρι N---NSM--- Αβιεσδρι
ἀναιρούμενος V2--PMPNSM αἱρέω ἀνα
τὸ RA--ASN--- ὁ
δεῖπνον N2N-ASN--- δεῖπνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἀντεδίδου V8I-IAI3S- δίδωμι ἀντι
αὐτοῖς RD--DPM--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
ὀσπρίων N2N-GPN--- ὄσπριον

Dan 1:17
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
νεανίσκοις N2--DPM--- νεανίσκος
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
ἐπιστήμην N1--ASF--- ἐπιστήμη
καὶ C--------- καί
σύνεσιν N3I-ASF--- σύνεσις
καὶ C--------- καί
φρόνησιν N3I-ASF--- φρόνησις
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
γραμματικῇ A1--DSF--- γραμματικός
τέχνῃ N1--DSF--- τέχνη
καὶ C--------- καί
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
ἔδωκε VAI-AAI3S- δίδωμι
σύνεσιν N3I-ASF--- σύνεσις
ἐν P--------- ἐν
παντὶ A3--DSN--- πᾶς
ῥήματι N3M-DSN--- ῥῆμα
καὶ C--------- καί
ὁράματι N3M-DSN--- ὅραμα
καὶ C--------- καί
ἐνυπνίοις N2N-DPN--- ἐνύπνιον
καὶ C--------- καί
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
σοφίᾳ N1A-DSF--- σοφία

Dan 1:18
μετὰ P--------- μετά
δὲ X--------- δέ
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ταύτας RD--APF--- οὗτος
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἰσαγαγεῖν VB--AAN--- ἄγω εἰς
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
εἰσήχθησαν VQI-API3P- ἄγω εἰς
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ἀρχιευνούχου N2--GSM--- ἀρχιευνοῦχος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Ναβουχοδονοσορ N---ASM--- Ναβουχοδονοσορ

Dan 1:19
καὶ C--------- καί
ὡμίλησεν VAI-AAI3S- ὁμιλέω
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρέθη VC--API3S- εὑρίσκω
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
σοφοῖς A1--DPM--- σοφός
ὅμοιος A1A-NSM--- ὅμοιος
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
καὶ C--------- καί
Ανανια N1T-DSM--- Ανανιας
καὶ C--------- καί
Μισαηλ N---DSM--- Μισαηλ
καὶ C--------- καί
Αζαρια N1T-DSM--- Αζαριας
καὶ C--------- καί
ἦσαν V9I-IAI3P- εἰμί
παρὰ P--------- παρά
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

Dan 1:20
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
λόγῳ N2--DSM--- λόγος
καὶ C--------- καί
συνέσει N3I-DSF--- σύνεσις
καὶ C--------- καί
παιδείᾳ N1A-DSF--- παιδεία
ὅσα A1--APN--- ὅσος
ἐζήτησε VAI-AAI3S- ζητέω
παρ' P--------- παρά
αὐτῶν RD--GPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
κατέλαβεν VBI-AAI3S- λαμβάνω κατα
αὐτοὺς RD--APM--- αὐτός
σοφωτέρους A1--APMC-- σοφός
δεκαπλασίως D--------- δεκαπλασίως
ὑπὲρ P--------- ὑπέρ
τοὺς RA--APM--- ὁ
σοφιστὰς N1M-APM--- σοφιστής
καὶ C--------- καί
τοὺς RA--APM--- ὁ
φιλοσόφους N2--APM--- φιλόσοφος
τοὺς RA--APM--- ὁ
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐδόξασεν VAI-AAI3S- δοξάζω
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
κατέστησεν VHI-AAI3S- ἵστημι κατα
αὐτοὺς RD--APM--- αὐτός
ἄρχοντας N3--APM--- ἄρχων
καὶ C--------- καί
ἀνέδειξεν VAI-AAI3S- δεικνύω ἀνα
αὐτοὺς RD--APM--- αὐτός
σοφοὺς A1--APM--- σοφός
παρὰ P--------- παρά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
πράγμασιν N3M-DPN--- πρᾶγμα
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός

Dan 1:21
καὶ C--------- καί
ἦν V9I-IAI3S- εἰμί
Δανιηλ N---NSM--- Δανιηλ
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
πρώτου A1--GSNS-- πρῶτος
ἔτους N3E-GSN--- ἔτος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Κύρου N2--GSM--- Κῦρος
βασιλέως N3V-GSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης

Dan 2:1
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
δευτέρῳ A1A-DSN--- δεύτερος
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
συνέβη VZI-AAI3S- βαίνω συν
εἰς P--------- εἰς
ὁράματα N3M-APN--- ὅραμα
καὶ C--------- καί
ἐνύπνια N2N-APN--- ἐνύπνιον
ἐμπεσεῖν VB--AAN--- πίπτω ἐν
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
ταραχθῆναι VQ--APN--- ταράσσω
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἐνυπνίῳ N2N-DSN--- ἐνύπνιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ὕπνος N2--NSM--- ὕπνος
αὐτοῦ RD--GSM--- αὐτός
ἐγένετο VBI-AMI3S- γίγνομαι
ἀπ' P--------- ἀπό
αὐτοῦ RD--GSM--- αὐτός

Dan 2:2
καὶ C--------- καί
ἐπέταξεν VAI-AAI3S- τάσσω ἐπι
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἰσενεχθῆναι VQ--APN--- φέρω εἰς
τοὺς RA--APM--- ὁ
ἐπαοιδοὺς N2--APM--- ἐπαοιδός
καὶ C--------- καί
τοὺς RA--APM--- ὁ
μάγους N2--APM--- μάγος
καὶ C--------- καί
τοὺς RA--APM--- ὁ
φαρμακοὺς N2--APM--- φαρμακός
τῶν RA--GPM--- ὁ
Χαλδαίων N2--GPM--- Χαλδαῖος
ἀναγγεῖλαι VA--AAN--- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τὰ RA--APN--- ὁ
ἐνύπνια N2N-APN--- ἐνύπνιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
παραγενόμενοι VB--AMPNPM γίγνομαι παρα
ἔστησαν VAI-AAI3P- ἵστημι
παρὰ P--------- παρά
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

Dan 2:3
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ἐνύπνιον N2N-ASN--- ἐνύπνιον
ἑώρακα VX--XAI1S- ὁράω
καὶ C--------- καί
ἐκινήθη VCI-API3S- κινέω
μου RP--GS---- ἐγώ
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
ἐπιγνῶναι VZ--AAN--- γιγνώσκω ἐπι
οὖν X--------- οὖν
θέλω V1--PAI1S- θέλω
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον

Dan 2:4
καὶ C--------- καί
ἐλάλησαν VAI-AAI3P- λαλέω
οἱ RA--NPM--- ὁ
Χαλδαῖοι N2--NPM--- Χαλδαῖος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Συριστί D--------- Συριστί
κύριε N2--VSM--- κύριος
βασιλεῦ N3V-VSM--- βασιλεύς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
ζῆθι V3--PAD2S- ζάω
ἀνάγγειλον VA--AAD2S- ἀγγέλλω ἀνα
τὸ RA--ASN--- ὁ
ἐνύπνιόν N2N-ASN--- ἐνύπνιον
σου RP--GS---- σύ
τοῖς RA--DPM--- ὁ
παισί N3D-DPM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
ἡμεῖς RP--NP---- ἐγώ
σοι RP--DS---- σύ
φράσομεν VF--FAI1P- φράζω
τὴν RA--ASF--- ὁ
σύγκρισιν N3I-ASF--- σύγκρισις
αὐτοῦ RD--GSN--- αὐτός

Dan 2:5
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
εἶπε VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
Χαλδαίοις N2--DPM--- Χαλδαῖος
ὅτι C--------- ὅτι
ἐὰν C--------- ἐάν
μὴ D--------- μή
ἀπαγγείλητέ VA--AAS2P- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τούτου RD--GSN--- οὗτος
σύγκρισιν N3I-ASF--- σύγκρισις
δηλώσητέ VA--AAS2P- δηλόω
μοι RP--DS---- ἐγώ
παραδειγματισθήσεσθε VS--FPI2P- δειγματίζω παρα
καὶ C--------- καί
ἀναληφθήσεται VV--FPI3S- λαμβάνω ἀνα
ὑμῶν RP--GP---- σύ
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
βασιλικόν A1--ASN--- βασιλικός

Dan 2:6
ἐὰν C--------- ἐάν
δὲ X--------- δέ
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
διασαφήσητέ VA--AAS2P- σαφέω δια
μοι RP--DS---- ἐγώ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τούτου RD--GSN--- οὗτος
σύγκρισιν N3I-ASF--- σύγκρισις
ἀναγγείλητε VA--AAS2P- ἀγγέλλω ἀνα
λήψεσθε VF--FMI2P- λαμβάνω
δόματα N3M-APN--- δόμα
παντοῖα A1A-APN--- παντοῖος
καὶ C--------- καί
δοξασθήσεσθε VS--FPI2P- δοξάζω
ὑπ' P--------- ὑπό
ἐμοῦ RP--GS---- ἐγώ
δηλώσατέ VA--AAD2P- δηλόω
μοι RP--DS---- ἐγώ
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
καὶ C--------- καί
κρίνατε VA--AAD2P- κρίνω

Dan 2:7
ἀπεκρίθησαν VCI-API3P- κρίνω ἀπο
δὲ X--------- δέ
ἐκ P--------- ἐκ
δευτέρου A1A-GSN--- δεύτερος
λέγοντες V1--PAPNPM λέγω
βασιλεῦ N3V-VSM--- βασιλεύς
τὸ RA--ASN--- ὁ
ὅραμα N3M-ASN--- ὅραμα
εἰπόν VB--AAD2S- εἶπον
καὶ C--------- καί
οἱ RA--NPM--- ὁ
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
κρινοῦσι VF2-FAI3P- κρίνω
πρὸς P--------- πρός
ταῦτα RD--APN--- οὗτος

Dan 2:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
οἶδα VX--XAI1S- οἶδα
ὅτι C--------- ὅτι
καιρὸν N2--ASM--- καιρός
ὑμεῖς RP--NP---- σύ
ἐξαγοράζετε V1--PAI2P- ἀγοράζω ἐκ
καθάπερ D--------- καθάπερ
ἑωράκατε VX--XAI2P- ὁράω
ὅτι C--------- ὅτι
ἀπέστη VHI-AAI3S- ἵστημι ἀπο
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
τὸ RA--ASN--- ὁ
πρᾶγμα N3M-ASN--- πρᾶγμα
