Hos 1:1
τοῦ RA--GSM--- ὁ
Ιεζραελ N---GSM--- Ιεζραελ

Hos 2:3
εἴπατε VAI-AAD2P- εἶπον
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
ὑμῶν RP--GP---- σύ
Λαός-μου N---NSM--- λαός+ἐγώ
καὶ C--------- καί
τῇ RA--DSF--- ὁ
ἀδελφῇ N1--DSF--- ἀδελφή
ὑμῶν RP--GP---- σύ
Ἠλεημένη VMI-XPPNSF ἐλεέω

Hos 2:4
κρίθητε VC--APD2P- κρίνω
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
μητέρα N3--ASF--- μήτηρ
ὑμῶν RP--GP---- σύ
κρίθητε VC--APD2P- κρίνω
ὅτι C--------- ὅτι
αὐτὴ RD--NSF--- αὐτός
οὐ D--------- οὐ
γυνή N3K-NSF--- γυνή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐκ D--------- οὐ
ἀνὴρ N3--NSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐξαρῶ VF2-FAI1S- αἴρω ἐκ
τὴν RA--ASF--- ὁ
πορνείαν N1A-ASF--- πορνεία
αὐτῆς RD--GSF--- αὐτός
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
μοιχείαν N1A-ASF--- μοιχεία
αὐτῆς RD--GSF--- αὐτός
ἐκ P--------- ἐκ
μέσου A1--GSM--- μέσος
μαστῶν N2--GPM--- μαστός
αὐτῆς RD--GSF--- αὐτός

Hos 2:5
ὅπως C--------- ὅπως
ἂν X--------- ἄν
ἐκδύσω VF--FAI1S- δύω ἐκ
αὐτὴν RD--ASF--- αὐτός
γυμνὴν A1--ASF--- γυμνός
καὶ C--------- καί
ἀποκαταστήσω VF--FAI1S- ἵστημι ἀπο κατα
αὐτὴν RD--ASF--- αὐτός
καθὼς D--------- καθώς
ἡμέρᾳ N1A-DSF--- ἡμέρα
γενέσεως N3I-GSF--- γένεσις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
αὐτὴν RD--ASF--- αὐτός
ὡς C--------- ὡς
ἔρημον N2--ASF--- ἔρημος
καὶ C--------- καί
τάξω VF--FAI1S- τάσσω
αὐτὴν RD--ASF--- αὐτός
ὡς C--------- ὡς
γῆν N1--ASF--- γῆ
ἄνυδρον A1B-ASF--- ἄνυδρος
καὶ C--------- καί
ἀποκτενῶ VF2-FAI1S- κτείνω ἀπο
αὐτὴν RD--ASF--- αὐτός
ἐν P--------- ἐν
δίψει N3E-DSN--- δίψος

Hos 2:6
καὶ C--------- καί
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτῆς RD--GSF--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
ἐλεήσω VF--FAI1S- ἐλεέω
ὅτι C--------- ὅτι
τέκνα N2N-NPN--- τέκνον
πορνείας N1A-GSF--- πορνεία
ἐστίν V9--PAI3S- εἰμί

Hos 2:7
ὅτι C--------- ὅτι
ἐξεπόρνευσεν VAI-AAI3S- πορνεύω ἐκ
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
αὐτῶν RD--GPM--- αὐτός
κατῄσχυνεν V1I-IAI3S- αἰσχύνω κατα
ἡ RA--NSF--- ὁ
τεκοῦσα VB--AAPNSF τίκτω
αὐτά RD--APN--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
γάρ X--------- γάρ
ἀκολουθήσω VF--FAI1S- ἀκολουθέω
ὀπίσω P--------- ὀπίσω
τῶν RA--GPM--- ὁ
ἐραστῶν N1M-GPM--- ἐραστής
μου RP--GS---- ἐγώ
τῶν RA--GPM--- ὁ
διδόντων V8--PAPGPM δίδωμι
μοι RP--DS---- ἐγώ
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὕδωρ N3--ASN--- ὕδωρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἱμάτιά N2N-APN--- ἱμάτιον
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀθόνιά N2N-APN--- ὀθόνιον
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλαιόν N2N-ASN--- ἔλαιον
μου RP--GS---- ἐγώ
καὶ C--------- καί
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
μοι RP--DS---- ἐγώ
καθήκει V1--PAI3S- ἥκω κατα

Hos 2:8
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
φράσσω V1--PAI1S- φράσσω
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
σκόλοψιν N3P-DPM--- σκόλοψ
καὶ C--------- καί
ἀνοικοδομήσω VF--FAI1S- οἰκοδομέω ἀνα
τὰς RA--APF--- ὁ
ὁδοὺς N2--APF--- ὁδός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τρίβον N2--ASF--- τρίβος
αὐτῆς RD--GSF--- αὐτός
οὐ D--------- οὐ
μὴ D--------- μή
εὕρῃ VB--AAS3S- εὑρίσκω

Hos 2:9
καὶ C--------- καί
καταδιώξεται VF--FMI3S- διώκω κατα
τοὺς RA--APM--- ὁ
ἐραστὰς N1M-APM--- ἐραστής
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
καταλάβῃ VB--AAS3S- λαμβάνω κατα
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ζητήσει VF--FAI3S- ζητέω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
εὕρῃ VB--AAS3S- εὑρίσκω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐρεῖ VF2-FAI3S- εἶπον
πορεύσομαι VF--FMI1S- πορεύομαι
καὶ C--------- καί
ἐπιστρέψω VF--FAI1S- στρέφω ἐπι
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἄνδρα N3--ASM--- ἀνήρ
μου RP--GS---- ἐγώ
τὸν RA--ASM--- ὁ
πρότερον A1--ASM--- πρότερος
ὅτι C--------- ὅτι
καλῶς D--------- καλῶς
μοι RP--DS---- ἐγώ
ἦν V9--IAI3S- εἰμί
τότε D--------- τότε
ἢ C--------- ἤ
νῦν D--------- νῦν

Hos 2:10
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
οὐκ D--------- οὐ
ἔγνω VZI-AAI3S- γιγνώσκω
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
δέδωκα VX--XAI1S- δίδωμι
αὐτῇ RD--DSF--- αὐτός
τὸν RA--ASM--- ὁ
σῖτον N2--ASM--- σῖτος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλαιον N2N-ASN--- ἔλαιον
καὶ C--------- καί
ἀργύριον N2N-ASN--- ἀργύριον
ἐπλήθυνα VAI-AAI1S- πληθύνω
αὐτῇ RD--DSF--- αὐτός
αὐτὴ RD--NSF--- αὐτός
δὲ X--------- δέ
ἀργυρᾶ A1A-APN--- ἀργυροῦς
καὶ C--------- καί
χρυσᾶ A1C-APN--- χρυσοῦς
ἐποίησεν VAI-AAI3S- ποιέω
τῇ RA--DSF--- ὁ
Βααλ N---DSF--- Βααλ

Hos 2:11
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἐπιστρέψω VF--FAI1S- στρέφω ἐπι
καὶ C--------- καί
κομιοῦμαι VF2-FMI1S- κομίζω
τὸν RA--ASM--- ὁ
σῖτόν N2--ASM--- σῖτος
μου RP--GS---- ἐγώ
καθ' P--------- κατά
ὥραν N1A-ASF--- ὥρα
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶνόν N2--ASM--- οἶνος
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀφελοῦμαι VF2-FMI1S- αἱρέω ἀπο
τὰ RA--APN--- ὁ
ἱμάτιά N2N-APN--- ἱμάτιον
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὀθόνιά N2N-APN--- ὀθόνιον
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
καλύπτειν V1--PAN--- καλύπτω
τὴν RA--ASF--- ὁ
ἀσχημοσύνην N1--ASF--- ἀσχημοσύνη
αὐτῆς RD--GSF--- αὐτός

Hos 2:12
καὶ C--------- καί
νῦν D--------- νῦν
ἀποκαλύψω VF--FAI1S- καλύπτω ἀπο
τὴν RA--ASF--- ὁ
ἀκαθαρσίαν N1A-ASF--- ἀκαθαρσία
αὐτῆς RD--GSF--- αὐτός
ἐνώπιον P--------- ἐνώπιον
τῶν RA--GPM--- ὁ
ἐραστῶν N1M-GPM--- ἐραστής
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐδεὶς A3--NSM--- οὐδείς
οὐ D--------- οὐ
μὴ D--------- μή
ἐξέληται VB--AMS3S- αἱρέω ἐκ
αὐτὴν RD--ASF--- αὐτός
ἐκ P--------- ἐκ
χειρός N3--GSF--- χείρ
μου RP--GS---- ἐγώ

Hos 2:13
καὶ C--------- καί
ἀποστρέψω VF--FAI1S- στρέφω ἀπο
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
εὐφροσύνας N1--APF--- εὐφροσύνη
αὐτῆς RD--GSF--- αὐτός
ἑορτὰς N1--APF--- ἑορτή
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
νουμηνίας N1A-APF--- νεομηνία
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
σάββατα N2N-APN--- σάββατον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πανηγύρεις N3I-APF--- πανήγυρις
αὐτῆς RD--GSF--- αὐτός

Hos 2:14
καὶ C--------- καί
ἀφανιῶ VF2-FAI1S- ἵζω ἀπο ἀνα
ἄμπελον N2--ASF--- ἄμπελος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
συκᾶς N1--APF--- συκῆ
αὐτῆς RD--GSF--- αὐτός
ὅσα A1--APN--- ὅσος
εἶπεν VBI-AAI3S- εἶπον
μισθώματά N3M-NPN--- μίσθωμα
μου RP--GS---- ἐγώ
ταῦτά RD--NPN--- οὗτος
ἐστιν V9--PAI3S- εἰμί
ἃ RR--APN--- ὅς
ἔδωκάν VAI-AAI3P- δίδωμι
μοι RP--DS---- ἐγώ
οἱ RA--NPM--- ὁ
ἐρασταί N1M-NPM--- ἐραστής
μου RP--GS---- ἐγώ
καὶ C--------- καί
θήσομαι VF--FMI1S- τίθημι
αὐτὰ RD--APN--- αὐτός
εἰς P--------- εἰς
μαρτύριον N2N-ASN--- μαρτύριον
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
αὐτὰ RD--APN--- αὐτός
τὰ RA--NPN--- ὁ
θηρία N2N-NPN--- θηρίον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πετεινὰ N2N-NPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἑρπετὰ N2N-NPN--- ἑρπετόν
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Hos 2:15
καὶ C--------- καί
ἐκδικήσω VF--FAI1S- δικέω ἐκ
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
τῶν RA--GPM--- ὁ
Βααλιμ N---GP---- Βααλιμ
ἐν P--------- ἐν
αἷς RR--DPF--- ὅς
ἐπέθυεν V1I-IAI3S- θύω ἐπι
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
περιετίθετο V7I-IMI3S- τίθημι περι
τὰ RA--APN--- ὁ
ἐνώτια N2N-APN--- ἐνώτιον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
καθόρμια N2N-APN--- καθόρμιον
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπορεύετο V1I-IMI3S- πορεύομαι
ὀπίσω P--------- ὀπίσω
τῶν RA--GPM--- ὁ
ἐραστῶν N1M-GPM--- ἐραστής
αὐτῆς RD--GSF--- αὐτός
ἐμοῦ RP--GS---- ἐγώ
δὲ X--------- δέ
ἐπελάθετο VBI-AMI3S- λανθάνω ἐπι
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Hos 2:16
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
πλανῶ VF2-FAI1S- πλανάω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
τάξω VF--FAI1S- τάσσω
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
ἔρημον N2--ASF--- ἔρημος
καὶ C--------- καί
λαλήσω VF--FAI1S- λαλέω
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
αὐτῆς RD--GSF--- αὐτός

Hos 2:17
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτῇ RD--DSF--- αὐτός
τὰ RA--APN--- ὁ
κτήματα N3M-APN--- κτῆμα
αὐτῆς RD--GSF--- αὐτός
ἐκεῖθεν D--------- ἐκεῖθεν
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κοιλάδα N3D-ASF--- κοιλάς
Αχωρ N---GS---- Αχωρ
διανοῖξαι VA--AAN--- οἴγω δια ἀνα
σύνεσιν N3I-ASF--- σύνεσις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ταπεινωθήσεται VC--FPI3S- ταπεινόω
ἐκεῖ D--------- ἐκεῖ
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
νηπιότητος N3T-GSF--- νηπιότης
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ἀναβάσεως N3I-GSF--- ἀνάβασις
αὐτῆς RD--GSF--- αὐτός
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος

Hos 2:18
καὶ C--------- καί
ἔσται V9--FMI3S- εἰμί
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καλέσει VF--FAI3S- καλέω
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
ἀνήρ N3--NSM--- ἀνήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
καλέσει VF--FAI3S- καλέω
με RP--AS---- ἐγώ
ἔτι D--------- ἔτι
Βααλιμ N---NP---- Βααλιμ

Hos 2:19
καὶ C--------- καί
ἐξαρῶ VF2-FAI1S- αἴρω ἐκ
τὰ RA--APN--- ὁ
ὀνόματα N3M-APN--- ὄνομα
τῶν RA--GPM--- ὁ
Βααλιμ N---GP---- Βααλιμ
ἐκ P--------- ἐκ
στόματος N3M-GSN--- στόμα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
μνησθῶσιν VS--APS3P- μιμνήσκω
οὐκέτι D--------- οὐκέτι
τὰ RA--APN--- ὁ
ὀνόματα N3M-APN--- ὄνομα
αὐτῶν RD--GPM--- αὐτός

Hos 2:20
καὶ C--------- καί
διαθήσομαι VF--FMI1S- τίθημι δια
αὐτοῖς RD--DPM--- αὐτός
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
διαθήκην N1--ASF--- διαθήκη
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
θηρίων N2N-GPN--- θηρίον
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
καὶ C--------- καί
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
πετεινῶν N2N-GPN--- πετεινόν
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
ἑρπετῶν N2N-GPN--- ἑρπετόν
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τόξον N2N-ASN--- τόξον
καὶ C--------- καί
ῥομφαίαν N1A-ASF--- ῥομφαία
