Wis 1:1
γῆς N1--GSF--- γῆ

Wis 1:15
δικαιοσύνη N1--NSF--- δικαιοσύνη
γὰρ X--------- γάρ
ἀθάνατός A1B-NSF--- ἀθάνατος
ἐστιν V9--PAI3S- εἰμί

Wis 1:16
ἀσεβεῖς A3H-NPM--- ἀσεβής
δὲ X--------- δέ
ταῖς RA--DPF--- ὁ
χερσὶν N3--DPF--- χείρ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
λόγοις N2--DPM--- λόγος
προσεκαλέσαντο VAI-AMI3P- καλέω προς
αὐτόν RD--ASM--- αὐτός
φίλον A1--ASM--- φίλος
ἡγησάμενοι VA--AMPNPM ἡγέομαι
αὐτὸν RD--ASM--- αὐτός
ἐτάκησαν VAI-AAI3P- τήκω
καὶ C--------- καί
συνθήκην N1--ASF--- συνθήκη
ἔθεντο VEI-AMI3P- τίθημι
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
ὅτι C--------- ὅτι
ἄξιοί A1A-NPM--- ἄξιος
εἰσιν V9--PAI3P- εἰμί
τῆς RA--GSF--- ὁ
ἐκείνου RD--GSF--- ἐκεῖνος
μερίδος N3D-GSF--- μερίς
εἶναι V9--PAN--- εἰμί

Wis 2:1
εἶπον VBI-AAI3P- εἶπον
γὰρ X--------- γάρ
ἐν P--------- ἐν
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
λογισάμενοι VA--AMPNPM λογίζομαι
οὐκ D--------- οὐ
ὀρθῶς D--------- ὀρθῶς
ὀλίγος A1--NSM--- ὀλίγος
ἐστὶν V9--PAI3S- εἰμί
καὶ C--------- καί
λυπηρὸς A1A-NSM--- λυπηρός
ὁ RA--NSM--- ὁ
βίος N2--NSM--- βίος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἴασις N3I-NSF--- ἴασις
ἐν P--------- ἐν
τελευτῇ N1--DSF--- τελευτή
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
οὐκ D--------- οὐ
ἐγνώσθη VSI-API3S- γιγνώσκω
ὁ RA--NSM--- ὁ
ἀναλύσας VA--AAPNSM λύω ἀνα
ἐξ P--------- ἐκ
ᾅδου N1M-GSM--- ᾅδης

Wis 2:2
ὅτι C--------- ὅτι
αὐτοσχεδίως D--------- αὐτοσχεδίως
ἐγενήθημεν VCI-API1P- γίγνομαι
καὶ C--------- καί
μετὰ P--------- μετά
τοῦτο RD--ASN--- οὗτος
ἐσόμεθα VF--FMI1P- εἰμί
ὡς D--------- ὡς
οὐχ D--------- οὐ
ὑπάρξαντες VA--AAPNPM ἄρχω ὑπο
ὅτι C--------- ὅτι
καπνὸς N2--NSM--- καπνός
ἡ RA--NSF--- ὁ
πνοὴ N1--NSF--- πνοή
ἐν P--------- ἐν
ῥισὶν N3--DPF--- ῥίς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
σπινθὴρ N3--NSF--- σπινθήρ
ἐν P--------- ἐν
κινήσει N3I-DSF--- κίνησις
καρδίας N1A-GSF--- καρδία
ἡμῶν RP--GP---- ἐγώ

Wis 2:3
οὗ RR--GSM--- ὅς
σβεσθέντος VS--APPGSM σβέννυμι
τέφρα N1A-NSF--- τέφρα
ἀποβήσεται VF--FMI3S- βαίνω ἀπο
τὸ RA--ASN--- ὁ
σῶμα N3M-ASN--- σῶμα
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πνεῦμα N3M-NSN--- πνεῦμα
διαχυθήσεται VC--FPI3S- χέω δια
ὡς D--------- ὡς
χαῦνος A1--NSM--- χαῦνος
ἀήρ N3--NSM--- ἀήρ

Wis 2:4
καὶ C--------- καί
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
ἡμῶν RP--GP---- ἐγώ
ἐπιλησθήσεται VS--FPI3S- λανθάνω ἐπι
ἐν P--------- ἐν
χρόνῳ N2--DSM--- χρόνος
καὶ C--------- καί
οὐθεὶς A3--NSM--- οὐδείς
μνημονεύσει VF--FAI3S- μνημονεύω
τῶν RA--GPN--- ὁ
ἔργων N2N-GPN--- ἔργον
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
παρελεύσεται VF--FMI3S- ἔρχομαι παρα
ὁ RA--NSM--- ὁ
βίος N2--NSM--- βίος
ἡμῶν RP--GP---- ἐγώ
ὡς D--------- ὡς
ἴχνη N3E-NPN--- ἴχνος
νεφέλης N1--GSF--- νεφέλη
καὶ C--------- καί
ὡς D--------- ὡς
ὁμίχλη N1--NSF--- ὁμίχλη
διασκεδασθήσεται VS--FPI3S- σκεδάζω δια
διωχθεῖσα VQ--APPNSF διώκω
ὑπὸ P--------- ὑπό
ἀκτίνων N3--GPF--- ἀκτίς
ἡλίου N2--GSM--- ἥλιος
καὶ C--------- καί
ὑπὸ P--------- ὑπό
θερμότητος N3T-GSF--- θερμότης
αὐτοῦ RD--GSM--- αὐτός
βαρυνθεῖσα VC--APPNSF βαρύνω

Wis 2:5
σκιᾶς N1A-GSF--- σκιά
γὰρ X--------- γάρ
πάροδος N2--NSF--- πάροδος
ὁ RA--NSM--- ὁ
καιρὸς N2--NSM--- καιρός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
ἀναποδισμὸς N2--NSM--- ἀναποδισμός
τῆς RA--GSF--- ὁ
τελευτῆς N1--GSF--- τελευτή
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
κατεσφραγίσθη VSI-API3S- σφραγίζω κατα
καὶ C--------- καί
οὐδεὶς A3--NSM--- οὐδείς
ἀναστρέφει V1--PAI3S- στρέφω ἀνα

Wis 2:6
δεῦτε D--------- δεῦτε
οὖν X--------- οὖν
καὶ C--------- καί
ἀπολαύσωμεν VA--AAS1P- λαύω ἀπο
τῶν RA--GPN--- ὁ
ὄντων V9--PAPGPN εἰμί
ἀγαθῶν A1--GPN--- ἀγαθός
καὶ C--------- καί
χρησώμεθα VA--AMS1P- χράω
τῇ RA--DSF--- ὁ
κτίσει N3I-DSF--- κτίσις
ὡς D--------- ὡς
ἐν P--------- ἐν
νεότητι N3T-DSF--- νεότης
σπουδαίως D--------- σπουδαίως

Wis 2:7
οἴνου N2--GSM--- οἶνος
πολυτελοῦς A3--GSM--- πολυτελής
καὶ C--------- καί
μύρων N2N-GPN--- μύρον
πλησθῶμεν VS--APS1P- πίμπλημι
καὶ C--------- καί
μὴ D--------- μή
παροδευσάτω VA--AAD3S- ὁδεύω παρα
ἡμᾶς RP--AP---- ἐγώ
ἄνθος N3E-ASN--- ἄνθος
ἔαρος N3--GSN--- ἔαρ

Wis 2:8
στεψώμεθα VA--AMS1P- στέφω
ῥόδων N2N-GPN--- ῥόδον
κάλυξιν N3K-DPF--- κάλυξ
πρὶν D--------- πρίν
ἢ C--------- ἤ
μαρανθῆναι VC--APN--- μαραίνω

Wis 2:9
μηδεὶς A3P-NSM--- μηδείς
ἡμῶν RP--GP---- ἐγώ
ἄμοιρος A1B-NSM--- ἄμοιρος
ἔστω V9--PAD3S- εἰμί
τῆς RA--GSF--- ὁ
ἡμετέρας A1A-GSF--- ἡμέτερος
ἀγερωχίας N1A-GSF--- ἀγερωχία
πανταχῇ D--------- πανταχῇ
καταλίπωμεν VB--AAS1P- λείπω κατα
σύμβολα N2N-APN--- σύμβολον
τῆς RA--GSF--- ὁ
εὐφροσύνης N1--GSF--- εὐφροσύνη
ὅτι C--------- ὅτι
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
μερὶς N3D-NSF--- μερίς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
κλῆρος N2--NSM--- κλῆρος
οὗτος RD--NSM--- οὗτος

Wis 2:10
καταδυναστεύσωμεν VA--AAS1P- δυναστεύω κατα
πένητα N3T-ASM--- πένης
δίκαιον A1A-ASM--- δίκαιος
μὴ D--------- μή
φεισώμεθα VA--AMS1P- φείδομαι
χήρας N1A-GSF--- χήρα
μηδὲ C--------- μηδέ
πρεσβύτου N1M-GSM--- πρεσβύτης
ἐντραπῶμεν VB--AAS1P- τρέπω ἐν
πολιὰς N1A-APF--- πολιά
πολυχρονίους A1B-APF--- πολυχρόνιος

Wis 2:11
ἔστω V9--PAD3S- εἰμί
δὲ X--------- δέ
ἡμῶν RP--GP---- ἐγώ
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
νόμος N2--NSM--- νόμος
τῆς RA--GSF--- ὁ
δικαιοσύνης N1--GSF--- δικαιοσύνη
τὸ RA--NSN--- ὁ
γὰρ X--------- γάρ
ἀσθενὲς A3H-NSN--- ἀσθενής
ἄχρηστον A1B-NSN--- ἄχρηστος
ἐλέγχεται V1--PMI3S- ἐλέγχω

Wis 2:12
ἐνεδρεύσωμεν VA--AAS1P- ἐνεδρεύω
τὸν RA--ASM--- ὁ
δίκαιον A1A-ASM--- δίκαιος
ὅτι C--------- ὅτι
δύσχρηστος A1B-NSM--- δύσχρηστος
ἡμῖν RP--DP---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
ἐναντιοῦται V4--PMI3S- ἀντιόομαι ἐν
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ὀνειδίζει V1--PAI3S- ὀνειδίζω
ἡμῖν RP--DP---- ἐγώ
ἁμαρτήματα N3M-APN--- ἁμάρτημα
νόμου N2--GSM--- νόμος
καὶ C--------- καί
ἐπιφημίζει V1--PAI3S- φημίζω ἐπι
ἡμῖν RP--DP---- ἐγώ
ἁμαρτήματα N3M-APN--- ἁμάρτημα
παιδείας N1A-GSF--- παιδεία
ἡμῶν RP--GP---- ἐγώ

Wis 2:13
ἐπαγγέλλεται V1--PMI3S- ἀγγέλλω ἐπι
γνῶσιν N3I-ASF--- γνῶσις
ἔχειν V1--PAN--- ἔχω
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
παῖδα N3D-ASM--- παῖς
κυρίου N2--GSM--- κύριος
ἑαυτὸν RD--ASM--- ἑαυτοῦ
ὀνομάζει V1--PAI3S- ὀνομάζω

Wis 2:14
ἐγένετο VBI-AMI3S- γίγνομαι
ἡμῖν RP--DP---- ἐγώ
εἰς P--------- εἰς
ἔλεγχον N2--ASM--- ἔλεγχος
ἐννοιῶν N1A-GPF--- ἔννοια
ἡμῶν RP--GP---- ἐγώ
βαρύς A3U-NSM--- βαρύς
ἐστιν V9--PAI3S- εἰμί
ἡμῖν RP--DP---- ἐγώ
καὶ C--------- καί
βλεπόμενος V1--PMPNSM βλέπω

Wis 2:15
ὅτι C--------- ὅτι
ἀνόμοιος A1A-NSM--- ἀνόμοιος
τοῖς RA--DPM--- ὁ
ἄλλοις RD--DPM--- ἄλλος
ὁ RA--NSM--- ὁ
βίος N2--NSM--- βίος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξηλλαγμέναι VK--XMPNPF ἀλλάσσω ἐκ
αἱ RA--NPF--- ὁ
τρίβοι N2--NPF--- τρίβος
αὐτοῦ RD--GSM--- αὐτός

Wis 2:16
εἰς P--------- εἰς
κίβδηλον A1B-ASN--- κίβδηλος
ἐλογίσθημεν VSI-API1P- λογίζομαι
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
ἀπέχεται V1--PMI3S- ἔχω ἀπο
τῶν RA--GPF--- ὁ
ὁδῶν N2--GPF--- ὁδός
ἡμῶν RP--GP---- ἐγώ
ὡς D--------- ὡς
ἀπὸ P--------- ἀπό
ἀκαθαρσιῶν N1A-GPF--- ἀκαθαρσία
μακαρίζει V1--PAI3S- μακαρίζω
ἔσχατα A1--APN--- ἔσχατος
δικαίων A1A-GPM--- δίκαιος
καὶ C--------- καί
ἀλαζονεύεται V1--PMI3S- ἀλαζονεύομαι
πατέρα N3--ASM--- πατήρ
θεόν N2--ASM--- θεός

Wis 2:17
ἴδωμεν VB--AAS1P- ὁράω
εἰ C--------- εἰ
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
ἀληθεῖς A3H-NPM--- ἀληθής
καὶ C--------- καί
πειράσωμεν VA--AAS1P- πειράζω
τὰ RA--APN--- ὁ
ἐν P--------- ἐν
ἐκβάσει N3I-DSF--- ἔκβασις
αὐτοῦ RD--GSM--- αὐτός

Wis 2:18
εἰ C--------- εἰ
γάρ X--------- γάρ
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
δίκαιος A1A-NSM--- δίκαιος
υἱὸς N2--NSM--- υἱός
θεοῦ N2--GSM--- θεός
ἀντιλήμψεται VF--FMI3S- λαμβάνω ἀντι
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ῥύσεται VF--FMI3S- ῥύομαι
αὐτὸν RD--ASM--- αὐτός
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
ἀνθεστηκότων VXI-XAPGPM ἵστημι ἀντι

Wis 2:19
ὕβρει N3I-DSF--- ὕβρις
καὶ C--------- καί
βασάνῳ N2--DSF--- βάσανος
ἐτάσωμεν VA--AAS1P- ἐτάζω
αὐτόν RD--ASM--- αὐτός
ἵνα C--------- ἵνα
γνῶμεν VZ--AAS1P- γιγνώσκω
τὴν RA--ASF--- ὁ
ἐπιείκειαν N1A-ASF--- ἐπιείκεια
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
δοκιμάσωμεν VA--AAS1P- δοκιμάζω
τὴν RA--ASF--- ὁ
ἀνεξικακίαν N1A-ASF--- ἀνεξικακία
αὐτοῦ RD--GSM--- αὐτός

Wis 2:20
θανάτῳ N2--DSM--- θάνατος
ἀσχήμονι A3--DSM--- ἀσχήμων
καταδικάσωμεν VA--AAS1P- δικάζω κατα
αὐτόν RD--ASM--- αὐτός
ἔσται VF--FMI3S- εἰμί
γὰρ X--------- γάρ
αὐτοῦ RD--GSM--- αὐτός
ἐπισκοπὴ N1--NSF--- ἐπισκοπή
ἐκ P--------- ἐκ
λόγων N2--GPM--- λόγος
αὐτοῦ RD--GSM--- αὐτός

Wis 2:21
ταῦτα RD--APN--- οὗτος
ἐλογίσαντο VAI-AMI3P- λογίζομαι
καὶ C--------- καί
ἐπλανήθησαν VCI-API3P- πλανάω
ἀπετύφλωσεν VAI-AAI3S- τυφλόω ἀπο
γὰρ X--------- γάρ
αὐτοὺς RD--APM--- αὐτός
ἡ RA--NSF--- ὁ
κακία N1A-NSF--- κακία
αὐτῶν RD--GPM--- αὐτός

Wis 2:22
καὶ C--------- καί
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
μυστήρια N2N-APN--- μυστήριον
θεοῦ N2--GSM--- θεός
οὐδὲ C--------- οὐδέ
μισθὸν N2--ASM--- μισθός
ἤλπισαν VAI-AAI3P- ἐλπίζω
ὁσιότητος N3T-GSF--- ὁσιότης
οὐδὲ C--------- οὐδέ
ἔκριναν VAI-AAI3P- κρίνω
γέρας N3--NSN--- γέρας
ψυχῶν N1--GPF--- ψυχή
ἀμώμων A1B-GPF--- ἄμωμος

Wis 2:23
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἔκτισεν VAI-AAI3S- κτίζω
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἐπ' P--------- ἐπί
ἀφθαρσίᾳ N1A-DSF--- ἀφθαρσία
καὶ C--------- καί
εἰκόνα N3N-ASF--- εἰκών
τῆς RA--GSF--- ὁ
ἰδίας A1A-GSF--- ἴδιος
ἀϊδιότητος N3T-GSF--- ἀϊδιότης
ἐποίησεν VAI-AAI3S- ποιέω
αὐτόν RD--ASM--- αὐτός

Wis 2:24
φθόνῳ N2--DSM--- φθόνος
δὲ X--------- δέ
διαβόλου N2--GSM--- διάβολος
θάνατος N2--NSM--- θάνατος
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
κόσμον N2--ASM--- κόσμος
πειράζουσιν V1--PAI3P- πειράζω
δὲ X--------- δέ
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
τῆς RA--GSF--- ὁ
ἐκείνου RD--GSM--- ἐκεῖνος
μερίδος N3D-GSF--- μερίς
ὄντες V9--PAPNPM εἰμί

Wis 3:1
δικαίων A1A-GPM--- δίκαιος
δὲ X--------- δέ
ψυχαὶ N1--NPF--- ψυχή
ἐν P--------- ἐν
χειρὶ N3--DSF--- χείρ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
ἅψηται VA--AMS3S- ἅπτομαι
αὐτῶν RD--GPM--- αὐτός
βάσανος N2--NSF--- βάσανος

Wis 3:2
ἔδοξαν VAI-AAI3S- δοκέω
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
ἀφρόνων A3N-GPM--- ἄφρων
τεθνάναι VX--XAN--- θνήσκω
καὶ C--------- καί
ἐλογίσθη VSI-API3S- λογίζομαι
κάκωσις N3I-NSF--- κάκωσις
ἡ RA--NSF--- ὁ
ἔξοδος N2--NSF--- ἔξοδος
αὐτῶν RD--GPM--- αὐτός

Wis 3:3
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἀφ' P--------- ἀπό
ἡμῶν RP--GP---- ἐγώ
πορεία N1A-NSF--- πορεία
σύντριμμα N3M-ASN--- σύντριμμα
οἱ RA--NPM--- ὁ
δέ X--------- δέ
εἰσιν V9--PAI3P- εἰμί
ἐν P--------- ἐν
εἰρήνῃ N1--DSF--- εἰρήνη

Wis 3:4
καὶ C--------- καί
γὰρ X--------- γάρ
ἐν P--------- ἐν
ὄψει N3I-DSF--- ὄψις
ἀνθρώπων N2--GPM--- ἄνθρωπος
ἐὰν C--------- ἐάν
κολασθῶσιν VS--APS3P- κολάζω
ἡ RA--NSF--- ὁ
ἐλπὶς N3D-NSF--- ἐλπίς
αὐτῶν RD--GPM--- αὐτός
ἀθανασίας N1A-GSF--- ἀθανασία
πλήρης A3H-NSM--- πλήρης

Wis 3:5
καὶ C--------- καί
ὀλίγα A1--APN--- ὀλίγος
παιδευθέντες VC--APPNPM παιδεύω
μεγάλα A1--APN--- μέγας
εὐεργετηθήσονται VC--FPI3P- εὐεργετέω
ὅτι C--------- ὅτι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐπείρασεν VAI-AAI3S- πειράζω
