Jdt 1:1
πλατείας A3U-APF--- πλατύς
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
κόσμον N2--ASM--- κόσμος
αὐτῆς RD--GSF--- αὐτός
ἔθηκεν VAI-AAI3S- τίθημι
εἰς P--------- εἰς
ὄνειδος N3E-ASN--- ὄνειδος
αὐτῆς RD--GSF--- αὐτός

Jdt 1:15
καὶ C--------- καί
ἔλαβε VBI-AAI3S- λαμβάνω
τὸν RA--ASM--- ὁ
Αρφαξαδ N---ASM--- Αρφαξαδ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ὄρεσι N3E-DPN--- ὄρος
Ραγαυ N---GS---- Ραγαυ
καὶ C--------- καί
κατηκόντισεν VAI-AAI3S- κοντίζω κατα
αὐτὸν RD--ASM--- αὐτός
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
σιβύναις N1--DPF--- σιβύνη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐξωλέθρευσεν VAI-AAI3S- ὀλεθρεύω ἐκ
αὐτὸν RD--ASM--- αὐτός
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ἐκείνης RD--GSF--- ἐκεῖνος

Jdt 1:16
καὶ C--------- καί
ἀνέστρεψεν VAI-AAI3S- στρέφω ἀνα
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
σύμμικτος A1B-NSM--- σύμμικτος
αὐτοῦ RD--GSM--- αὐτός
πλῆθος N3E-NSN--- πλῆθος
ἀνδρῶν N3--GPM--- ἀνήρ
πολεμιστῶν N1--GPM--- πολεμιστής
πολὺ A1P-NSN--- πολύς
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
ῥᾳθυμῶν V2--PAPNSM ῥᾳθυμέω
καὶ C--------- καί
εὐωχούμενος V2--PMPNSM εὐωχέω
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δύναμις N3I-NSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
ἐφ' P--------- ἐπί
ἡμέρας N1A-APF--- ἡμέρα
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι

Jdt 2:1
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἔτει N3E-DSN--- ἔτος
τῷ RA--DSN--- ὁ
ὀκτωκαιδεκάτῳ A1--DSN--- ὀκτωκαιδέκατος
δευτέρᾳ A1A-DSF--- δεύτερος
καὶ C--------- καί
εἰκάδι N3D-DSF--- εἰκάς
τοῦ RA--GSM--- ὁ
πρώτου A1--GSMS-- πρῶτος
μηνὸς N3--GSM--- μήν
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
βασιλέως N3V-GSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
ἐκδικῆσαι VA--AAN--- δικέω ἐκ
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καθὼς C--------- καθώς
ἐλάλησεν VAI-AAI3S- λαλέω

Jdt 2:2
καὶ C--------- καί
συνεκάλεσεν VAI-AAI3S- καλέω συν
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
θεράποντας N3T-APM--- θεράπων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
μεγιστᾶνας N3--APM--- μεγιστάν
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔθετο VEI-AMI3S- τίθημι
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
τὸ RA--ASN--- ὁ
μυστήριον N2N-ASN--- μυστήριον
τῆς RA--GSF--- ὁ
βουλῆς N1--GSF--- βουλή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
συνετέλεσεν VAI-AAI3S- τελέω συν
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
κακίαν N1A-ASF--- κακία
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
στόματος N3M-GSN--- στόμα
αὐτοῦ RD--GSM--- αὐτός

Jdt 2:3
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ἔκριναν VAI-AAI3P- κρίνω
ὀλεθρεῦσαι VA--AAN--- ὀλεθρεύω
πᾶσαν A1S-ASF--- πᾶς
σάρκα N3K-ASF--- σάρξ
οἳ RR--NPM--- ὅς
οὐκ D--------- οὐ
ἠκολούθησαν VAI-AAI3P- ἀκολουθέω
τῷ RA--DSM--- ὁ
λόγῳ N2--DSM--- λόγος
τοῦ RA--GSN--- ὁ
στόματος N3M-GSN--- στόμα
αὐτοῦ RD--GSM--- αὐτός

Jdt 2:4
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
συνετέλεσεν VAI-AAI3S- τελέω συν
τὴν RA--ASF--- ὁ
βουλὴν N1--ASF--- βουλή
αὐτοῦ RD--GSM--- αὐτός
ἐκάλεσεν VAI-AAI3S- καλέω
Ναβουχοδονοσορ N---NSM--- Ναβουχοδονοσορ
βασιλεὺς N3V-NSM--- βασιλεύς
Ἀσσυρίων N2--GPM--- Ἀσσύριος
τὸν RA--ASM--- ὁ
Ολοφέρνην N1M-ASM--- Ολοφέρνης
ἀρχιστράτηγον N2--ASM--- ἀρχιστράτηγος
τῆς RA--GSF--- ὁ
δυνάμεως N3I-GSF--- δύναμις
αὐτοῦ RD--GSM--- αὐτός
δεύτερον A1A-ASM--- δεύτερος
ὄντα V9--PAPASM εἰμί
μετ' P--------- μετά
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός

Jdt 2:5
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὁ RA--NSM--- ὁ
μέγας A1P-NSM--- μέγας
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἰδοὺ I--------- ἰδού
σὺ RP--NS---- σύ
ἐξελεύσῃ VF--FMI2S- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
καὶ C--------- καί
λήμψῃ VF--FMI2S- λαμβάνω
μετὰ P--------- μετά
σεαυτοῦ RD--GSM--- σεαυτοῦ
ἄνδρας N3--APM--- ἀνήρ
πεποιθότας VX--XAPAPM πείθω
ἐν P--------- ἐν
ἰσχύι N3U-DSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
πεζῶν A1--GPM--- πεζός
εἰς P--------- εἰς
χιλιάδας N3D-APF--- χιλίας
ἑκατὸν M--------- ἑκατόν
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
πλῆθος N3E-ASN--- πλῆθος
ἵππων N2--GPF--- ἵππος
σὺν P--------- σύν
ἀναβάταις N1M-DPM--- ἀναβάτης
χιλιάδας N3D-APF--- χιλίας
δέκα M--------- δέκα
δύο M--------- δύο

Jdt 2:6
καὶ C--------- καί
ἐξελεύσῃ VF--FMI2S- ἔρχομαι ἐκ
εἰς P--------- εἰς
συνάντησιν N3I-ASF--- συνάντησις
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ἐπὶ P--------- ἐπί
δυσμάς N1--APF--- δυσμή
ὅτι C--------- ὅτι
ἠπείθησαν VAI-AAI3P- ἀπειθέω
τῷ RA--DSN--- ὁ
ῥήματι N3M-DSN--- ῥῆμα
τοῦ RA--GSN--- ὁ
στόματός N3M-GSN--- στόμα
μου RP--GS---- ἐγώ

Jdt 2:7
καὶ C--------- καί
ἀπαγγελεῖς VF2-FAI2S- ἀγγέλλω ἀπο
αὐτοῖς RD--DPM--- αὐτός
ἑτοιμάζειν V1--PAN--- ἑτοιμάζω
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ὕδωρ N3--ASN--- ὕδωρ
ὅτι C--------- ὅτι
ἐξελεύσομαι VF--FMI1S- ἔρχομαι ἐκ
ἐν P--------- ἐν
θυμῷ N2--DSM--- θυμός
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
καλύψω VF--FAI1S- καλύπτω
πᾶν A3--ASN--- πᾶς
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
ποσὶν N3D-DPM--- πούς
τῆς RA--GSF--- ὁ
δυνάμεώς N3I-GSF--- δύναμις
μου RP--GS---- ἐγώ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
διαρπαγὴν N1--ASF--- διαρπαγή
αὐτοῖς RD--DPM--- αὐτός

Jdt 2:8
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τραυματίαι N1T-NPM--- τραυματίας
αὐτῶν RD--GPM--- αὐτός
πληρώσουσιν VF--FAI3S- πληρόω
τὰς RA--APF--- ὁ
φάραγγας N3G-APF--- φάραγξ
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
χειμάρρους N2--NSM--- χειμάρρους
καὶ C--------- καί
ποταμὸς N2--NSM--- ποταμός
ἐπικλύζων V1--PAPNSM κλύζω ἐπι
τοῖς RA--DPM--- ὁ
νεκροῖς N2--DPM--- νεκρός
αὐτῶν RD--GPM--- αὐτός
πληρωθήσεται VC--FPI3S- πληρόω

Jdt 2:9
καὶ C--------- καί
ἄξω VF--FAI1S- ἄγω
τὴν RA--ASF--- ὁ
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ἄκρα A1A-APN--- ἄκρος
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jdt 2:10
σὺ RP--NS---- σύ
δὲ X--------- δέ
ἐξελθὼν VB--AAPNSM ἔρχομαι ἐκ
προκαταλήμψῃ VF--FMI2S- λαμβάνω προ κατα
μοι RP--DS---- ἐγώ
πᾶν A3--ASN--- πᾶς
ὅριον N2N-ASN--- ὅριον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐκδώσουσίν VF--FAI3P- δίδωμι ἐκ
σοι RP--DS---- σύ
ἑαυτούς RD--APM--- ἑαυτοῦ
