Jer 1:1
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
σου RP--GS---- σύ

Jer 1:10
ἰδοὺ I--------- ἰδού
κατέστακά VXI-XAI1S- ἵστημι κατα
σε RP--AS---- σύ
σήμερον D--------- σήμερον
ἐπὶ P--------- ἐπί
ἔθνη N3E-APN--- ἔθνος
καὶ C--------- καί
βασιλείας N1A-APF--- βασιλεία
ἐκριζοῦν V4--PAN--- ῥιζόω ἐκ
καὶ C--------- καί
κατασκάπτειν V1--PAN--- σκάπτω κατα
καὶ C--------- καί
ἀπολλύειν V1--PAN--- ὀλλύω ἀπο
καὶ C--------- καί
ἀνοικοδομεῖν V2--PAN--- οἰκοδομέω ἀνα
καὶ C--------- καί
καταφυτεύειν V1--PAN--- φυτεύω κατα

Jer 1:11
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
λέγων V1--PAPNSM λέγω
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ὁρᾷς V3--PAI2S- ὁράω
Ιερεμια N1T-VSM--- Ἰερεμίας
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
βακτηρίαν N1A-ASF--- βακτηρία
καρυΐνην N1--ASF--- καρυΐνη

Jer 1:12
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
καλῶς D--------- καλῶς
ἑώρακας VX--XAI2S- ὁράω
διότι C--------- διότι
ἐγρήγορα VX--XAI1S- ἐγείρω
ἐγὼ RP--NS---- ἐγώ
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
αὐτούς RD--APM--- αὐτός

Jer 1:13
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
λόγος N2--NSM--- λόγος
κυρίου N2--GSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἐκ P--------- ἐκ
δευτέρου A1A-GSM--- δεύτερος
λέγων V1--PAPNSM λέγω
τί RI--ASN--- τίς
σὺ RP--NS---- σύ
ὁρᾷς V3--PAI2S- ὁράω
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
λέβητα N3T-ASM--- λέβης
ὑποκαιόμενον V1--PMPASM καίω ὑπο
καὶ C--------- καί
τὸ RA--NSN--- ὁ
πρόσωπον N2N-NSN--- πρόσωπον
αὐτοῦ RD--GSM--- αὐτός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
βορρᾶ N1T-GSM--- βορέας

Jer 1:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος
πρός P--------- πρός
με RP--AS---- ἐγώ
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
βορρᾶ N1T-GSM--- βορέας
ἐκκαυθήσεται VC--FPI3S- καίω ἐκ
τὰ RA--NPN--- ὁ
κακὰ A1--NPN--- κακός
ἐπὶ P--------- ἐπί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
κατοικοῦντας V2--PAPAPM οἰκέω κατα
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ

Jer 1:15
διότι C--------- διότι
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
συγκαλῶ V2--PAI1S- καλέω συν
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
βασιλείας N1A-APF--- βασιλεία
ἀπὸ P--------- ἀπό
βορρᾶ N1T-GSM--- βορέας
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἥξουσιν VF--FAI3P- ἥκω
καὶ C--------- καί
θήσουσιν VF--FAI3P- τίθημι
ἕκαστος A1--NSM--- ἕκαστος
τὸν RA--ASM--- ὁ
θρόνον N2--ASM--- θρόνος
αὐτοῦ RD--GSM--- αὐτός
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
πρόθυρα N2N-APN--- πρόθυρον
τῶν RA--GPF--- ὁ
πυλῶν N1--GPF--- πύλη
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
τείχη N3E-APN--- τεῖχος
τὰ RA--APN--- ὁ
κύκλῳ N2--DSM--- κύκλος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
πόλεις N3I-APF--- πόλις
Ιουδα N---GSM--- Ιουδα

Jer 1:16
καὶ C--------- καί
λαλήσω VF--FAI1S- λαλέω
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
μετὰ P--------- μετά
κρίσεως N3I-GSF--- κρίσις
περὶ P--------- περί
πάσης A1S-GSF--- πᾶς
τῆς RA--GSF--- ὁ
κακίας N1A-GSF--- κακία
αὐτῶν RD--GPM--- αὐτός
ὡς C--------- ὡς
ἐγκατέλιπόν VBI-AAI3P- λείπω ἐν κατα
με RP--AS---- ἐγώ
καὶ C--------- καί
ἔθυσαν VAI-AAI3P- θύω
θεοῖς N2--DPM--- θεός
ἀλλοτρίοις A1A-DPM--- ἀλλότριος
καὶ C--------- καί
προσεκύνησαν VAI-AAI3P- κυνέω προς
τοῖς RA--DPN--- ὁ
ἔργοις N2N-DPN--- ἔργον
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
αὐτῶν RD--GPM--- αὐτός

Jer 1:17
καὶ C--------- καί
σὺ RP--NS---- σύ
περίζωσαι VA--AMD2S- ζώννυμι περι
τὴν RA--ASF--- ὁ
ὀσφύν N3U-ASF--- ὀσφύς
σου RP--GS---- σύ
καὶ C--------- καί
ἀνάστηθι VH--AAD2S- ἵστημι ἀνα
καὶ C--------- καί
εἰπὸν VBI-AAD2S- εἶπον
πρὸς P--------- πρός
αὐτοὺς RD--APM--- αὐτός
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἂν X--------- ἄν
ἐντείλωμαί VA--AMS1S- τέλλομαι ἐν
σοι RP--DS---- σύ
μὴ D--------- μή
φοβηθῇς VC--APS2S- φοβέω
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
αὐτῶν RD--GPM--- αὐτός
μηδὲ C--------- μηδέ
πτοηθῇς VC--APS2S- πτοέω
ἐναντίον P--------- ἐναντίον
αὐτῶν RD--GPM--- αὐτός
ὅτι C--------- ὅτι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
τοῦ RA--GSN--- ὁ
ἐξαιρεῖσθαί V2--PMN--- αἱρέω ἐκ
σε RP--AS---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 1:18
ἰδοὺ I--------- ἰδού
τέθεικά VX--XAI1S- τίθημι
σε RP--AS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σήμερον D--------- σήμερον
ἡμέρᾳ N1A-DSF--- ἡμέρα
ὡς C--------- ὡς
πόλιν N3I-ASF--- πόλις
ὀχυρὰν A1A-ASF--- ὀχυρός
καὶ C--------- καί
ὡς C--------- ὡς
τεῖχος N3E-ASN--- τεῖχος
χαλκοῦν A1C-ASN--- χαλκοῦς
ὀχυρὸν A1A-ASN--- ὀχυρός
ἅπασιν A3--DPM--- ἅπας
τοῖς RA--DPM--- ὁ
βασιλεῦσιν N3V-DPM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἄρχουσιν N3--DPM--- ἄρχων
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jer 1:19
καὶ C--------- καί
πολεμήσουσίν VF--FAI3P- πολεμέω
σε RP--AS---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
δύνωνται V6--PMS3P- δύναμαι
πρὸς P--------- πρός
σέ RP--AS---- σύ
διότι C--------- διότι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
τοῦ RA--GSN--- ὁ
ἐξαιρεῖσθαί V2--PMN--- αἱρέω ἐκ
σε RP--AS---- σύ
εἶπεν VBI-AAI3S- εἶπον
κύριος N2--NSM--- κύριος

Jer 2:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐμνήσθην VCI-API1S- μιμνήσκω
ἐλέους N3E-GSN--- ἔλεος
νεότητός N3T-GSF--- νεότης
σου RP--GS---- σύ
καὶ C--------- καί
ἀγάπης N1--GSF--- ἀγάπη
τελειώσεώς N3I-GSF--- τελείωσις
σου RP--GS---- σύ
τοῦ RA--GSN--- ὁ
ἐξακολουθῆσαί VA--AAN--- ἀκολουθέω ἐκ
σε RP--AS---- σύ
τῷ RA--DSM--- ὁ
ἁγίῳ A1A-DSM--- ἅγιος
Ισραηλ N---DSM--- Ἰσραήλ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 2:3
ἅγιος A1A-NSM--- ἅγιος
Ισραηλ N---GSM--- Ἰσραήλ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
ἀρχὴ N1--NSF--- ἀρχή
γενημάτων N3M-GPN--- γένημα
αὐτοῦ RD--GSM--- αὐτός
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἔσθοντες V1--PAPNPM ἐσθίω
αὐτὸν RD--ASM--- αὐτός
πλημμελήσουσιν VF--FAI3P- πλημμελέω
κακὰ A1--NPN--- κακός
ἥξει VF--FAI3S- ἥκω
ἐπ' P--------- ἐπί
αὐτούς RD--APM--- αὐτός
φησὶν V6--PAI3S- φημί
κύριος N2--NSM--- κύριος

Jer 2:4
ἀκούσατε VA--AAD2P- ἀκούω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
οἶκος N2--NSM--- οἶκος
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
πᾶσα A1S-NSF--- πᾶς
πατριὰ N1A-NSF--- πατριά
οἴκου N2--GSM--- οἶκος
Ισραηλ N---GSM--- Ἰσραήλ

Jer 2:5
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
τί RI--ASN--- τίς
εὕροσαν VA--AAI3P- εὑρίσκω
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ὑμῶν RP--GP---- σύ
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
πλημμέλημα N3M-ASN--- πλημμέλημα
ὅτι C--------- ὅτι
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
μακρὰν A1A-ASF--- μακρός
ἀπ' P--------- ἀπό
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
ὀπίσω P--------- ὀπίσω
τῶν RA--GPM--- ὁ
ματαίων A1A-GPM--- μάταιος
καὶ C--------- καί
ἐματαιώθησαν VCI-API3P- ματαιόω

Jer 2:6
καὶ C--------- καί
οὐκ D--------- οὐ
εἶπαν VAI-AAI3P- εἶπον
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
ἀναγαγὼν VB--AAPNSM ἄγω ἀνα
ἡμᾶς RP--AP---- ἐγώ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
ὁ RA--NSM--- ὁ
καθοδηγήσας VA--AAPNSM ὁδηγέω κατα
ἡμᾶς RP--AP---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἐρήμῳ N2--DSF--- ἔρημος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
ἀπείρῳ A1B-DSF--- ἄπειρος
καὶ C--------- καί
ἀβάτῳ A1B-DSF--- ἄβατος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
ἀνύδρῳ A1B-DSF--- ἄνυδρος
καὶ C--------- καί
ἀκάρπῳ A1B-DSF--- ἄκαρπος
ἐν P--------- ἐν
γῇ N1--DSF--- γῆ
ἐν P--------- ἐν
ᾗ RR--DSF--- ὅς
οὐ D--------- οὐ
διώδευσεν VAI-AAI3S- ὁδεύω δια
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
οὐθὲν A3--NSN--- οὐδείς
καὶ C--------- καί
οὐ D--------- οὐ
κατῴκησεν VAI-AAI3S- οἰκέω κατα
ἐκεῖ D--------- ἐκεῖ
υἱὸς N2--NSM--- υἱός
ἀνθρώπου N2--GSM--- ἄνθρωπος

Jer 2:7
καὶ C--------- καί
εἰσήγαγον VBI-AAI3P- ἄγω εἰς
ὑμᾶς RP--AP---- σύ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
Κάρμηλον N2--ASM--- Κάρμηλος
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
ὑμᾶς RP--AP---- σύ
τοὺς RA--APM--- ὁ
καρποὺς N2--APM--- καρπός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἀγαθὰ A1--APN--- ἀγαθός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
εἰσήλθατε VBI-AAI2P- ἔρχομαι εἰς
καὶ C--------- καί
ἐμιάνατε VAI-AAI2P- μιαίνω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
κληρονομίαν N1A-ASF--- κληρονομία
μου RP--GS---- ἐγώ
ἔθεσθε VEI-AMI2P- τίθημι
εἰς P--------- εἰς
βδέλυγμα N3M-ASN--- βδέλυγμα

Jer 2:8
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
οὐκ D--------- οὐ
εἶπαν VAI-AAI3P- εἶπον
ποῦ D--------- ποῦ
ἐστιν V9--PAI3S- εἰμί
κύριος N2--NSM--- κύριος
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἀντεχόμενοι V1--PMPNPM ἔχω ἀντι
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος
οὐκ D--------- οὐ
ἠπίσταντό V6I-IMI3P- ἐπίσταμαι
με RP--AS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ποιμένες N3--NPM--- ποιμήν
ἠσέβουν V2--IAI3P- ἀσεβέω
εἰς P--------- εἰς
ἐμέ RP--AS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
ἐπροφήτευον V1I-IAI3P- προφητεύω
τῇ RA--DSF--- ὁ
Βααλ N---DSF--- Βααλ
καὶ C--------- καί
ὀπίσω P--------- ὀπίσω
ἀνωφελοῦς A3H-GSN--- ἀνωφελής
ἐπορεύθησαν VCI-API3P- πορεύομαι

Jer 2:9
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἔτι D--------- ἔτι
κριθήσομαι VC--FPI1S- κρίνω
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
υἱοὺς N2--APM--- υἱός
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
ὑμῶν RP--GP---- σύ
κριθήσομαι VC--FPI1S- κρίνω

Jer 2:10
διότι C--------- διότι
διέλθετε VB--AAD2P- ἔρχομαι δια
εἰς P--------- εἰς
νήσους N2--APF--- νήσος
Χεττιιμ N---GPM--- Χεττιιμ
καὶ C--------- καί
ἴδετε VB--AAD2P- ὁράω
καὶ C--------- καί
εἰς P--------- εἰς
Κηδαρ N---AS---- Κηδαρ
ἀποστείλατε VA--AAD2P- στέλλω ἀπο
καὶ C--------- καί
νοήσατε VA--AAD2P- νοέω
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἴδετε VB--AAD2P- ὁράω
εἰ C--------- εἰ
γέγονεν VX--XAI3S- γίγνομαι
τοιαῦτα A1--NPN--- τοιοῦτος

Jer 2:11
εἰ C--------- εἰ
ἀλλάξονται VF--FMI3P- ἀλλάσσω
ἔθνη N3E-NPN--- ἔθνος
θεοὺς N2--APM--- θεός
αὐτῶν RD--GPN--- αὐτός
καὶ C--------- καί
οὗτοι RD--NPM--- οὗτος
οὔκ D--------- οὐ
εἰσιν V9--PAI3P- εἰμί
θεοί N2--NPM--- θεός
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ἠλλάξατο VAI-AMI3S- ἀλλάσσω
τὴν RA--ASF--- ὁ
δόξαν N1S-ASF--- δόξα
αὐτοῦ RD--GSM--- αὐτός
ἐξ P--------- ἐκ
ἧς RR--GSF--- ὅς
οὐκ D--------- οὐ
ὠφεληθήσονται VC--FPI3P- ὠφελέω

Jer 2:12
ἐξέστη VHI-AAI3S- ἵστημι ἐκ
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
ἐπὶ P--------- ἐπί
τούτῳ RD--DSM--- οὗτος
καὶ C--------- καί
ἔφριξεν VAI-AAI3S- φρίσσω
ἐπὶ P--------- ἐπί
πλεῖον A3C-ASN--- πολύς
σφόδρα D--------- σφόδρα
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 2:13
ὅτι C--------- ὅτι
δύο M--------- δύο
πονηρὰ A1A-APN--- πονηρός
ἐποίησεν VAI-AAI3S- ποιέω
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
μου RP--GS---- ἐγώ
ἐμὲ RP--AS---- ἐγώ
ἐγκατέλιπον VBI-AAI3P- λείπω ἐν κατα
πηγὴν N1--ASF--- πηγή
ὕδατος N3--GSN--- ὕδωρ
ζωῆς N1--GSF--- ζωή
καὶ C--------- καί
ὤρυξαν VAI-AAI3P- ὀρύσσω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
λάκκους N2--APM--- λάκκος
συντετριμμένους VP--XMPAPM τρίβω συν
οἳ RR--NPM--- ὅς
οὐ D--------- οὐ
δυνήσονται VF--FMI3P- δύναμαι
ὕδωρ N3--ASN--- ὕδωρ
συνέχειν V1--PAN--- ἔχω συν

Jer 2:14
μὴ D--------- μή
δοῦλός N2--NSM--- δοῦλος
ἐστιν V9--PAI3S- εἰμί
Ισραηλ N---NSM--- Ἰσραήλ
ἢ C--------- ἤ
οἰκογενής A3H-NSM--- οἰκογενής
ἐστιν V9--PAI3S- εἰμί
διὰ P--------- διά
τί RI--ASN--- τίς
εἰς P--------- εἰς
προνομὴν N1--ASF--- προνομή
ἐγένετο VBI-AMI3S- γίγνομαι

Jer 2:15
ἐπ' P--------- ἐπί
αὐτὸν RD--ASM--- αὐτός
ὠρύοντο V1--IMI3P- ὠρύομαι
λέοντες N3--NPM--- λέων
καὶ C--------- καί
ἔδωκαν VAI-AAI3P- δίδωμι
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
αὐτῶν RD--GPM--- αὐτός
οἳ RR--NPM--- ὅς
ἔταξαν VAI-AAI3P- τάσσω
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
ἔρημον N2--ASF--- ἔρημος
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πόλεις N3I-NPF--- πόλις
αὐτοῦ RD--GSM--- αὐτός
κατεσκάφησαν VAI-AAI3P- σκάπτω κατα
παρὰ P--------- παρά
τὸ RA--ASN--- ὁ
μὴ D--------- μή
κατοικεῖσθαι V2--PMN--- οἰκέω κατα

Jer 2:16
καὶ C--------- καί
υἱοὶ N2--NPM--- υἱός
Μέμφεως N3I-GSF--- Μέμφις
καὶ C--------- καί
Ταφνας N---GS---- Ταφνας
ἔγνωσάν VZI-AAI3P- γιγνώσκω
σε RP--AS---- σύ
καὶ C--------- καί
κατέπαιζόν V1I-IAI3P- παίζω κατα
σου RP--GS---- σύ

Jer 2:17
οὐχὶ D--------- οὐ
ταῦτα RD--APN--- οὗτος
ἐποίησέν VAI-AAI3S- ποιέω
σοι RP--DS---- σύ
τὸ RA--ASN--- ὁ
