1Sa 1:1
καὶ C--------- καί
Φινεες N---NSM--- Φινεες
ἱερεῖς N3V-NPM--- ἱερεύς
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος

1Sa 1:4
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ἡμέρᾳ N1A-DSF--- ἡμέρα
καὶ C--------- καί
ἔθυσεν VAI-AAI3S- θύω
Ελκανα N---NSM--- Ελκανα
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
τῇ RA--DSF--- ὁ
Φεννανα N---DSF--- Φεννανα
γυναικὶ N3K-DSF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
θυγατράσιν N3--DPF--- θυγάτηρ
αὐτῆς RD--GSF--- αὐτός
μερίδας N3D-APF--- μερίς

1Sa 1:5
καὶ C--------- καί
τῇ RA--DSF--- ὁ
Αννα N1A-DSF--- Αννα
ἔδωκεν VAI-AAI3S- δίδωμι
μερίδα N3D-ASF--- μερίς
μίαν A1A-ASF--- εἷς
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
αὐτῇ RD--DSF--- αὐτός
παιδίον N2N-NSN--- παιδίον
πλὴν D--------- πλήν
ὅτι C--------- ὅτι
τὴν RA--ASF--- ὁ
Ανναν N1A-ASF--- Ανναν
ἠγάπα V3I-IAI3S- ἀγαπάω
Ελκανα N---NSM--- Ελκανα
ὑπὲρ P--------- ὑπέρ
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἀπέκλεισεν VAI-AAI3S- κλείω ἀπο
τὰ RA--APN--- ὁ
περὶ P--------- περί
τὴν RA--ASF--- ὁ
μήτραν N1A-ASF--- μήτρα
αὐτῆς RD--GSF--- αὐτός

1Sa 1:6
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῇ RD--DSF--- αὐτός
κύριος N2--NSM--- κύριος
παιδίον N2N-ASN--- παιδίον
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
θλῖψιν N3I-ASF--- θλῖψις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ἀθυμίαν N1A-ASF--- ἀθυμία
τῆς RA--GSF--- ὁ
θλίψεως N3I-GSF--- θλῖψις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἠθύμει V2I-IAI3S- ἀθυμέω
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ὅτι C--------- ὅτι
συνέκλεισεν VAI-AAI3S- κλείω συν
κύριος N2--NSM--- κύριος
τὰ RA--APN--- ὁ
περὶ P--------- περί
τὴν RA--ASF--- ὁ
μήτραν N1A-ASF--- μήτρα
αὐτῆς RD--GSF--- αὐτός
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
δοῦναι VO--AAN--- δίδωμι
αὐτῇ RD--DSF--- αὐτός
παιδίον N2N-ASN--- παιδίον

1Sa 1:7
οὕτως D--------- οὕτως
ἐποίει V2I-IAI3S- ποιέω
ἐνιαυτὸν N2--ASM--- ἐνιαυτός
κατ' P--------- κατά
ἐνιαυτὸν N2--ASM--- ἐνιαυτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀναβαίνειν V1--PAN--- βαίνω ἀνα
αὐτὴν RD--ASF--- αὐτός
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἠθύμει V2I-IAI3S- ἀθυμέω
καὶ C--------- καί
ἔκλαιεν V1I-IAI3S- κλαίω
καὶ C--------- καί
οὐκ D--------- οὐ
ἤσθιεν V1I-IAI3S- ἐσθίω

1Sa 1:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Ελκανα N---NSM--- Ελκανα
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
Αννα N1A-NSF--- Αννα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
ἰδοὺ I--------- ἰδού
ἐγώ RP--NS---- ἐγώ
κύριε N2--VSM--- κύριος
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
τί RI--ASN--- τίς
ἐστίν V9--PAI3S- εἰμί
σοι RP--DS---- σύ
ὅτι C--------- ὅτι
κλαίεις V1--PAI2S- κλαίω
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
οὐκ D--------- οὐ
ἐσθίεις V1--PAI2S- ἐσθίω
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
τύπτει V1--PAI3S- τύπτω
σε RP--AS---- σύ
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
σου RP--GS---- σύ
οὐκ D--------- οὐ
ἀγαθὸς A1--NSM--- ἀγαθός
ἐγώ RP--NS---- ἐγώ
σοι RP--DS---- σύ
ὑπὲρ P--------- ὑπέρ
δέκα M--------- δέκα
τέκνα N2N-APN--- τέκνον

1Sa 1:9
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
Αννα N1A-NSF--- Αννα
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
Σηλω N---DS---- Σηλω
καὶ C--------- καί
κατέστη VHI-AAI3S- ἵστημι κατα
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
Ηλι N---NSM--- Ηλι
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ἐκάθητο V1I-IAI3S- κάθημαι
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
δίφρου N2--GSM--- δίφρος
ἐπὶ P--------- ἐπί
τῶν RA--GPF--- ὁ
φλιῶν N1A-GPF--- φλιά
ναοῦ N2--GSM--- ναός
κυρίου N2--GSM--- κύριος

1Sa 1:10
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
κατώδυνος A1B-NSF--- κατώδυνος
ψυχῇ N1--DSF--- ψυχή
καὶ C--------- καί
προσηύξατο VAI-AMI3S- εὔχομαι προς
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
καὶ C--------- καί
κλαίουσα V1--PAPNSF κλαίω
ἔκλαυσεν VAI-AAI3S- κλαίω

1Sa 1:11
καὶ C--------- καί
ηὔξατο VAI-AMI3S- εὔχομαι
εὐχὴν N1--ASF--- εὐχή
κυρίῳ N2--DSM--- κύριος
λέγουσα V1--PAPNSF λέγω
Αδωναι N---VSM--- Ἀδωναί
κύριε N2--VSM--- κύριος
ελωαι N---VSM--- ελωαι
σαβαωθ N---VSM--- σαβαωθ
ἐὰν C--------- ἐάν
ἐπιβλέπων V1--PAPNSM βλέπω ἐπι
ἐπιβλέψῃς VA--AAS2S- βλέπω ἐπι
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
ταπείνωσιν N3I-ASF--- ταπείνωσις
τῆς RA--GSF--- ὁ
δούλης N1--GSF--- δούλη
σου RP--GS---- σύ
καὶ C--------- καί
μνησθῇς VS--APS2S- μιμνήσκω
μου RP--GS---- ἐγώ
καὶ C--------- καί
δῷς VO--AAS2S- δίδωμι
τῇ RA--DSF--- ὁ
δούλῃ N1--DSF--- δούλη
σου RP--GS---- σύ
σπέρμα N3M-ASN--- σπέρμα
ἀνδρῶν N3--GPM--- ἀνήρ
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
αὐτὸν RD--ASM--- αὐτός
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
δοτὸν A1A-ASM--- δοτός
ἕως P--------- ἕως
ἡμέρας N1A-APF--- ἡμέρα
θανάτου N2--GSM--- θάνατος
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
μέθυσμα N3M-ASN--- μέθυσμα
οὐ D--------- οὐ
πίεται VF--FMI3S- πίνω
καὶ C--------- καί
σίδηρος N2--NSM--- σίδηρος
οὐκ D--------- οὐ
ἀναβήσεται VF--FMI3S- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
κεφαλὴν N1--ASF--- κεφαλή
αὐτοῦ RD--GSM--- αὐτός

1Sa 1:12
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
ὅτε D--------- ὅτε
ἐπλήθυνεν V1I-IAI3S- πληθύνω
προσευχομένη V1--PMPNSF εὔχομαι προς
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
Ηλι N---NSM--- Ηλι
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ἐφύλαξεν VAI-AAI3S- φυλάσσω
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτῆς RD--GSF--- αὐτός

1Sa 1:13
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
ἐλάλει V2I-IAI3S- λαλέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
καρδίᾳ N1A-DSF--- καρδία
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
χείλη N3E-APN--- χεῖλος
αὐτῆς RD--GSF--- αὐτός
ἐκινεῖτο V2I-IMI3S- κινέω
καὶ C--------- καί
φωνὴ N1--NSF--- φωνή
αὐτῆς RD--GSF--- αὐτός
οὐκ D--------- οὐ
ἠκούετο V1I-IMI3S- ἀκούω
καὶ C--------- καί
ἐλογίσατο VAI-AMI3S- λογίζομαι
αὐτὴν RD--ASF--- αὐτός
Ηλι N---NSM--- Ηλι
εἰς P--------- εἰς
μεθύουσαν V1--PAPASF μεθύω

1Sa 1:14
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
Ηλι N---NSM--- Ηλι
ἕως C--------- ἕως
πότε X--------- πότε
μεθυσθήσῃ VC--APS2S- μεθύω
περιελοῦ VB--AMD2S- αἱρέω περι
τὸν RA--ASM--- ὁ
οἶνόν N2--ASM--- οἶνος
σου RP--GS---- σύ
καὶ C--------- καί
πορεύου V1--PMD2S- πορεύομαι
ἐκ P--------- ἐκ
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος

1Sa 1:15
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Αννα N1A-NSF--- Αννα
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
οὐχί D--------- οὐ
κύριε N2--VSM--- κύριος
γυνή N3K-NSF--- γυνή
ᾗ RR--DSF--- ὅς
σκληρὰ A1A-APN--- σκληρός
ἡμέρα N1A-NSF--- ἡμέρα
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
καὶ C--------- καί
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
μέθυσμα N3M-ASN--- μέθυσμα
οὐ D--------- οὐ
πέπωκα VX--XAI1S- πίνω
καὶ C--------- καί
ἐκχέω V2--PAI1S- χέω ἐκ
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος

1Sa 1:16
μὴ D--------- μή
δῷς VO--AAS2S- δίδωμι
τὴν RA--ASF--- ὁ
δούλην N1--ASF--- δούλη
σου RP--GS---- σύ
εἰς P--------- εἰς
θυγατέρα N3--ASF--- θυγάτηρ
λοιμήν A1--ASF--- λοιμός
ὅτι C--------- ὅτι
ἐκ P--------- ἐκ
πλήθους N3E-GSN--- πλῆθος
ἀδολεσχίας N1A-GSF--- ἀδολεσχία
μου RP--GS---- ἐγώ
ἐκτέτακα VX--XAI1S- τείνω ἐκ
ἕως P--------- ἕως
νῦν D--------- νῦν

1Sa 1:17
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
Ηλι N---NSM--- Ηλι
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
πορεύου V1--PMD2S- πορεύομαι
εἰς P--------- εἰς
εἰρήνην N1--ASF--- εἰρήνη
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
δῴη VO--AAS3S- δίδωμι
σοι RP--DS---- σύ
πᾶν A3--ASN--- πᾶς
αἴτημά N3M-ASN--- αἴτημα
σου RP--GS---- σύ
ὃ RR--ASN--- ὅς
ᾐτήσω VAI-AMI2S- αἰτέω
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός

1Sa 1:18
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
εὗρεν VB--AAI3S- εὑρίσκω
ἡ RA--NSF--- ὁ
δούλη N1--NSF--- δούλη
σου RP--GS---- σύ
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
κατάλυμα N3M-ASN--- κατάλυμα
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἔφαγεν VBI-AAI3S- ἐσθίω
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἀνδρὸς N3--GSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἔπιεν VBI-AAI3S- πίνω
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
αὐτῆς RD--GSF--- αὐτός
οὐ D--------- οὐ
συνέπεσεν VAI-AAI3S- πίπτω συν
ἔτι D--------- ἔτι

1Sa 1:19
καὶ C--------- καί
ὀρθρίζουσιν V1--PAI3P- ὀρθρίζω
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
καὶ C--------- καί
προσκυνοῦσιν V2--PAI3P- κυνέω προς
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
πορεύονται V1--PMI3P- πορεύομαι
τὴν RA--ASF--- ὁ
ὁδὸν N2--ASF--- ὁδός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
Ελκανα N---NSM--- Ελκανα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
Αρμαθαιμ N---DS---- Αρμαθαιμ
καὶ C--------- καί
ἔγνω VZI-AAI3S- γιγνώσκω
τὴν RA--ASF--- ὁ
Ανναν N1A-ASF--- Ανναν
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐμνήσθη VSI-API3S- μιμνήσκω
αὐτῆς RD--GSF--- αὐτός
κύριος N2--NSM--- κύριος

1Sa 1:20
καὶ C--------- καί
συνέλαβεν VBI-AAI3S- λαμβάνω συν
καὶ C--------- καί
ἐγενήθη VCI-API3S- γίγνομαι
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
καὶ C--------- καί
ἔτεκεν VBI-AAI3S- τίκτω
υἱόν N2--ASM--- υἱός
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Σαμουηλ N---ASM--- Σαμουηλ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὅτι C--------- ὅτι
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
σαβαωθ N---GSM--- σαβαωθ
ᾐτησάμην VAI-AMI1S- αἰτέω
αὐτόν RD--ASM--- αὐτός

1Sa 1:21
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
Ελκανα N---NSM--- Ελκανα
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός
θῦσαι VA--AAN--- θύω
ἐν P--------- ἐν
Σηλωμ N---DS---- Σηλωμ
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
καὶ C--------- καί
τὰς RA--APF--- ὁ
εὐχὰς N1--APF--- εὐχή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
δεκάτας A1--APF--- δέκατος
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
αὐτοῦ RD--GSM--- αὐτός

1Sa 1:22
καὶ C--------- καί
Αννα N1A-NSF--- Αννα
οὐκ D--------- οὐ
ἀνέβη VZI-AAI3S- βαίνω ἀνα
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ὅτι C--------- ὅτι
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
ἀνδρὶ N3--DSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
ἕως P--------- ἕως
τοῦ RA--GSN--- ὁ
ἀναβῆναι VZ--AAN--- βαίνω ἀνα
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
ἐὰν C--------- ἐάν
ἀπογαλακτίσω VA--AAS1S- γαλακτίζω ἀπο
αὐτό RD--ASN--- αὐτός
καὶ C--------- καί
ὀφθήσεται VV--FPI3S- ὁράω
τῷ RA--DSN--- ὁ
προσώπῳ N2N-DSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
καθήσεται VF--FMI3S- ἵημι κατα
ἐκεῖ D--------- ἐκεῖ
ἕως P--------- ἕως
αἰῶνος N3W-GSM--- αἰών

1Sa 1:23
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
Ελκανα N---NSM--- Ελκανα
ὁ RA--NSM--- ὁ
ἀνὴρ N3--NSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
ποίει V2--PAD3S- ποιέω
τὸ RA--ASN--- ὁ
ἀγαθὸν A1--ASN--- ἀγαθός
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
σου RP--GS---- σύ
κάθου V1--PMD2S- ἧμαι κατα
ἕως P--------- ἕως
ἂν X--------- ἄν
ἀπογαλακτίσῃς VA--AAS2S- γαλακτίζω ἀπο
αὐτό RD--ASN--- αὐτός
ἀλλὰ C--------- ἀλλά
στήσαι VA--AAO3S- ἵστημι
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
ἐξελθὸν VB--AAPASN ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
στόματός N3M-GSN--- στόμα
σου RP--GS---- σύ
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
καὶ C--------- καί
ἐθήλασεν VAI-AAI3S- θηλάζω
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτῆς RD--GSF--- αὐτός
ἕως P--------- ἕως
ἂν X--------- ἄν
ἀπογαλακτίσῃ VA--AAS3S- γαλακτίζω ἀπο
αὐτόν RD--ASM--- αὐτός

1Sa 1:24
καὶ C--------- καί
ἀνέβη VZI-AAI3S- βαίνω ἀνα
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
εἰς P--------- εἰς
Σηλωμ N---AS---- Σηλωμ
ἐν P--------- ἐν
μόσχῳ N2--DSM--- μόσχος
τριετίζοντι V1--PAPDSM τριετίζω
καὶ C--------- καί
ἄρτοις N2--DPM--- ἄρτος
καὶ C--------- καί
οιφι N---DSN--- οιφι
σεμιδάλεως N3I-GSF--- σεμίδαλις
καὶ C--------- καί
νεβελ N---DSN--- νεβελ
οἴνου N2--GSM--- οἶνος
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
Σηλωμ N---DS---- Σηλωμ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
μετ' P--------- μετά
αὐτῶν RD--GPF--- αὐτός

1Sa 1:25
καὶ C--------- καί
προσήγαγον VBI-AAI3P- ἄγω προς
ἐνώπιον P--------- ἐνώπιον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἔσφαξεν VAI-AAI3S- σφάζω
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
ἣν RR--ASF--- ὅς
ἐποίει V2I-IAI3S- ποιέω
ἐξ P--------- ἐκ
ἡμερῶν N1A-GPF--- ἡμέρα
εἰς P--------- εἰς
ἡμέρας N1A-GSF--- ἡμέρα
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
προσήγαγεν VBI-AAI3S- ἄγω προς
τὸ RA--ASN--- ὁ
παιδάριον N2N-ASN--- παιδάριον
καὶ C--------- καί
ἔσφαξεν VAI-AAI3S- σφάζω
τὸν RA--ASM--- ὁ
μόσχον N2--ASM--- μόσχος
καὶ C--------- καί
προσήγαγεν VBI-AAI3S- ἄγω προς
Αννα N1A-NSF--- Αννα
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
τοῦ RA--GSN--- ὁ
παιδαρίου N2N-GSN--- παιδάριον
πρὸς P--------- πρός
Ηλι N---ASM--- Ηλι

1Sa 1:26
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἐν P--------- ἐν
ἐμοί RP--DS---- ἐγώ
κύριε N2--VSM--- κύριος
ζῇ VA--PAS3S- ζάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
σου RP--GS---- σύ
ἐγὼ RP--NS---- ἐγώ
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
ἡ RA--NSF--- ὁ
καταστᾶσα VH--AAPNSF ἵστημι κατα
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
προσεύξασθαι VA--AMN--- εὔχομαι προς
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος

1Sa 1:27
ὑπὲρ P--------- ὑπέρ
τοῦ RA--GSN--- ὁ
παιδαρίου N2N-GSN--- παιδάριον
τούτου RD--GSN--- οὗτος
προσηυξάμην VAI-AMI1S- εὔχομαι προς
καὶ C--------- καί
ἔδωκέν VAI-AAI3S- δίδωμι
μοι RP--DS---- ἐγώ
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
αἴτημά N3M-ASN--- αἴτημα
μου RP--GS---- ἐγώ
ὃ RR--ASN--- ὅς
ᾐτησάμην VAI-AMI1S- αἰτέω
παρ' P--------- παρά
αὐτοῦ RD--GSM--- αὐτός

1Sa 1:28
κἀγὼ C+RPNS---- καί+ἐγώ
κιχρῶ V3--PAI1S- κιχράω
αὐτὸν RD--ASM--- αὐτός
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἡμέρας N1A-APF--- ἡμέρα
ἃς RR--APF--- ὅς
ζῇ VA--PAS3S- ζάω
αὐτός RD--NSM--- αὐτός
χρῆσιν N3I-ASF--- χρῆσις
τῷ RA--DSM--- ὁ
