Tob 1:1
φυλῶν N1--GPF--- φυλή
Ισραηλ N---GSM--- Ἰσραήλ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
θυσιάζειν V1--PAN--- θυσιάζω
πάσαις A1S-DPF--- πᾶς
φυλαῖς N1--DPF--- φυλή
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἡγιάσθη VSI-API3S- ἁγιάζω
ὁ RA--NSM--- ὁ
ναὸς N2--NSM--- ναός
τῆς RA--GSF--- ὁ
κατασκηνώσεως N3I-GSF--- κατασκήνωσις
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
καὶ C--------- καί
ᾠκοδομήθη VCI-API3S- οἰκοδομέω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
εἰς P--------- εἰς
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
γενεὰς N1A-APF--- γενεά
τοῦ RA--GSM--- ὁ
αἰῶνος N3W-GSM--- αἰών

Tob 1:5
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
Νεφθαλιμ N---GSF--- Νεφθαλιμ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
ἐθυσίαζον V1I-IAI3P- θυσιάζω
ἐκεῖνοι RD--NPM--- ἐκεῖνος
τῷ RA--DSM--- ὁ
μόσχῳ N2--DSM--- μόσχος
ὃν RR--ASM--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
Ιεροβεαμ N---NSM--- Ιεροβεαμ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
Δαν N---DSM--- Δαν
ἐπὶ P--------- ἐπί
πάντων A3--GPN--- πᾶς
ὀρέων N3E-GPN--- ὄρος
τῆς RA--GSF--- ὁ
Γαλιλαίας N1A-GSF--- Γαλιλαία

Tob 1:6
κἀγὼ C+RPNS---- καί+ἐγώ
μονώτατος A1--NSMS-- μόνος
ἐπορευόμην V1I-IMI1S- πορεύομαι
πολλάκις D--------- πολλάκις
εἰς P--------- εἰς
Ιεροσόλυμα N---ASF--- Ιεροσόλυμα
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
καθὼς D--------- καθώς
γέγραπται VP--XMI3S- γράφω
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
Ισραηλ N---GSM--- Ἰσραήλ
ἐν P--------- ἐν
προστάγματι N3M-DSN--- πρόσταγμα
αἰωνίῳ A1B-DSM--- αἰώνιος
τὰς RA--APF--- ὁ
ἀπαρχὰς N1--APF--- ἀπαρχή
καὶ C--------- καί
τὰ RA--APN--- ὁ
πρωτογενήματα N3M-APN--- πρωτογένημα
καὶ C--------- καί
τὰς RA--APF--- ὁ
δεκάτας A1--APF--- δέκατος
τῶν RA--GPN--- ὁ
κτηνῶν N3E-GPN--- κτῆνος
καὶ C--------- καί
τὰς RA--APF--- ὁ
πρωτοκουρίας N1A-APF--- πρωτοκουρία
τῶν RA--GPN--- ὁ
προβάτων N2N-GPN--- πρόβατον
ἔχων V1--PAPNSM ἔχω
ἀπέτρεχον V1I-IAI3P- τρέχω ἀπο
εἰς P--------- εἰς
Ιεροσόλυμα N---ASF--- Ιεροσόλυμα

Tob 1:7
καὶ C--------- καί
ἐδίδουν V8I-IMI1S- δίδωμι
αὐτὰ RD--APN--- αὐτός
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ααρων N---GSM--- Ἀαρών
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δεκάτην A1--ASF--- δέκατος
τοῦ RA--GSM--- ὁ
σίτου N2--GSM--- σῖτος
καὶ C--------- καί
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
καὶ C--------- καί
ἐλαίου N2N-GSN--- ἔλαιον
καὶ C--------- καί
ῥοῶν N1--GPF--- ῥοά
καὶ C--------- καί
τῶν RA--GPF--- ὁ
σύκων N1--GPF--- συκῆ
καὶ C--------- καί
τῶν RA--GPM--- ὁ
λοιπῶν A1--GPF--- λοιπός
ἀκροδρύων N3U-GPN--- ἀκρόδρυα
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Λευι N---GSM--- Λευί
τοῖς RA--DPM--- ὁ
θεραπεύουσιν V1--PAI3P- θεραπεύω
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δεκάτην A1--ASF--- δέκατος
τὴν RA--ASF--- ὁ
δευτέραν A1A-ASF--- δεύτερος
ἀπεδεκάτιζον V1I-IAI1S- δεκατίζω ἀπο
ἀργυρίῳ N2N-DSN--- ἀργύριον
τῶν RA--GPN--- ὁ
ἓξ M--------- ἕξ
ἐτῶν N3E-GPN--- ἔτος
καὶ C--------- καί
ἐπορευόμην V1I-IMI1S- πορεύομαι
καὶ D--------- καί
ἐδαπάνων V3I-IAI1S- δαπανάω
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
καθ' P--------- κατά
ἕκαστον A1--ASM--- ἕκαστος
ἐνιαυτόν N2--ASM--- ἐνιαυτός

Tob 1:8
καὶ C--------- καί
ἐδίδουν V8I-IMI1S- δίδωμι
αὐτὰ RD--APN--- αὐτός
τοῖς RA--DPM--- ὁ
ὀρφανοῖς A1--DPM--- ὀρφανός
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
χήραις N1A-DPF--- χήρα
καὶ C--------- καί
προσηλύτοις N2--DPM--- προσήλυτος
τοῖς RA--DPM--- ὁ
προσκειμένοις V5--PMPDPM κεῖμαι προς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
εἰσέφερον V1I-IAI1S- φέρω εἰς
καὶ C--------- καί
ἐδίδουν V8I-IMI1S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τρίτῳ A1--DSN--- τρίτος
ἔτει N3E-DSN--- ἔτος
καὶ C--------- καί
ἠσθίομεν V1I-IAI1P- ἐσθίω
αὐτὰ RD--APN--- αὐτός
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πρόσταγμα N3M-ASN--- πρόσταγμα
τὸ RA--ASN--- ὁ
προστεταγμένον VK--XMPASN τάσσω προς
περὶ P--------- περί
αὐτῶν RD--GPM--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
νόμῳ N2--DSM--- νόμος
Μωσῆ N1M-GSM--- Μωσῆς
καὶ C--------- καί
κατὰ P--------- κατά
τὰς RA--APF--- ὁ
ἐντολάς N1--APF--- ἐντολή
ἃς RR--APF--- ὅς
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
Δεββωρα N---NSF--- Δεββωρα
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
Ανανιηλ N---GSM--- Ανανιηλ
τοῦ RA--GSM--- ὁ
πατρὸς N3--GSM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
ὀρφανὸν A1--ASM--- ὀρφανός
κατέλιπέν VBI-AAI3S- λείπω κατα
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
πατὴρ N3--NSM--- πατήρ
καὶ C--------- καί
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο

Tob 1:9
καὶ C--------- καί
ὅτε D--------- ὅτε
ἐγενήθην VCI-API1S- γίγνομαι
ἀνήρ N3--NSM--- ἀνήρ
ἔλαβον VBI-AAI3P- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
τῆς RA--GSF--- ὁ
πατριᾶς N1A-GSF--- πατριά
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐγέννησα VAI-AAI1S- γεννάω
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
υἱὸν N2--ASM--- υἱός
καὶ C--------- καί
ἐκάλεσα VAI-AAI1S- καλέω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
Τωβιαν N1T-ASM--- Τωβιας

Tob 1:10
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
αἰχμαλωτισθῆναί VC--APN--- αἰχμαλωτίζω
με RP--AS---- ἐγώ
εἰς P--------- εἰς
Ἀσσυρίους N2--APM--- Ἀσσύριος
καὶ C--------- καί
ὅτε D--------- ὅτε
ᾐχμαλωτίσθην VCI-API1S- αἰχμαλωτίζω
εἰς P--------- εἰς
Νινευη N---ASF--- Νινευη
ἐπορευόμην V1I-IMI1S- πορεύομαι
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
μου RP--GS---- ἐγώ
ἤσθιον V1I-IAI1S- ἐσθίω
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἄρτων N2--GPM--- ἄρτος
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος

Tob 1:11
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
συνετήρησα VAI-AAI1S- τηρέω συν
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
μὴ D--------- μή
φαγεῖν VB--AAN--- ἐσθίω
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἄρτων N2--GPM--- ἄρτος
τῶν RA--GPN--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος

Tob 1:12
καὶ C--------- καί
ὅτε D--------- ὅτε
ἐμεμνήμην VMI-YMI1S- μιμνήσκω
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
ψυχῇ N1--DSF--- ψυχή
μου RP--GS---- ἐγώ

Tob 1:13
καὶ C--------- καί
ἔδωκέν VAI-AAI3S- δίδωμι
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
χάριν N3--ASF--- χάρις
καὶ C--------- καί
μορφὴν N1--ASF--- μορφή
ἐνώπιον P--------- ἐνώπιον
Ενεμεσσαρου N---GSM--- Ενεμεσσαρος
καὶ C--------- καί
ἠγόραζον V1I-IAI1S- ἀγοράζω
αὐτῷ RD--DSM--- αὐτός
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
χρῆσιν N3I-ASF--- χρῆσις

Tob 1:14
καὶ C--------- καί
ἐπορευόμην V1I-IMI1S- πορεύομαι
εἰς P--------- εἰς
Μηδίαν N1A-ASF--- Μηδία
καὶ C--------- καί
ἠγόραζον V1I-IAI1S- ἀγοράζω
αὐτῷ RD--DSM--- αὐτός
ἐκεῖθεν D--------- ἐκεῖθεν
ἕως P--------- ἕως
αὐτὸν RD--ASM--- αὐτός
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
καὶ C--------- καί
παρεθέμην VEI-AMI1S- τίθημι παρα
Γαβαήλῳ N2--DSM--- Γαβάηλος
βαλλάντια N2N-APN--- βαλλάντιον
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
τῷ RA--DSM--- ὁ
Γαβρι N---DSM--- Γαβρι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χώρᾳ N1A-DSF--- χώρα
τῆς RA--GSF--- ὁ
Μηδίας N1A-GSF--- Μηδία
ἀργυρίου N2N-GSN--- ἀργύριον
τάλαντα N2N-APN--- τάλαντον
δέκα M--------- δέκα

Tob 1:15
καὶ C--------- καί
ὅτε D--------- ὅτε
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
Ενεμασσαρ N---NSM--- Ενεμασσαρ
καὶ C--------- καί
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Σενναχηριμ N---NSM--- Σενναχηριμ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἀντ' P--------- ἀντί
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ὁδοὶ N2--NPF--- ὁδός
τῆς RA--GSF--- ὁ
Μηδίας N1A-GSF--- Μηδίας
ἀπέστησαν VHI-AAI3P- ἵστημι ἀπο
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ἠδυνάσθην VSI-API1S- δύναμαι
πορευθῆναι VC--APN--- πορεύομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μηδίαν N1A-ASF--- Μηδίαν

Tob 1:16
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ενεμεσσαρου N---GSM--- Ενεμεσσαρος
ἐλεημοσύνας N1--APF--- ἐλεημοσύνη
πολλὰς A1--APF--- πολύς
ἐποίησα VAI-AAI1S- ποιέω
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
μου RP--GS---- ἐγώ
τοῖς RA--DPM--- ὁ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
μου RP--GS---- ἐγώ

Tob 1:17
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
μου RP--GS---- ἐγώ
ἐδίδουν V8I-IMI1S- δίδωμι
τοῖς RA--DPM--- ὁ
πεινῶσιν V3--PAI3P- πεινάω
καὶ C--------- καί
ἱμάτια N2N-APN--- ἱμάτιον
τοῖς RA--DPM--- ὁ
γυμνοῖς A1--DPM--- γυμνός
καὶ C--------- καί
εἴ C--------- εἰ
τινα RI--ASM--- τις
τῶν RA--GPM--- ὁ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
ἔθνους N3E-GSN--- ἔθνος
μου RP--GS---- ἐγώ
ἐθεώρουν V2I-IAI1S- θεωρέω
τεθνηκότα VX--XAPASM θνήσκω
καὶ C--------- καί
ἐρριμμένον VXI-XPPASM ῥίτωω
ὀπίσω P--------- ὀπίσω
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
Νινευη N---GSF--- Νινευη
ἔθαπτον V1I-IAI1S- θάπτω
αὐτόν RD--ASM--- αὐτός

Tob 1:18
καὶ C--------- καί
εἴ C--------- εἰ
τινα RI--ASM--- τις
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
Σενναχηριμ N---NSM--- Σενναχηριμ
ὅτε D--------- ὅτε
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο
φεύγων V1--PAPNSM φεύγω
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
τῆς RA--GSF--- ὁ
κρίσεως N3I-GSF--- κρίσις
ἧς RR--GSF--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
ἐξ P--------- ἐκ
αὐτοῦ RD--GSM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
περὶ P--------- περί
τῶν RA--GPM--- ὁ
βλασφημιῶν N1A-GPF--- βλασφημία
ὧν RR--GPM--- ὅς
ἐβλασφήμησεν VAI-AAI3S- βλασφημέω
ἔθαψα VAI-AAI1S- θάπτω
πολλοὺς A1--APM--- πολύς
γὰρ X--------- γάρ
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
θυμῷ N2--DSM--- θυμός
αὐτοῦ RD--GSM--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἔκλεπτον V1I-IAI1S- κλέπτω
τὰ RA--APN--- ὁ
σώματα N3M-APN--- σῶμα
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔθαπτον V1I-IAI1S- θάπτω
καὶ C--------- καί
ἐζήτησεν VAI-AAI3S- ζητέω
αὐτὰ RD--APN--- αὐτός
Σενναχηριμ N---NSM--- Σενναχηριμ
καὶ C--------- καί
οὐχ D--------- οὐ
εὗρεν VB--AAI3S- εὑρίσκω
αὐτά RD--APN--- αὐτός

Tob 1:19
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
εἷς A3--NSM--- εἷς
τις RI--NSM--- τις
τῶν RA--GPM--- ὁ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Νινευη N---GSF--- Νινευη
καὶ C--------- καί
ὑπέδειξεν VAI-AAI3S- δεικνύω ὑπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἐγὼ RP--NS---- ἐγώ
θάπτω V1--PAI1S- θάπτω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐκρύβην VDI-API1S- κρύπτω
καὶ C--------- καί
ὅτε D--------- ὅτε
ἐπέγνων VZI-AAI1S- γιγνώσκω ἐπι
ὅτι C--------- ὅτι
ἔγνω VZI-AAI3S- γιγνώσκω
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ὅτι C--------- ὅτι
ζητοῦμαι V2--PMI1S- ζητέω
τοῦ RA--GSN--- ὁ
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
ἐφοβήθην VCI-API1S- φοβέω
καὶ C--------- καί
ἀπέδρασα VBI-AAI1S- διδράσκω ἀπο

Tob 1:20
καὶ C--------- καί
ἡρπάγη VDI-API3S- ἁρπάζω
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ὑπῆρχέν V1I-IAI3S- ἄρχω ὑπο
μοι RP--DS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
κατελείφθη VVI-API3S- λείπω κατα
μοι RP--DS---- ἐγώ
οὐδέν A3--ASN--- οὐδείς
ὃ RR--ASN--- ὅς
οὐκ D--------- οὐ
ἀνελήμφθη VVI-API3S- λαμβάνω ἀνα
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
βασιλικόν A1--ASN--- βασιλικός
πλὴν D--------- πλήν
Αννας N1A-GSF--- Αννα
τῆς RA--GSF--- ὁ
γυναικός N3K-GSF--- γυνή
μου RP--GS---- ἐγώ
καὶ C--------- καί
Τωβια N---GSM--- Τωβια
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
μου RP--GS---- ἐγώ

Tob 1:21
καὶ C--------- καί
οὐ D--------- οὐ
διῆλθον VBI-AAI3P- ἔρχομαι δια
ἡμέραι N1A-NPF--- ἡμέρα
τεσσαράκοντα A3-------- τεσσαράκοντα
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
δύο M--------- δύο
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔφυγον VBI-AAI3P- φεύγω
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
Αραρατ N---GS---- Αραρατ
καὶ C--------- καί
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Σαχερδονος N---NSM--- Σαχερδονος
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἔταξεν VAI-AAI3S- τάσσω
Αχιχαρον N2--ASM--- Αχιχαρος
τὸν RA--ASM--- ὁ
Αναηλ N---ASM--- Αναηλ
τὸν RA--ASM--- ὁ
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
μου RP--GS---- ἐγώ
υἱὸν N2--ASM--- υἱός
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἐκλογιστίαν N1A-ASF--- ἐκλογιστία
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
εἶχεν V1I-IAI3S- ἔχω
τὴν RA--ASF--- ὁ
ἐξουσίαν N1A-ASF--- ἐξουσία
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
διοίκησιν N3I-ASF--- διοίκησις

Tob 1:22
τότε D--------- τότε
ἠξίωσεν VAI-AAI3S- ἀξιόω
Αχιχαρος N2--NSM--- Αχιχαρος
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
κατῆλθον VBI-AAI3P- ἔρχομαι κατα
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Νινευη N---ASF--- Νινευη
Αχιχαρος N2--NSM--- Αχιχαρος
γὰρ X--------- γάρ
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἀρχιοινοχόος N2--NSM--- ἀρχιοινοχόος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
δακτυλίου N2--GSM--- δακτύλιος
καὶ C--------- καί
διοικητὴς N1M-NSM--- διοικητής
καὶ C--------- καί
ἐκλογιστῆς N1--GSF--- ἐκλογιστή
ἐπὶ P--------- ἐπί
