Rth 1:1
υἱοὶ N2--NPM--- υἱός
αὐτῆς RD--GSF--- αὐτός

Rth 1:4
καὶ C--------- καί
ἐλάβοσαν VBI-AAI3P- λαμβάνω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
γυναῖκας N3K-APF--- γυνή
Μωαβίτιδας A3--APF--- Μωαβῖτις
ὄνομα N3M-NSN--- ὄνομα
τῇ RA--DSF--- ὁ
μιᾷ A1A-DSF--- εἷς
Ορφα N---NSF--- Ορφα
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
τῇ RA--DSF--- ὁ
δευτέρᾳ A1A-DSF--- δεύτερος
Ρουθ N---NSF--- Ρουθ
καὶ C--------- καί
κατῴκησαν VAI-AAI3P- οἰκέω κατα
ἐκεῖ D--------- ἐκεῖ
ὡς C--------- ὡς
δέκα M--------- δέκα
ἔτη N3E-APN--- ἔτος

Rth 1:5
καὶ C--------- καί
ἀπέθανον VBI-AAI3P- θνήσκω ἀπο
καί C--------- καί
γε X--------- γέ
ἀμφότεροι A1A-NPM--- ἀμφότεροι
Μααλων N---NSM--- Μααλων
καὶ C--------- καί
Χελαιων N---NSM--- Χελαιων
καὶ C--------- καί
κατελείφθη VVI-API3S- λείπω κατα
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ἀνδρὸς N3--GSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
δύο M---GDM--- δύο
υἱῶν N2--GPM--- υἱός
αὐτῆς RD--GSF--- αὐτός

Rth 1:6
καὶ C--------- καί
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
αὐτὴ RD--NSF--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
δύο M---NDF--- δύο
νύμφαι N1--NPF--- νύμφη
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀπέστρεψαν VAI-AAI3P- στρέφω ἀπο
ἐξ P--------- ἐκ
ἀγροῦ N2--GSM--- ἀγρός
Μωαβ N---GS---- Μωαβ
ὅτι C--------- ὅτι
ἤκουσαν VAI-AAI3P- ἀκούω
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
Μωαβ N---GS---- Μωαβ
ὅτι C--------- ὅτι
ἐπέσκεπται VP--XMI3S- σκέπτομαι ἐπι
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτοῦ RD--GSM--- αὐτός
δοῦναι VO--AAN--- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
ἄρτους N2--APM--- ἄρτος

Rth 1:7
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
οὗ D--------- οὗ
ἦν V9--IAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
δύο M---NDF--- δύο
νύμφαι N1--NPF--- νύμφη
αὐτῆς RD--GSF--- αὐτός
μετ' P--------- μετά
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπορεύοντο V1I-IMI3P- πορεύομαι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὁδῷ N2--DSF--- ὁδός
τοῦ RA--GSN--- ὁ
ἐπιστρέψαι VA--AAN--- στρέφω ἐπι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
Ιουδα N---GSF--- Ιουδα

Rth 1:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Νωεμιν N---NSF--- Νωεμιν
ταῖς RA--DPF--- ὁ
νύμφαις N1--DPF--- νύμφη
αὐτῆς RD--GSF--- αὐτός
πορεύεσθε V1--PMD2P- πορεύομαι
δὴ X--------- δή
ἀποστράφητε VD--APD2P- στρέφω ἀπο
ἑκάστη A1--NSF--- ἕκαστος
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
μητρὸς N3--GSF--- μήτηρ
αὐτῆς RD--GSF--- αὐτός
ποιήσαι VA--AAO3S- ποιέω
κύριος N2--NSM--- κύριος
μεθ' P--------- μετά
ὑμῶν RP--GPF--- σύ
ἔλεος N3E-ASN--- ἔλεος
καθὼς D--------- καθώς
ἐποιήσατε VAI-AAI2P- ποιέω
μετὰ P--------- μετά
τῶν RA--GPM--- ὁ
τεθνηκότων VX--XAPGPM θνήσκω
καὶ C--------- καί
μετ' P--------- μετά
ἐμοῦ RP--GSF--- ἐγώ

Rth 1:9
δῴη VO--AAO3S- δίδωμι
κύριος N2--NSM--- κύριος
ὑμῖν RP--DPF--- σύ
καὶ C--------- καί
εὕροιτε VB--AAO2P- εὑρίσκω
ἀνάπαυσιν N3I-ASF--- ἀνάπαυσις
ἑκάστη A1--NSF--- ἕκαστος
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
ἀνδρὸς N3--GSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
κατεφίλησεν VAI-AAI3S- φιλέω κατα
αὐτάς RD--APF--- αὐτός
καὶ C--------- καί
ἐπῆραν VAI-AAI3P- αἴρω ἐπι
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
αὐτῶν RD--GPF--- αὐτός
καὶ C--------- καί
ἔκλαυσαν VAI-AAI3P- κλαίω

Rth 1:10
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῇ RD--DSF--- αὐτός
μετὰ P--------- μετά
σοῦ RP--GSF--- σύ
ἐπιστρέφομεν V1--PAI1P- στρέφω ἐπι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
σου RP--GSF--- σύ

Rth 1:11
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Νωεμιν N---NSF--- Νωεμιν
ἐπιστράφητε VD--APD2P- στρέφω ἐπι
δή X--------- δή
θυγατέρες N3--VPF--- θυγάτηρ
μου RP--GSF--- ἐγώ
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
πορεύεσθε V1--PMI2P- πορεύομαι
μετ' P--------- μετά
ἐμοῦ RP--GSF--- ἐγώ
μὴ D--------- μή
ἔτι D--------- ἔτι
μοι RP--DSF--- ἐγώ
υἱοὶ N2--NPM--- υἱός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
κοιλίᾳ N1A-DSF--- κοιλία
μου RP--GSF--- ἐγώ
καὶ C--------- καί
ἔσονται VF--FMI3P- εἰμί
ὑμῖν RP--DPF--- σύ
εἰς P--------- εἰς
ἄνδρας N3--APM--- ἀνήρ

Rth 1:12
ἐπιστράφητε VD--APD2P- στρέφω ἐπι
δή X--------- δή
θυγατέρες N3--VPF--- θυγάτηρ
μου RP--GSF--- ἐγώ
διότι C--------- διότι
γεγήρακα VX--XAI1S- γηράσκω
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
εἶναι V9--PAN--- εἰμί
ἀνδρί N3--DSM--- ἀνήρ
ὅτι C--------- ὅτι
εἶπα VAI-AAI1S- εἶπον
ὅτι C--------- ὅτι
ἔστιν V9--PAI3S- εἰμί
μοι RP--DSF--- ἐγώ
ὑπόστασις N3I-NSF--- ὑπόστασις
τοῦ RA--GSN--- ὁ
γενηθῆναί VC--APN--- γίγνομαι
με RP--ASF--- ἐγώ
ἀνδρὶ N3--DSM--- ἀνήρ
καὶ C--------- καί
τέξομαι VF--FAI1S- τίκτω
υἱούς N2--APM--- υἱός

Rth 1:13
μὴ D--------- μή
αὐτοὺς RD--APM--- αὐτός
προσδέξεσθε VF--FMI2P- δέχομαι προς
ἕως C--------- ἕως
οὗ D--------- ὅς
ἁδρυνθῶσιν VC--APS3P- ἁδρύνω
ἢ C--------- ἤ
αὐτοῖς RD--DPM--- αὐτός
κατασχεθήσεσθε VC--FPI2P- ἔχω κατα
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
γενέσθαι VB--AMN--- γίγνομαι
ἀνδρί N3--DSM--- ἀνήρ
μὴ D--------- μή
δή X--------- δή
θυγατέρες N3--VPF--- θυγάτηρ
μου RP--GSF--- ἐγώ
ὅτι C--------- ὅτι
ἐπικράνθη VCI-API3S- πικραίνω
μοι RP--DSF--- ἐγώ
ὑπὲρ P--------- ὑπέρ
ὑμᾶς RP--APF--- σύ
ὅτι C--------- ὅτι
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
ἐν P--------- ἐν
ἐμοὶ RP--DSF--- ἐγώ
χεὶρ N3--NSF--- χείρ
κυρίου N2--GSM--- κύριος

Rth 1:14
καὶ C--------- καί
ἐπῆραν VAI-AAI3P- αἴρω ἐπι
τὴν RA--ASF--- ὁ
φωνὴν N1--ASF--- φωνή
αὐτῶν RD--GPF--- αὐτός
καὶ C--------- καί
ἔκλαυσαν VAI-AAI3P- κλαίω
ἔτι D--------- ἔτι
καὶ C--------- καί
κατεφίλησεν VAI-AAI3S- φιλέω κατα
Ορφα N---NSF--- Ορφα
τὴν RA--ASF--- ὁ
πενθερὰν N1A-ASF--- πενθερά
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
αὐτῆς RD--GSF--- αὐτός
Ρουθ N---NSF--- Ρουθ
δὲ X--------- δέ
ἠκολούθησεν VAI-AAI3S- ἀκολουθέω
αὐτῇ RD--DSF--- αὐτός

Rth 1:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Νωεμιν N---NSF--- Νωεμιν
πρὸς P--------- πρός
Ρουθ N---ASF--- Ρουθ
ἰδοὺ I--------- ἰδού
ἀνέστρεψεν VAI-AAI3S- στρέφω ἀνα
ἡ RA--NSF--- ὁ
σύννυμφός N2--NSF--- συννυμφός
σου RP--GSF--- σύ
πρὸς P--------- πρός
λαὸν N2--ASM--- λαός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
θεοὺς N2--APM--- θεός
αὐτῆς RD--GSF--- αὐτός
ἐπιστράφητι VD--APD2S- στρέφω ἐπι
δὴ X--------- δή
καὶ C--------- καί
σὺ RP--NSF--- σύ
ὀπίσω P--------- ὀπίσω
τῆς RA--GSF--- ὁ
συννύμφου N2--GSF--- συννυμφός
σου RP--GSF--- σύ

Rth 1:16
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Ρουθ N---NSF--- Ρουθ
μὴ D--------- μή
ἀπαντήσαι VA--AMD2S- ἀντάω ἀπο
ἐμοὶ RP--DSF--- ἐγώ
τοῦ RA--GSN--- ὁ
καταλιπεῖν VB--AAN--- λείπω κατα
σε RP--ASF--- σύ
ἢ C--------- ἤ
ἀποστρέψαι VA--AAN--- στρέφω ἀπο
ὄπισθέν D--------- ὄπισθε
σου RP--GSF--- σύ
ὅτι C--------- ὅτι
σὺ RP--NSF--- σύ
ὅπου D--------- ὅπου
ἐὰν C--------- ἐάν
πορευθῇς VC--APS2S- πορεύομαι
πορεύσομαι VF--FMI1S- πορεύομαι
καὶ C--------- καί
οὗ D--------- ὅς
ἐὰν C--------- ἐάν
αὐλισθῇς VS--APS2S- αὐλίζω
αὐλισθήσομαι VS--FPI1S- αὐλίζω
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
σου RP--GSF--- σύ
λαός N2--NSM--- λαός
μου RP--GSF--- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
σου RP--GSF--- σύ
θεός N2--NSM--- θεός
μου RP--GSF--- ἐγώ

Rth 1:17
καὶ C--------- καί
οὗ D--------- ὅς
ἐὰν C--------- ἐάν
ἀποθάνῃς VB--AAS2S- θνήσκω ἀπο
ἀποθανοῦμαι VF2-FMI1S- θνήσκω ἀπο
κἀκεῖ C+D------- καί+ἐκεῖ
ταφήσομαι VF--FMI1S- θάπτω
τάδε RD--APN--- ὅδε
ποιήσαι VA--AAO3S- ποιέω
μοι RP--DSF--- ἐγώ
κύριος N2--NSM--- κύριος
καὶ C--------- καί
τάδε RD--APN--- ὅδε
προσθείη VE--AAO3S- τίθημι προς
ὅτι C--------- ὅτι
θάνατος N2--NSM--- θάνατος
διαστελεῖ VF2-FAI3S- στέλλω δια
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
ἐμοῦ RP--GSF--- ἐγώ
καὶ C--------- καί
σοῦ RP--GSF--- σύ

Rth 1:18
ἰδοῦσα VB--AAPNSF ὁράω
δὲ X--------- δέ
Νωεμιν N---NSF--- Νωεμιν
ὅτι C--------- ὅτι
κραταιοῦται V4--PPI3S- κραταιόω
αὐτὴ RD--NSF--- αὐτός
τοῦ RA--GSN--- ὁ
πορεύεσθαι V1--PMN--- πορεύομαι
μετ' P--------- μετά
αὐτῆς RD--GSF--- αὐτός
ἐκόπασεν VAI-AAI3S- κοπάζω
τοῦ RA--GSN--- ὁ
λαλῆσαι VA--AAN--- λαλέω
πρὸς P--------- πρός
αὐτὴν RD--ASF--- αὐτός
ἔτι D--------- ἔτι

Rth 1:19
ἐπορεύθησαν VCI-API3P- πορεύομαι
δὲ X--------- δέ
ἀμφότεραι A1A-NPF--- ἀμφότεροι
ἕως C--------- ἕως
τοῦ RA--GSN--- ὁ
παραγενέσθαι VB--AMN--- γίγνομαι παρα
αὐτὰς RD--APF--- αὐτός
εἰς P--------- εἰς
Βαιθλεεμ N---AS---- Βαιθλεεμ
καὶ C--------- καί
ἤχησεν V2--AAI3P- ἠχέω
πᾶσα A1S-NSF--- πᾶς
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
ἐπ' P--------- ἐπί
αὐταῖς RD--DPF--- αὐτός
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
αὕτη RD--NSF--- οὗτος
ἐστὶν V9--PAI3S- εἰμί
Νωεμιν N---NSF--- Νωεμιν

Rth 1:20
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτάς RD--APF--- αὐτός
μὴ D--------- μή
δὴ X--------- δή
καλεῖτέ V2--PAD2P- καλέω
με RP--ASF--- ἐγώ
Νωεμιν N---ASF--- Νωεμιν
καλέσατέ VA--AAD2P- καλέω
με RP--ASF--- ἐγώ
Πικράν N---ASF--- Πικράν
ὅτι C--------- ὅτι
ἐπικράνθη VCI-API3S- πικραίνω
ἐν P--------- ἐν
ἐμοὶ RP--DSF--- ἐγώ
ὁ RA--NSM--- ὁ
ἱκανὸς A1--NSM--- ἱκανός
σφόδρα D--------- σφόδρα

Rth 1:21
ἐγὼ RP--NSF--- ἐγώ
πλήρης A3H-NSM--- πλήρης
ἐπορεύθην VCI-API1S- πορεύομαι
καὶ C--------- καί
κενὴν A1--ASF--- κενός
ἀπέστρεψέν VAI-AAI3S- στρέφω ἀπο
με RP--ASF--- ἐγώ
ὁ RA--NSM--- ὁ
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ἵνα C--------- ἵνα
τί RI--D----- τίς
καλεῖτέ V2--PAI2P- καλέω
με RP--ASF--- ἐγώ
Νωεμιν N---ASF--- Νωεμιν
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἐταπείνωσέν VAI-AAI3S- ταπεινόω
με RP--ASF--- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἱκανὸς A1--NSM--- ἱκανός
ἐκάκωσέν VAI-AAI3S- κακόω
με RP--ASF--- ἐγώ

Rth 1:22
καὶ C--------- καί
ἐπέστρεψεν VAI-AAI3S- στρέφω ἐπι
Νωεμιν N---NSF--- Νωεμιν
καὶ C--------- καί
Ρουθ N---NSF--- Ρουθ
ἡ RA--NSF--- ὁ
Μωαβῖτις A3--NSF--- Μωαβῖτις
ἡ RA--NSF--- ὁ
νύμφη N1--NSF--- νύμφη
αὐτῆς RD--GSF--- αὐτός
ἐπιστρέφουσα V1--PAPNSF στρέφω ἐπι
ἐξ P--------- ἐκ
ἀγροῦ N2--GSM--- ἀγρός
Μωαβ N---GS---- Μωαβ
αὐταὶ RD--NPF--- αὐτός
δὲ X--------- δέ
παρεγενήθησαν VCI-API3P- γίγνομαι παρα
εἰς P--------- εἰς
Βαιθλεεμ N---AS---- Βαιθλεεμ
ἐν P--------- ἐν
ἀρχῇ N1--DSF--- ἀρχή
θερισμοῦ N2--GSM--- θερισμός
κριθῶν N1--GPF--- κριθή

Rth 2:1
καὶ C--------- καί
τῇ RA--DSF--- ὁ
Νωεμιν N---DSF--- Νωεμιν
ἀνὴρ N3--NSM--- ἀνήρ
γνώριμος A1B-NSM--- γνώριμος
τῷ RA--DSM--- ὁ
ἀνδρὶ N3--DSM--- ἀνήρ
αὐτῆς RD--GSF--- αὐτός
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
ἀνὴρ N3--NSM--- ἀνήρ
δυνατὸς A1--NSM--- δυνατός
ἰσχύι N3U-DSF--- ἰσχύς
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
συγγενείας N1A-GSF--- συγγένεια
Αβιμελεχ N---GSM--- Αβιμελεχ
καὶ C--------- καί
ὄνομα N3M-NSN--- ὄνομα
αὐτῷ RD--DSM--- αὐτός
Βοος N---NSM--- Βοος

Rth 2:2
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Ρουθ N---NSF--- Ρουθ
ἡ RA--NSF--- ὁ
Μωαβῖτις A3--NSF--- Μωαβῖτις
πρὸς P--------- πρός
Νωεμιν N---ASF--- Νωεμιν
πορευθῶ VC--APS1S- πορεύομαι
δὴ X--------- δή
εἰς P--------- εἰς
ἀγρὸν N2--ASM--- ἀγρός
καὶ C--------- καί
συνάξω VF--FAI1S- ἄγω συν
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
στάχυσιν N3U-DPM--- στάχυς
κατόπισθεν D--------- κατόπισθεν
οὗ D--------- ὅς
ἐὰν C--------- ἐάν
εὕρω VB--AAS1S- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐν P--------- ἐν
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
αὐτοῦ RD--GSM--- αὐτός
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
αὐτῇ RD--DSF--- αὐτός
πορεύου V1--PMD2S- πορεύομαι
θύγατερ N3--VSF--- θυγάτηρ

Rth 2:3
καὶ C--------- καί
ἐπορεύθη VCI-API3S- πορεύομαι
καὶ C--------- καί
συνέλεξεν VAI-AAI3S- λέγω συν
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἀγρῷ N2--DSM--- ἀγρός
κατόπισθεν D--------- κατόπισθεν
τῶν RA--GPM--- ὁ
θεριζόντων V1--PAPGPM θερίζω
καὶ C--------- καί
περιέπεσεν VBI-AAI3S- πίπτω περι
περιπτώματι N3M-DSM--- περίπτωμα
τῇ RA--DSF--- ὁ
μερίδι N3D-DSF--- μερίς
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
Βοος N---GSM--- Βοος
τοῦ RA--GSM--- ὁ
ἐκ P--------- ἐκ
συγγενείας N1A-GSF--- συγγένεια
Αβιμελεχ N---GSM--- Αβιμελεχ

Rth 2:4
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
Βοος N---NSM--- Βοος
ἦλθεν VBI-AAI3S- ἔρχομαι
ἐκ P--------- ἐκ
Βαιθλεεμ N---GS---- Βαιθλεεμ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῖς RA--DPM--- ὁ
θερίζουσιν V1--PAPDPM θερίζω
κύριος N2--NSM--- κύριος
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
εἶπον VBI-AAI3P- εἶπον
αὐτῷ RD--DSM--- αὐτός
εὐλογήσαι VA--AAO3S- εὐλογέω
σε RP--ASM--- σύ
κύριος N2--NSM--- κύριος

Rth 2:5
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
τῷ RA--DSN--- ὁ
παιδαρίῳ N2N-DSN--- παιδάριον
αὐτοῦ RD--GSM--- αὐτός
τῷ RA--DSN--- ὁ
ἐφεστῶτι VXI-XAPDSN ἵστημι ἐπι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
θερίζοντας V1--PAPAPM θερίζω
τίνος RI--GS---- τίς
ἡ RA--NSF--- ὁ
νεᾶνις N3D-NSF--- νεᾶνις
αὕτη RD--NSF--- οὗτος

Rth 2:6
καὶ C--------- καί
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
τὸ RA--NSN--- ὁ
παιδάριον N2N-NSN--- παιδάριον
τὸ RA--NSN--- ὁ
ἐφεστὸς VXI-XAPNSN ἵστημι ἐπι
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
θερίζοντας V1--PAPAPM θερίζω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἡ RA--NSF--- ὁ
παῖς N3D-NSF--- παῖς
ἡ RA--NSF--- ὁ
Μωαβῖτίς A3--NSF--- Μωαβῖτις
ἐστιν V9--PAI3S- εἰμί
ἡ RA--NSF--- ὁ
ἀποστραφεῖσα VD--APPNSF στρέφω ἀπο
μετὰ P--------- μετά
Νωεμιν N---GSF--- Νωεμιν
ἐξ P--------- ἐκ
ἀγροῦ N2--GSM--- ἀγρός
Μωαβ N---GSM--- Μωαβ

Rth 2:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
συλλέξω VF--FAI1S- λέγω συν
δὴ X--------- δή
καὶ C--------- καί
συνάξω VF--FAI1S- ἄγω συν
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
δράγμασιν N3M-DPN--- δράγμα
ὄπισθεν D--------- ὄπισθε
τῶν RA--GPM--- ὁ
θεριζόντων V1--PAPGPM θερίζω
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
καὶ C--------- καί
ἔστη VHI-AAI3S- ἵστημι
ἀπὸ P--------- ἀπό
πρωίθεν D--------- πρωίθεν
καὶ C--------- καί
ἕως C--------- ἕως
ἑσπέρας N1A-GSF--- ἑσπέρα
οὐ D--------- οὐ
κατέπαυσεν VAI-AAI3S- παύω κατα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
ἀγρῷ N2--DSM--- ἀγρός
μικρόν A1A-ASM--- μικρός

Rth 2:8
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Βοος N---NSM--- Βοος
πρὸς P--------- πρός
Ρουθ N---ASF--- Ρουθ
οὐκ D--------- οὐ
ἤκουσας VAI-AAI2S- ἀκούω
θύγατερ N3--VSF--- θυγάτηρ
μὴ D--------- μή
πορευθῇς VC--APS2S- πορεύομαι
ἐν P--------- ἐν
ἀγρῷ N2--DSM--- ἀγρός
συλλέξαι VA--AAN--- λέγω συν
ἑτέρῳ A1A-DSM--- ἕτερος
καὶ C--------- καί
σὺ RP--NSF--- σύ
οὐ D--------- οὐ
πορεύσῃ VA--AMS2S- πορεύομαι
ἐντεῦθεν D--------- ἐντεῦθεν
ὧδε D--------- ὧδε
κολλήθητι VC--APD2S- κολλάω
μετὰ P--------- μετά
τῶν RA--GPN--- ὁ
κορασίων N2N-GPN--- κοράσιον
μου RP--GSM--- ἐγώ

Rth 2:9
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
σου RP--GSF--- σύ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ἀγρόν N2--ASM--- ἀγρός
οὗ D--------- ὅς
ἐὰν C--------- ἐάν
θερίζωσιν V1--PAS3P- θερίζω
καὶ C--------- καί
πορεύσῃ VA--AMS2S- πορεύομαι
κατόπισθεν D--------- κατόπισθεν
αὐτῶν RD--GPM--- αὐτός
ἰδοὺ I--------- ἰδού
ἐνετειλάμην VBI-AMI1S- τέλλω ἐν
τοῖς RA--DPN--- ὁ
παιδαρίοις N2N-DPN--- παιδάριον
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἅψασθαί VA--AMN--- ἅπτομαι
σου RP--GSF--- σύ
καὶ C--------- καί
ὅ RR--ASN--- ὅς
τι RI--ASN--- τις
διψήσεις VF--FAI2S- διψάω
καὶ C--------- καί
πορευθήσῃ VF--FPI2S- πορεύομαι
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
καὶ C--------- καί
