Bel 1
τὴν RA--ASF--- ὁ
τράπεζαν N1S-ASF--- τράπεζα
ἐβόησεν VAI-AAI3S- βοάω
φωνῇ N1--DSF--- φωνή
μεγάλῃ A1--DSF--- μέγας
μέγας A1P-NSM--- μέγας
εἶ V9--PAI2S- εἰμί
Βηλ N---VSM--- Βηλ
καὶ C--------- καί
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
παρὰ P--------- παρά
σοὶ RP--DS---- σύ
δόλος N2--NSM--- δόλος
οὐδὲ C--------- οὐδέ
εἷς A3--NSM--- εἷς

Bel 19
καὶ C--------- καί
ἐγέλασεν VAI-AAI3S- γελάω
Δανιηλ N---NSM--- Δανιηλ
καὶ C--------- καί
ἐκράτησεν VAI-AAI3S- κρατέω
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
εἰσελθεῖν VB--AAN--- ἔρχομαι εἰς
αὐτὸν RD--ASM--- αὐτός
ἔσω D--------- ἔσω
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἰδὲ VB--AAD2S- ὁράω
δὴ X--------- δή
τὸ RA--ASN--- ὁ
ἔδαφος N3E-ASN--- ἔδαφος
καὶ C--------- καί
γνῶθι VZ--AAD2S- γιγνώσκω
τίνος RI--GSM--- τίς
τὰ RA--APN--- ὁ
ἴχνη N3E-APN--- ἴχνος
ταῦτα RD--APN--- οὗτος

Bel 20
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ὁρῶ V3--PAI1S- ὁράω
τὰ RA--APN--- ὁ
ἴχνη N3E-APN--- ἴχνος
ἀνδρῶν N3--GPM--- ἀνήρ
καὶ C--------- καί
γυναικῶν N3K-GPF--- γυνή
καὶ C--------- καί
παιδίων N2N-GPN--- παιδίον

Bel 21
καὶ C--------- καί
ὀργισθεὶς VS--APPNSM ὀργίζω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τότε D--------- τότε
συνέλαβεν VBI-AAI3S- λαμβάνω συν
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς
καὶ C--------- καί
τὰς RA--APF--- ὁ
γυναῖκας N3K-APF--- γυνή
καὶ C--------- καί
τὰ RA--APN--- ὁ
τέκνα N2N-APN--- τέκνον
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἔδειξαν VAI-AAI3P- δεικνύω
αὐτῷ RD--DSM--- αὐτός
τὰς RA--APF--- ὁ
κρυπτὰς A1--APF--- κρυπτός
θύρας N1A-APF--- θύρα
δι' P--------- διά
ὧν RR--GPM--- ὅς
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
καὶ C--------- καί
ἐδαπάνων V3I-IAI3P- δαπανάω
τὰ RA--APN--- ὁ
ἐπὶ P--------- ἐπί
τῇ RA--DSF--- ὁ
τραπέζῃ N1S-DSF--- τράπεζα

Bel 22
καὶ C--------- καί
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
αὐτοὺς RD--APM--- αὐτός
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
τὸν RA--ASM--- ὁ
Βηλ N---ASM--- Βηλ
ἔκδοτον A1B-ASM--- ἔκδοτος
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
καὶ C--------- καί
κατέστρεψεν VAI-AAI3S- στρέφω κατα
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἱερὸν N2N-ASN--- ἱερόν
αὐτοῦ RD--GSM--- αὐτός

Bel 23
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
δράκων N3--NSM--- δράκων
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
ἐσέβοντο V1I-IMI3P- σέβω
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
Βαβυλώνιοι N2--NPM--- Βαβυλωνίος

Bel 24
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
οὐ D--------- οὐ
δύνασαι V6--PMI2S- δύναμαι
εἰπεῖν VB--AAN--- εἶπον
ὅτι C--------- ὅτι
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
οὗτος RD--NSM--- οὗτος
θεὸς N2--NSM--- θεός
ζῶν V3--PAPNSM ζάω
καὶ C--------- καί
προσκύνησον VA--AAD2S- κυνέω προς
αὐτῷ RD--DSM--- αὐτός

Bel 25
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Δανιηλ N---NSM--- Δανιηλ
κυρίῳ N2--DSM--- κύριος
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
μου RP--GS---- ἐγώ
προσκυνήσω VF--FAI1S- κυνέω προς
ὅτι C--------- ὅτι
οὗτός RD--NSM--- οὗτος
ἐστιν V9--PAI3S- εἰμί
θεὸς N2--NSM--- θεός
ζῶν V3--PAPNSM ζάω
σὺ RP--NS---- σύ
δέ X--------- δέ
βασιλεῦ N3V-VSM--- βασιλεύς
δός VO--AAD2S- δίδωμι
μοι RP--DS---- ἐγώ
ἐξουσίαν N1A-ASF--- ἐξουσία
καὶ C--------- καί
ἀποκτενῶ VF2-FAI1S- κτείνω ἀπο
τὸν RA--ASM--- ὁ
δράκοντα N3--ASM--- δράκων
ἄνευ P--------- ἄνευ
μαχαίρας N1--GSF--- μάχαιρα
καὶ C--------- καί
ῥάβδου N2--GSF--- ῥάβδος

Bel 26
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
δίδωμί V8--PAI1S- δίδωμι
σοι RP--DS---- σύ

Bel 27
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
Δανιηλ N---NSM--- Δανιηλ
πίσσαν N1A-ASF--- πίσσα
καὶ C--------- καί
στῆρ N3--ASN--- στῆρ
καὶ C--------- καί
τρίχας N3--APF--- θρίξ
καὶ C--------- καί
ἥψησεν VAI-AAI3S- ἕψω
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αὐτὸ RD--ASN--- αὐτός
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
μάζας N1A-APF--- μάζα
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
τοῦ RA--GSM--- ὁ
δράκοντος N3--GSM--- δράκων
καὶ C--------- καί
φαγὼν VB--AAPNSM ἐσθίω
διερράγη VDI-API3S- ῥήγνυμι δια
ὁ RA--NSM--- ὁ
δράκων N3--NSM--- δράκων
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἴδετε VB--AAD2P- ὁράω
τὰ RA--APN--- ὁ
σεβάσματα N3M-APN--- σέβασμα
ὑμῶν RP--GP---- σύ

Bel 28
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὡς C--------- ὡς
ἤκουσαν VAI-AAI3P- ἀκούω
οἱ RA--NPM--- ὁ
Βαβυλώνιοι N2--NPM--- Βαβυλωνίος
ἠγανάκτησαν VAI-AAI3P- ἀγανακτέω
λίαν D--------- λίαν
καὶ C--------- καί
συνεστράφησαν VDI-API3P- στρέφω συν
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
Ιουδαῖος N2--NSM--- Ἰουδαῖος
γέγονεν VX--XAI3S- γίγνομαι
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
τὸν RA--ASM--- ὁ
Βηλ N---ASM--- Βηλ
κατέσπασεν VAI-AAI3S- σπάω κατα
καὶ C--------- καί
τὸν RA--ASM--- ὁ
δράκοντα N3--ASM--- δράκων
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς
κατέσφαξεν VAI-AAI3S- σφάζω κατα

Bel 29
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἐλθόντες VA--AAPNPM ἔρχομαι
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
παράδος VO--AAD2S- δίδωμι παρα
ἡμῖν RP--DP---- ἐγώ
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ
εἰ C--------- εἰ
δὲ X--------- δέ
μή D--------- μή
ἀποκτενοῦμέν VF2-FAI1P- κτείνω ἀπο
σε RP--AS---- σύ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκόν N2--ASM--- οἶκος
σου RP--GS---- σύ

Bel 30
καὶ C--------- καί
εἶδεν VB--AAI3S- ὁράω
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὅτι C--------- ὅτι
ἐπείγουσιν V1--PAI3P- ἐπείγω
αὐτὸν RD--ASM--- αὐτός
σφόδρα D--------- σφόδρα
καὶ C--------- καί
ἀναγκασθεὶς VS--APPNSM ἀγκάζω ἀνα
παρέδωκεν VAI-AAI3S- δίδωμι παρα
αὐτοῖς RD--DPM--- αὐτός
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ

Bel 31
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
ἐνέβαλον VBI-AAI3S- βάλλω ἐν
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ἐκεῖ D--------- ἐκεῖ
ἡμέρας N1A-APF--- ἡμέρα
ἕξ M--------- ἕξ

Bel 32
ἦσαν V9--IAI3P- εἰμί
δὲ X--------- δέ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
λάκκῳ N2--DSM--- λάκκος
ἑπτὰ M--------- ἑπτά
λέοντες N3--NPM--- λέων
καὶ C--------- καί
ἐδίδετο V8I-IMI3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
τὴν RA--ASF--- ὁ
ἡμέραν N1A-ASF--- ἡμέρα
δύο M--------- δύο
σώματα N3M-NPN--- σῶμα
καὶ C--------- καί
δύο M--------- δύο
πρόβατα N2N-NPN--- πρόβατον
τότε D--------- τότε
δὲ X--------- δέ
οὐκ D--------- οὐ
ἐδόθη VCI-API3S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
ἵνα C--------- ἵνα
καταφάγωσιν VB--AAS3P- ἐσθίω
τὸν RA--ASM--- ὁ
Δανιηλ N---ASM--- Δανιηλ

Bel 33
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
Αμβακουμ N---NSM--- Αμβακουμ
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἥψησεν VAI-AAI3S- ἕψω
ἕψεμα N3M-ASN--- ἕψεμα
καὶ C--------- καί
ἐνέθρυψεν VAI-AAI3S- θρύπτω ἐν
ἄρτους N2--APM--- ἄρτος
εἰς P--------- εἰς
σκάφην N1--ASF--- σκάφη
καὶ C--------- καί
ἐπορεύετο V1I-IMI3S- πορεύομαι
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
ἀπενέγκαι VA--AAN--- φέρω ἀπο
τοῖς RA--DPM--- ὁ
θερισταῖς N1M-DPM--- θεριστής

Bel 34
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ἄγγελος N2--NSM--- ἄγγελος
κυρίου N2--GSM--- κύριος
τῷ RA--DSM--- ὁ
Αμβακουμ N---DSM--- Αμβακουμ
ἀπένεγκε VA--AAD2S- φέρω ἀπο
τὸ RA--ASN--- ὁ
ἄριστον N2N-ASN--- ἄριστον
ὃ RR--ASN--- ὅς
ἔχεις V1--PAI2S- ἔχω
εἰς P--------- εἰς
Βαβυλῶνα N3W-ASF--- Βαβυλών
τῷ RA--DSM--- ὁ
Δανιηλ N---DSM--- Δανιηλ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
λάκκον N2--ASM--- λάκκος
τῶν RA--GPM--- ὁ
λεόντων N3--GPM--- λέων

Bel 35
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
