Tob 1:1
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
φυλαὶ N1--NPF--- φυλή
αἱ RA--NPF--- ὁ
συναποστᾶσαι VH--AAPNPF ἵστημι συν ἀπο
ἔθυον V1I-IAI3P- θύω
τῇ RA--DSF--- ὁ
Βααλ N---DSF--- Βααλ
τῇ RA--DSF--- ὁ
δαμάλει N3I-DSF--- δάμαλις
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
Νεφθαλιμ N---GSM--- Νεφθαλιμ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ

Tob 1:6
κἀγὼ C+RPNS---- καί+ἐγώ
μόνος A1--NSM--- μόνος
ἐπορευόμην V1I-IMI1S- πορεύομαι
πλεονάκις D--------- πλεονάκις
εἰς P--------- εἰς
Ιεροσόλυμα N---AS---- Ἰερουσαλήμ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἑορταῖς N1--DPF--- ἑορτή
καθὼς D--------- καθώς
γέγραπται VP--XMI3S- γράφω
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
ἐν P--------- ἐν
προστάγματι N3M-DSN--- πρόσταγμα
αἰωνίῳ A1B-DSN--- αἰώνιος
τὰς RA--APF--- ὁ
ἀπαρχὰς N1--APF--- ἀπαρχή
καὶ C--------- καί
τὰς RA--APF--- ὁ
δεκάτας A1--APF--- δέκατος
τῶν RA--GPN--- ὁ
γενημάτων N3M-GPN--- γένημα
καὶ C--------- καί
τὰς RA--APF--- ὁ
πρωτοκουρίας N1A-APF--- πρωτοκουρία
ἔχων V1--PAPNSM ἔχω

Tob 1:7
καὶ C--------- καί
ἐδίδουν V8I-IMI1S- δίδωμι
αὐτὰς RD--APF--- αὐτός
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ααρων N---GSM--- Ἀαρών
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
πάντων A3--GPN--- πᾶς
τῶν RA--GPN--- ὁ
γενημάτων N3M-GPN--- γένημα
τὴν RA--ASF--- ὁ
δεκάτην A1--ASF--- δέκατος
ἐδίδουν V8I-IMI1S- δίδωμι
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Λευι N---GSM--- Λευί
τοῖς RA--DPM--- ὁ
θεραπεύουσιν V1--PAPDPM θεραπεύω
ἐν P--------- ἐν
Ιερουσαλημ N---NS---- Ἰερουσαλήμ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
δευτέραν A1A-ASF--- δεύτερος
δεκάτην A1--ASF--- δέκατος
ἀπεπρατιζόμην V1I-IMI1S- πρατίζομαι ἀπο
καὶ C--------- καί
ἐπορευόμην V1I-IMI1S- πορεύομαι
καὶ C--------- καί
ἐδαπάνων V3I-IAI3P- δαπανάω
αὐτὰ RD--APN--- αὐτός
ἐν P--------- ἐν
Ιεροσολύμοις N---DS---- Ἰερουσαλήμ
καθ' P--------- κατά
ἕκαστον A1--ASM--- ἕκαστος
ἐνιαυτόν N2--ASM--- ἐνιαυτός

Tob 1:8
καὶ C--------- καί
τὴν RA--ASF--- ὁ
τρίτην A1--ASF--- τρίτος
ἐδίδουν V8I-IMI1S- δίδωμι
οἷς RR--DPM--- ὅς
καθήκει V1--PAI3S- ἥκω κατα
καθὼς D--------- καθώς
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
Δεββωρα N---NSF--- Δεββωρα
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
διότι C--------- διότι
ὀρφανὸς A1--NSM--- ὀρφανός
κατελείφθην VVI-API1S- λείπω κατα
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ

Tob 1:9
καὶ C--------- καί
ὅτε D--------- ὅτε
ἐγενόμην VBI-AMI1S- γίγνομαι
ἀνήρ N3--NSM--- ἀνήρ
ἔλαβον VBI-AAI1S- λαμβάνω
Ανναν N---ASF--- Ανναν
γυναῖκα N3K-ASF--- γυνή
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
σπέρματος N3M-GSN--- σπέρμα
τῆς RA--GSF--- ὁ
πατριᾶς A1A-GSF--- πάτριος
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐγέννησα VAI-AAI1S- γεννάω
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
Τωβιαν N1T-ASM--- Τωβείας

Tob 1:10
καὶ C--------- καί
ὅτε D--------- ὅτε
ᾐχμαλωτίσθην VCI-API1S- αἰχμαλωτίζω
εἰς P--------- εἰς
Νινευη N---ASF--- Νινευη
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἀδελφοί N2--NPM--- ἀδελφός
μου RP--GS---- ἐγώ
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
μου RP--GS---- ἐγώ
ἤσθιον V1I-IAI3P- ἐσθίω
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
ἄρτων N2--GPM--- ἄρτος
τῶν RA--GPM--- ὁ
ἐθνῶν N3E-GPN--- ἔθνος

Tob 1:11
ἐγὼ RP--NS---- ἐγώ
δὲ X--------- δέ
συνετήρησα VAI-AAI1S- τηρέω συν
τὴν RA--ASF--- ὁ
ψυχήν N1--ASF--- ψυχή
μου RP--GS---- ἐγώ
μὴ D--------- μή
φαγεῖν VB--AAN--- ἐσθίω

Tob 1:12
καθότι C--------- καθότι
ἐμεμνήμην VMI-YMI1S- μιμνήσκω
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐν P--------- ἐν
ὅλῃ A1--DSF--- ὅλος
τῇ RA--DSF--- ὁ
ψυχῇ N1--DSF--- ψυχή
μου RP--GS---- ἐγώ

Tob 1:13
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
ὁ RA--NSM--- ὁ
ὕψιστος A1--NSM--- ὕψιστος
χάριν N3--ASF--- χάρις
καὶ C--------- καί
μορφὴν N1--ASF--- μορφή
ἐνώπιον P--------- ἐνώπιον
Ενεμεσσαρου N2--GSM--- Ἐνεμέσσαρος
καὶ C--------- καί
ἤμην A1--ASF--- ἐμός
αὐτοῦ RD--GSM--- αὐτός
ἀγοραστής N1M-NSM--- ἀγοραστής

Tob 1:14
καὶ C--------- καί
ἐπορευόμην V1I-IMI1S- πορεύομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μηδίαν N---ASF--- Μηδεία
καὶ C--------- καί
παρεθέμην VEI-IAI1S- τίθημι παρα
Γαβαήλῳ N2--DSM--- Γαβάηλος
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
Γαβρια N---GSM--- Γαβρεί
ἐν P--------- ἐν
Ραγοις N---DS---- Ῥάγοι
τῆς RA--GSF--- ὁ
Μηδίας N---GSF--- Μηδεία
ἀργυρίου N2N-GSN--- ἀργύριον
τάλαντα N2N-APN--- τάλαντον
δέκα M--------- δέκα

Tob 1:15
καὶ C--------- καί
ὅτε D--------- ὅτε
ἀπέθανεν VBI-AAI3S- θνήσκω ἀπο
Ενεμεσσαρος N2--NSM--- Ἐνεμέσσαρος
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Σενναχηριμ N---NSM--- Σενναχηριμ
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἀντ' P--------- ἀντί
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ὁδοὶ N2--NPF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
ἠκαταστάτησαν VAI-AAI3P- ἀκαταστατέω
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ἠδυνάσθην VSI-API1S- δύναμαι
πορευθῆναι VC--APN--- πορεύομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Μηδίαν N---ASF--- Μηδεία

Tob 1:16
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
Ενεμεσσαρου N2--GSM--- Ἐνεμέσσαρος
ἐλεημοσύνας N1--APF--- ἐλεημοσύνη
πολλὰς A1--APF--- πολύς
ἐποίουν V2I-IAI3P- ποιέω
τοῖς RA--DPM--- ὁ
ἀδελφοῖς N2--DPM--- ἀδελφός
μου RP--GS---- ἐγώ

Tob 1:17
τοὺς RA--APM--- ὁ
ἄρτους N2--APM--- ἄρτος
μου RP--GS---- ἐγώ
ἐδίδουν V8I-IMI1S- δίδωμι
τοῖς RA--DPM--- ὁ
πεινῶσιν V3--PAPDPM πεινάω
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἱμάτιά N2N-APN--- ἱμάτιον
μου RP--GS---- ἐγώ
τοῖς RA--DPM--- ὁ
γυμνοῖς A1--DPM--- γυμνός
καὶ C--------- καί
εἴ C--------- εἰ
τινα RI--ASM--- τις
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
μου RP--GS---- ἐγώ
ἐθεώρουν V2I-IAI1S- θεωρέω
τεθνηκότα VX--XAPASM θνήσκω
καὶ C--------- καί
ἐρριμμένον VMI-XMPASM ῥίπτω
ὀπίσω D--------- ὀπίσω
τοῦ RA--GSN--- ὁ
τείχους N3E-GSN--- τεῖχος
Νινευη N---GSF--- Νινευη
ἔθαπτον V1I-IAI1S- θάπτω
αὐτόν RD--ASM--- αὐτός

Tob 1:18
καὶ C--------- καί
εἴ C--------- εἰ
τινα RI--ASM--- τις
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
Σενναχηριμ N---NSM--- Σενναχηριμ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
ὅτε D--------- ὅτε
ἦλθεν VBI-AAI3S- ἔρχομαι
φεύγων V1--PAPNSM φεύγω
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία
ἔθαψα VAI-AAI1S- θάπτω
αὐτοὺς RD--APM--- αὐτός
κλέπτων V1--PAPNSM κλέπτω
πολλοὺς A1--APM--- πολύς
γὰρ X--------- γάρ
ἀπέκτεινεν VAI-AAI3S- κτείνω ἀπο
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
θυμῷ N2--DSM--- θυμός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐζητήθη VCI-API3S- ζητέω
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τὰ RA--NPN--- ὁ
σώματα N3M-NPN--- σῶμα
καὶ C--------- καί
οὐχ D--------- οὐ
εὑρέθη VC--API3S- εὑρίσκω

Tob 1:19
πορευθεὶς VC--APPNSM πορεύομαι
δὲ X--------- δέ
εἷς M---NSM--- εἷς
τῶν RA--GPM--- ὁ
ἐν P--------- ἐν
Νινευη N---DSF--- Νινευη
ὑπέδειξε VAI-AAI3S- δεικνύω ὑπο
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
ὅτι C--------- ὅτι
θάπτω V1--PAI1S- θάπτω
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐκρύβην VDI-API1S- κρύπτω
ἐπιγνοὺς VZ--AAPNSM γιγνώσκω ἐπι
δὲ X--------- δέ
ὅτι C--------- ὅτι
ζητοῦμαι V2--PMI1S- ζητέω
ἀποθανεῖν VB--AAN--- θνήσκω ἀπο
φοβηθεὶς VC--APPNSM φοβέω
ἀνεχώρησα VAI-AAI1S- χωρέω ἀνα

Tob 1:20
καὶ C--------- καί
διηρπάγη VDI-API3S- ἁρπάζω δια
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ὑπάρχοντά V1--PAPAPN ἄρχω ὑπο
μου RP--GS---- ἐγώ
καὶ C--------- καί
οὐ D--------- οὐ
κατελείφθη VVI-API3S- λείπω κατα
μοι RP--DS---- ἐγώ
οὐδὲν A3--ASN--- οὐδείς
πλὴν D--------- πλήν
Αννας N---GSF--- Αννας
τῆς RA--GSF--- ὁ
γυναικός N3K-GSF--- γυνή
μου RP--GS---- ἐγώ
καὶ C--------- καί
Τωβιου N1T-GSM--- Τωβείας
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
μου RP--GS---- ἐγώ

Tob 1:21
καὶ C--------- καί
οὐ D--------- οὐ
διῆλθον VBI-AAI3P- ἔρχομαι δια
ἡμέραι N1A-NPF--- ἡμέρα
πεντήκοντα M--------- πεντήκοντα
ἕως C--------- ἕως
οὗ RR--GSM--- ὅς
ἀπέκτειναν VAI-AAI3P- κτείνω ἀπο
αὐτὸν RD--ASM--- αὐτός
οἱ RA--NPM--- ὁ
δύο M---NDM--- δύο
υἱοὶ N2--NPM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔφυγον VBI-AAI3P- φεύγω
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
Αραρατ N---GS---- Αραρατ
καὶ C--------- καί
ἐβασίλευσεν VAI-AAI3S- βασιλεύω
Σαχερδονος N2--NSM--- Σαχερδονος
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἀντ' P--------- ἀντί
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔταξεν VAI-AAI3S- τάσσω
Αχιαχαρον N2--ASM--- Αχιαχαρος
τὸν RA--ASM--- ὁ
Αναηλ N---ASM--- Ἁναηλ
υἱὸν N2--ASM--- υἱός
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
ἐκλογιστίαν N1A-ASF--- ἐκλογιστία
τῆς RA--GSF--- ὁ
βασιλείας N1A-GSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πᾶσαν A1S-ASF--- πᾶς
τὴν RA--ASF--- ὁ
διοίκησιν N3I-ASF--- διοίκησις

Tob 1:22
καὶ C--------- καί
ἠξίωσεν VAI-AAI3S- ἀξιόω
Αχιαχαρος N2--NSM--- Ἀχιάχαρος
περὶ P--------- περί
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἦλθον VBI-AAI1S- ἔρχομαι
εἰς P--------- εἰς
Νινευη N---ASF--- Νινευη
Αχιαχαρος N2--NSM--- Ἀχιάχαρος
δὲ X--------- δέ
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
οἰνοχόος N2--NSM--- οἰνοχόος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τοῦ RA--GSM--- ὁ
δακτυλίου N2--GSM--- δακτύλιος
καὶ C--------- καί
διοικητὴς N1M-NSM--- διοικητής
καὶ C--------- καί
ἐκλογιστής N1M-NSM--- ἐκλογιστής
καὶ C--------- καί
κατέστησεν VHI-AAI3S- ἵστημι κατα
αὐτὸν RD--ASM--- αὐτός
ὁ RA--NSM--- ὁ
Σαχερδονος N2--NSM--- Σαχερδονος
ἐκ P--------- ἐκ
δευτέρας A1A-APF--- δεύτερος
ἦν V9--IAI3S- εἰμί
δὲ X--------- δέ
ἐξάδελφός N2--NSM--- ἐξάδελφος
μου RP--GS---- ἐγώ

Tob 2:1
ὅτε D--------- ὅτε
δὲ X--------- δέ
κατῆλθον VBI-AAI1S- ἔρχομαι κατα
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκόν N2--ASM--- οἶκος
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀπεδόθη VCI-API3S- δίδωμι ἀπο
μοι RP--DS---- ἐγώ
Αννα N---NSF--- Ἅννα
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
μου RP--GS---- ἐγώ
καὶ C--------- καί
Τωβιας N---NSM--- Τωβιας
ὁ RA--NSM--- ὁ
υἱός N2--NSM--- υἱός
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πεντηκοστῇ A1--DSF--- πεντηκοστός
τῇ RA--DSF--- ὁ
ἑορτῇ N1--DSF--- ἑορτή
ἥ RR--NSF--- ὅς
ἐστιν V9--PAI3S- εἰμί
ἁγία A1A-ASF--- ἅγιος
ἑπτὰ M--------- ἑπτά
ἑβδομάδων N3D-GPF--- ἑβδομάς
ἐγενήθη VCI-API3S- γίγνομαι
ἄριστον N2N-ASN--- ἄριστον
καλόν A1--ASN--- καλός
μοι RP--DS---- ἐγώ
καὶ C--------- καί
ἀνέπεσα VAI-AAI1S- πίπτω ἀνα
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω

Tob 2:2
καὶ C--------- καί
ἐθεασάμην VAI-AMI1S- θεάομαι
ὄψα N2N-APN--- ὄψον
πολλὰ A1--APN--- πολύς
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
μου RP--GS---- ἐγώ
βάδισον VA--AAD2S- βαδίζω
καὶ C--------- καί
ἄγαγε VB--AAD2S- ἄγω
ὃν RR--ASM--- ὅς
ἐὰν C--------- ἐάν
εὕρῃς VB--AAS2S- εὑρίσκω
τῶν RA--GPM--- ὁ
ἀδελφῶν N2--GPM--- ἀδελφός
ἡμῶν RP--GP---- ἐγώ
ἐνδεῆ A3H-APN--- ἐνδεής
ὃς RR--NSM--- ὅς
μέμνηται VM--XMI3S- μιμνήσκω
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἰδοὺ VB--AMD2S- ὁράω
μενῶ VF2-FAI1S- μένω
σε RP--AS---- σύ

Tob 2:3
καὶ C--------- καί
ἐλθὼν VB--AAPNSM ἔρχομαι
εἶπεν VBI-AAI3S- εἶπον
πάτερ N3--VSM--- πατήρ
εἷς M---NSM--- εἷς
ἐκ P--------- ἐκ
τοῦ RA--GSN--- ὁ
γένους N3E-GSN--- γένος
ἡμῶν RP--GP---- ἐγώ
ἐστραγγαλωμένος VM--XMPNSM στραγγαλόομαι
ἔρριπται VM--XMI3S- ῥίπτω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ἀγορᾷ N1A-DSF--- ἀγορά

Tob 2:4
κἀγὼ C+RPNS---- καί+ἐγώ
πρὶν D--------- πρίν
ἢ C--------- ἤ
γεύσασθαί VA--AMN--- γεύω
με RP--AS---- ἐγώ
ἀναπηδήσας VA--AAPNSM πηδάω ἀνα
ἀνειλόμην VBI-AMI1S- αἱρέω ἀνα
αὐτὸν RD--ASM--- αὐτός
εἴς P--------- εἰς
τι RI--ASN--- τις
οἴκημα N3M-ASN--- οἴκημα
ἕως C--------- ἕως
οὗ D--------- οὗ
ἔδυ VBI-AAI3S- δύν
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος

Tob 2:5
καὶ C--------- καί
ἐπιστρέψας VA--AAPNSM στρέφω ἐπι
ἐλουσάμην VAI-AMI1S- λούω
καὶ C--------- καί
ἤσθιον V1I-IAI1S- ἐσθίω
τὸν RA--ASM--- ὁ
ἄρτον N2--ASM--- ἄρτος
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
λύπῃ N1--DSF--- λύπη

Tob 2:6
καὶ C--------- καί
ἐμνήσθην VSI-API1S- μιμνήσκω
τῆς RA--GSF--- ὁ
προφητείας N1A-GSF--- προφητεία
Αμως N---GSM--- Ἁμώς
καθὼς D--------- καθώς
εἶπεν VBI-AAI3S- εἶπον
στραφήσονται VD--FPI3P- στρέφω
αἱ RA--NPF--- ὁ
ἑορταὶ N1--NPF--- ἑορτή
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
πένθος N3E-ASN--- πένθος
καὶ C--------- καί
πᾶσαι A1S-NPF--- πᾶς
αἱ RA--NPF--- ὁ
εὐφροσύναι N1--NPF--- εὐφροσύνη
ὑμῶν RP--GP---- σύ
εἰς P--------- εἰς
θρῆνον N2--ASM--- θρῆνος
καὶ C--------- καί
ἔκλαυσα VAI-AAI1S- κλαίω

Tob 2:7
καὶ C--------- καί
ὅτε D--------- ὅτε
ἔδυ VBI-AAI3S- δύνω
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
ᾠχόμην V1I-IMI1S- οἴχομαι
καὶ C--------- καί
ὀρύξας VA--AAPNSM ὀρύσσω
ἔθαψα VAI-AAI1S- θάπτω
αὐτόν RD--ASM--- αὐτός

Tob 2:8
καὶ C--------- καί
οἱ RA--NPM--- ὁ
πλησίον D--------- πλησίον
ἐπεγέλων V3I-IAI3P- γελάω ἐπι
λέγοντες V1--PAPNPM λέγω
οὐκέτι D--------- οὐκέτι
φοβεῖται V2--PMI3S- φοβέω
φονευθῆναι VC--APN--- φονεύω
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
πράγματος N3M-GSN--- πρᾶγμα
τούτου RD--GSN--- οὗτος
καὶ C--------- καί
ἀπέδρα VBI-AAI3S- διδράσκω ἀπο
καὶ C--------- καί
ἰδοὺ VB--AMD2S- ὁράω
πάλιν D--------- πάλιν
θάπτει V1--PAI3S- θάπτω
τοὺς RA--APM--- ὁ
νεκρούς N2--APM--- νεκρός

Tob 2:9
καὶ C--------- καί
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
τῇ RA--DSF--- ὁ
νυκτὶ N3--DSF--- νύξ
ἀνέλυσα VAI-AAI1S- λύω ἀνα
θάψας VA--AAPNSM θάπτω
καὶ C--------- καί
ἐκοιμήθην VCI-API1S- κοιμάω
μεμιαμμένος VM--XMPNSM μιαίνω
παρὰ P--------- παρά
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
τῆς RA--GSF--- ὁ
αὐλῆς N1--GSF--- αὐλή
καὶ C--------- καί
τὸ RA--NSN--- ὁ
